model_name,n_observed_items,mean_correct_observed
claude-3-5-haiku-20241022,1446,0.6217150760719226
claude-3-5-sonnet-20240620,1000,0.825
claude-3-5-sonnet-20241022,1446,0.7579529737206085
claude-3-7-sonnet-20250219,1446,0.7697095435684648
claude-haiku-4-5-20251001,1446,0.7558782849239281
claude-opus-4-20250514,1446,0.8284923928077456
claude-opus-4-20250514-thinking-10k,1446,0.8319502074688797
claude-sonnet-4-20250514,1446,0.8008298755186722
claude-sonnet-4-20250514-thinking-10k,1446,0.8201936376210235
claude-sonnet-4-5-20250929,1446,0.826417704011065
deepseek-r1-0528,1446,0.7717842323651453
deepseek-v3,1446,0.7282157676348547
falcon-40b-instruct,1446,0.15214384508990317
falcon-7b-instruct,1446,0.11272475795297372
gemini-1.5-flash-002,1446,0.6742738589211619
gemini-1.5-pro-002,1446,0.7323651452282157
gemini-2.0-flash-001,1446,0.73582295988935
gemini-2.0-flash-lite-preview-02-05,1446,0.7095435684647303
gemini-2.5-flash-lite,1446,0.573997233748271
gemini-2.5-flash-preview-04-17,1446,0.6562932226832642
gemini-2.5-pro-preview-03-25,1446,0.8360995850622407
gemini-3-pro-preview,1446,0.8769017980636238
gemma-1.1-2b-it,1446,0.177731673582296
gemma-1.1-7b-it,1446,0.3962655601659751
gemma-2-27b-it,1446,0.5006915629322268
gemma-2-2b-it,1446,0.2206085753803596
gemma-2-9b-it,1446,0.3215767634854772
gemma-2b-it,1446,0.24965421853388658
gemma-3-12b-it,1446,0.5843706777316736
gemma-3-1b-it,1446,0.19778699861687413
gemma-3-27b-it,1446,0.632088520055325
gemma-3-4b-it,1446,0.21853388658367912
gemma-7b-it,1446,0.32918395573997233
glm-4.5-air-fp8,1446,0.7406639004149378
gpt-4.1-2025-04-14,1446,0.793222683264177
gpt-4.1-mini-2025-04-14,1446,0.789073305670816
gpt-4.1-nano-2025-04-14,1446,0.6666666666666666
gpt-4o-2024-08-06,1000,0.827
gpt-4o-2024-11-20,500,0.874
gpt-4o-mini-2024-07-18,1000,0.722
gpt-5-2025-08-07,1446,0.8603042876901799
gpt-5-mini-2025-08-07,1446,0.8547717842323651
gpt-5-nano-2025-08-07,1446,0.8174273858921162
gpt-5.1-2025-11-13,1446,0.681881051175657
gpt-5.2-2025-12-11,1446,0.6825726141078838
gpt-5.2-pro-2025-12-11,1446,0.8962655601659751
gpt-5.3-chat-latest,1446,0.8416320885200553
gpt-5.4-2026-03-05,1446,0.7088520055325035
gpt-5.4-mini-2026-03-17,1446,0.6410788381742739
gpt-5.4-nano-2026-03-17,1446,0.5484094052558783
gpt-5.4-pro-2026-03-05,1446,0.8914246196403873
gpt-oss-120b,1446,0.7946058091286307
gpt-oss-20b,1446,0.7102351313969572
granite-3.3-8b-instruct,1446,0.5006915629322268
granite-4.0-h-small,1446,0.6417704011065007
granite-4.0-h-small-with-guardian,1446,0.5954356846473029
granite-4.0-micro,1446,0.553941908713693
granite-4.0-micro-with-guardian,1446,0.5463347164591977
grok-3-beta,1446,0.7925311203319502
grok-3-mini-beta,1446,0.8188105117565698
grok-4-0709,1446,0.851313969571231
kimi-k2-instruct,1446,0.7994467496542186
llama-2-13b-hf,1446,0.15491009681881052
llama-2-70b-hf,1446,0.17496542185338865
llama-2-7b-hf,1446,0.15006915629322268
llama-3.1-405b-instruct-turbo,1446,0.7102351313969572
llama-3.1-70b-instruct-turbo,1446,0.6639004149377593
llama-3.1-8b-instruct-turbo,1000,0.608
llama-4-maverick-17b-128e-instruct-fp8,1446,0.8077455048409405
llama-4-scout-17b-16e-instruct,1446,0.7233748271092669
marin-8b-instruct,1446,0.3706777316735823
mistral-7b-instruct-v0.3,1000,0.462
mistral-7b-v0.1,1446,0.14246196403872752
mistral-large-2411,1446,0.6639004149377593
mistral-small-2503,1446,0.6134163208852006
mixtral-8x22b-instruct-v0.1,1446,0.5325034578146611
mixtral-8x7b-instruct-v0.1,1000,0.495
nova-lite-v1:0,1446,0.6189488243430152
nova-micro-v1:0,1446,0.5836791147994468
nova-premier-v1:0,1446,0.7060857538035962
nova-pro-v1:0,1446,0.6728907330567082
o3-2025-04-16,1446,0.8478561549100968
o4-mini-2025-04-16,1446,0.8409405255878285
olmo-2-0325-32b-instruct,1446,0.529045643153527
olmo-2-1124-13b-instruct,1446,0.47925311203319504
olmo-2-1124-7b-instruct,1446,0.4598893499308437
olmoe-1b-7b-0125-instruct,1446,0.37344398340248963
palmyra-fin,1446,0.6313969571230982
palmyra-med,1446,0.5463347164591977
palmyra-x-004,1000,0.792
palmyra-x5,1446,0.7876901798063624
qwen-1.5-0.5b-chat,1446,0.12378976486860305
qwen-1.5-1.8b-chat,1446,0.173582295988935
qwen-1.5-14b-chat,1446,0.4017980636237898
qwen-1.5-32b-chat,1446,0.45504840940525587
qwen-1.5-4b-chat,1446,0.24066390041493776
qwen-1.5-7b-chat,1446,0.3188105117565698
qwen-14b-chat,1446,0.313969571230982
qwen-2-1.5b-instruct,1446,0.2565698478561549
qwen-2-72b-instruct,1446,0.5968188105117566
qwen-2-7b-instruct,1446,0.4315352697095436
qwen-2.5-0.5b-instruct,1446,0.21092669432918396
qwen-2.5-1.5b-instruct,1446,0.36583679114799444
qwen-2.5-14b-instruct,1446,0.6341632088520055
qwen-2.5-32b-instruct,1446,0.6597510373443983
qwen-2.5-3b-instruct,1446,0.49930843706777317
qwen-2.5-72b-instruct,1446,0.7074688796680498
qwen-2.5-7b-instruct,1446,0.520746887966805
qwen-3-30b-instruct,1446,0.7060857538035962
qwen-3-4b-instruct,1446,0.6659751037344398
qwen-3-80b-instruct,1446,0.7704011065006916
qwen-7b-chat,1446,0.13485477178423236
qwen-8b-chat,1446,0.1272475795297372
qwen2.5-72b-instruct-turbo,1000,0.754
qwen2.5-7b-instruct-turbo,1446,0.5726141078838174
qwen3-235b-a22b-fp8-tput,1446,0.7738589211618258
qwen3-235b-a22b-instruct-2507-fp8,1446,0.8271092669432918
qwen3-next-80b-a3b-thinking,1446,0.7621023513139695
redpajama-incite-3b-chat,1446,0.13485477178423236
redpajama-incite-3b-instruct,1446,0.10995850622406639
redpajama-incite-7b-chat,1446,0.09820193637621023
redpajama-incite-7b-instruct,1446,0.10857538035961273
