"model_name","n_ifeval_observed_items_before_filter","n_ifeval_items_after_filter","mean_correct_ifeval_after_filter"
"claude-3-5-haiku-20241022",541,538,0.74907063197026
"claude-3-5-sonnet-20240620",541,538,0.825278810408922
"claude-3-5-sonnet-20241022",541,538,0.83085501858736
"claude-3-7-sonnet-20250219",541,538,0.804832713754647
"claude-haiku-4-5-20251001",541,538,0.765799256505576
"claude-opus-4-20250514",541,538,0.907063197026022
"claude-opus-4-20250514-thinking-10k",541,538,0.819702602230483
"claude-sonnet-4-20250514",541,538,0.814126394052045
"claude-sonnet-4-20250514-thinking-10k",541,538,0.814126394052045
"claude-sonnet-4-5-20250929",541,538,0.819702602230483
"deepseek-r1-0528",541,538,0.745353159851301
"deepseek-v3",541,538,0.804832713754647
"falcon-40b-instruct",541,538,0.217472118959108
"falcon-7b-instruct",541,538,0.159851301115242
"gemini-1.5-flash-002",541,538,0.79368029739777
"gemini-1.5-pro-002",541,538,0.808550185873606
"gemini-2.0-flash-001",541,538,0.806691449814126
"gemini-2.0-flash-lite-preview-02-05",541,538,0.788104089219331
"gemini-2.5-flash-lite",541,538,0.776951672862453
"gemini-2.5-flash-preview-04-17",541,538,0.890334572490706
"gemini-2.5-pro-preview-03-25",541,538,0.815985130111524
"gemini-3-pro-preview",541,538,0.856877323420074
"gemma-1.1-2b-it",541,538,0.241635687732342
"gemma-1.1-7b-it",541,538,0.410780669144981
"gemma-2-27b-it",541,538,0.572490706319703
"gemma-2-2b-it",541,538,0.254646840148699
"gemma-2-9b-it",541,538,0.295539033457249
"gemma-2b-it",541,538,0.241635687732342
"gemma-3-12b-it",541,538,0.674721189591078
"gemma-3-1b-it",541,538,0.180297397769517
"gemma-3-27b-it",541,538,0.678438661710037
"gemma-3-4b-it",541,538,0.243494423791822
"gemma-7b-it",541,538,0.349442379182156
"glm-4.5-air-fp8",541,538,0.786245353159851
"gpt-4.1-2025-04-14",541,538,0.810408921933085
"gpt-4.1-mini-2025-04-14",541,538,0.881040892193309
"gpt-4.1-nano-2025-04-14",541,538,0.808550185873606
"gpt-4o-2024-08-06",541,538,0.860594795539034
"gpt-4o-2024-11-20",541,538,0.786245353159851
"gpt-4o-mini-2024-07-18",541,538,0.739776951672863
"gpt-5-2025-08-07",541,538,0.853159851301115
"gpt-5-mini-2025-08-07",541,538,0.907063197026022
"gpt-5-nano-2025-08-07",541,538,0.91449814126394
"gpt-5.1-2025-11-13",541,538,0.9182156133829
"gpt-5.2-2025-12-11",541,538,0.847583643122677
"gpt-5.2-pro-2025-12-11",541,538,0.947955390334573
"gpt-5.3-chat-latest",541,538,0.907063197026022
"gpt-5.4-2026-03-05",541,538,0.855018587360595
"gpt-5.4-mini-2026-03-17",541,538,0.83457249070632
"gpt-5.4-nano-2026-03-17",541,538,0.815985130111524
"gpt-5.4-pro-2026-03-05",541,538,0.975836431226766
"gpt-oss-120b",541,538,0.801115241635688
"gpt-oss-20b",541,538,0.70817843866171
"granite-3.3-8b-instruct",541,538,0.66914498141264
"granite-4.0-h-small",541,538,0.864312267657993
"granite-4.0-h-small-with-guardian",541,538,0.739776951672863
"granite-4.0-micro",541,538,0.815985130111524
"granite-4.0-micro-with-guardian",541,538,0.79182156133829
"grok-3-beta",541,538,0.864312267657993
