"model_name","n_ifeval_observed_items_before_filter","n_ifeval_items_after_filter","mean_correct_ifeval_after_filter"
"claude-3-5-haiku-20241022",541,534,0.702247191011236
"claude-3-5-sonnet-20240620",541,534,0.805243445692884
"claude-3-5-sonnet-20241022",541,534,0.788389513108614
"claude-3-7-sonnet-20250219",541,534,0.762172284644195
"claude-haiku-4-5-20251001",541,534,0.717228464419476
"claude-opus-4-20250514",541,534,0.889513108614232
"claude-opus-4-20250514-thinking-10k",541,534,0.782771535580524
"claude-sonnet-4-20250514",541,534,0.769662921348315
"claude-sonnet-4-20250514-thinking-10k",541,534,0.777153558052434
"claude-sonnet-4-5-20250929",541,534,0.780898876404494
"deepseek-r1-0528",541,534,0.702247191011236
"deepseek-v3",541,534,0.752808988764045
"falcon-40b-instruct",541,534,0.196629213483146
"falcon-7b-instruct",541,534,0.142322097378277
"gemini-1.5-flash-002",541,534,0.754681647940075
"gemini-1.5-pro-002",541,534,0.764044943820225
"gemini-2.0-flash-001",541,534,0.771535580524345
"gemini-2.0-flash-lite-preview-02-05",541,534,0.750936329588015
"gemini-2.5-flash-lite",541,534,0.737827715355805
"gemini-2.5-flash-preview-04-17",541,534,0.870786516853933
"gemini-2.5-pro-preview-03-25",541,534,0.771535580524345
"gemini-3-pro-preview",541,534,0.822097378277154
"gemma-1.1-2b-it",541,534,0.207865168539326
"gemma-1.1-7b-it",541,534,0.372659176029963
"gemma-2-27b-it",541,534,0.543071161048689
"gemma-2-2b-it",541,534,0.228464419475655
"gemma-2-9b-it",541,534,0.252808988764045
"gemma-2b-it",541,534,0.217228464419476
"gemma-3-12b-it",541,534,0.646067415730337
"gemma-3-1b-it",541,534,0.157303370786517
"gemma-3-27b-it",541,534,0.642322097378277
"gemma-3-4b-it",541,534,0.215355805243446
"gemma-7b-it",541,534,0.312734082397004
"glm-4.5-air-fp8",541,534,0.734082397003745
"gpt-4.1-2025-04-14",541,534,0.771535580524345
"gpt-4.1-mini-2025-04-14",541,534,0.865168539325843
"gpt-4.1-nano-2025-04-14",541,534,0.773408239700375
"gpt-4o-2024-08-06",541,534,0.835205992509363
"gpt-4o-2024-11-20",541,534,0.743445692883895
"gpt-4o-mini-2024-07-18",541,534,0.694756554307116
"gpt-5-2025-08-07",541,534,0.822097378277154
"gpt-5-mini-2025-08-07",541,534,0.902621722846442
"gpt-5-nano-2025-08-07",541,534,0.902621722846442
"gpt-5.1-2025-11-13",541,534,0.897003745318352
"gpt-5.2-2025-12-11",541,534,0.807116104868914
"gpt-5.2-pro-2025-12-11",541,534,0.936329588014981
"gpt-5.3-chat-latest",541,534,0.885767790262172
"gpt-5.4-2026-03-05",541,534,0.823970037453184
"gpt-5.4-mini-2026-03-17",541,534,0.794007490636704
"gpt-5.4-nano-2026-03-17",541,534,0.788389513108614
"gpt-5.4-pro-2026-03-05",541,534,0.970037453183521
"gpt-oss-120b",541,534,0.765917602996255
"gpt-oss-20b",541,534,0.676029962546816
"granite-3.3-8b-instruct",541,534,0.631086142322097
"granite-4.0-h-small",541,534,0.840823970037453
"granite-4.0-h-small-with-guardian",541,534,0.696629213483146
"granite-4.0-micro",541,534,0.782771535580524
"granite-4.0-micro-with-guardian",541,534,0.756554307116105
"grok-3-beta",541,534,0.831460674157303
"grok-3-mini-beta",541,534,0.928838951310861
"grok-4-0709",541,534,0.926966292134832
"kimi-k2-instruct",541,534,0.782771535580524
"llama-2-13b-hf",541,534,0.161048689138577
"llama-2-70b-hf",541,534,0.198501872659176
"llama-2-7b-hf",541,534,0.198501872659176
"llama-3.1-405b-instruct-turbo",541,534,0.730337078651685
"llama-3.1-70b-instruct-turbo",541,534,0.743445692883895
"llama-3.1-8b-instruct-turbo",541,534,0.638576779026217
"llama-4-maverick-17b-128e-instruct-fp8",541,534,0.867041198501873
"llama-4-scout-17b-16e-instruct",541,534,0.734082397003745
"marin-8b-instruct",541,534,0.51310861423221
"mistral-7b-instruct-v0.3",541,534,0.453183520599251
"mistral-7b-v0.1",541,534,0.170411985018727
"mistral-large-2411",541,534,0.816479400749064
"mistral-small-2503",541,534,0.649812734082397
"mixtral-8x22b-instruct-v0.1",541,534,0.627340823970037
"mixtral-8x7b-instruct-v0.1",541,534,0.453183520599251
"nova-lite-v1:0",541,534,0.683520599250936
"nova-micro-v1:0",541,534,0.662921348314607
"nova-premier-v1:0",541,534,0.726591760299625
"nova-pro-v1:0",541,534,0.735955056179775
"o3-2025-04-16",541,534,0.814606741573034
"o4-mini-2025-04-16",541,534,0.904494382022472
"olmo-2-0325-32b-instruct",541,534,0.694756554307116
"olmo-2-1124-13b-instruct",541,534,0.632958801498127
"olmo-2-1124-7b-instruct",541,534,0.588014981273408
"olmoe-1b-7b-0125-instruct",541,534,0.50749063670412
"palmyra-fin",541,534,0.698501872659176
"palmyra-med",541,534,0.679775280898876
"palmyra-x-004",541,534,0.810861423220974
"palmyra-x5",541,534,0.745318352059925
"qwen-1.5-0.5b-chat",541,534,0.106741573033708
"qwen-1.5-1.8b-chat",541,534,0.138576779026217
"qwen-1.5-14b-chat",541,534,0.327715355805243
"qwen-1.5-32b-chat",541,534,0.417602996254682
"qwen-1.5-4b-chat",541,534,0.213483146067416
"qwen-1.5-7b-chat",541,534,0.288389513108614
"qwen-14b-chat",541,534,0.286516853932584
"qwen-2-1.5b-instruct",541,534,0.245318352059925
"qwen-2-72b-instruct",541,534,0.743445692883895
"qwen-2-7b-instruct",541,534,0.51685393258427
"qwen-2.5-0.5b-instruct",541,534,0.245318352059925
"qwen-2.5-1.5b-instruct",541,534,0.413857677902622
"qwen-2.5-14b-instruct",541,534,0.794007490636704
"qwen-2.5-32b-instruct",541,534,0.790262172284644
"qwen-2.5-3b-instruct",541,534,0.588014981273408
"qwen-2.5-72b-instruct",541,534,0.853932584269663
"qwen-2.5-7b-instruct",541,534,0.709737827715356
"qwen-3-30b-instruct",541,534,0.762172284644195
"qwen-3-4b-instruct",541,534,0.820224719101124
"qwen-3-80b-instruct",541,534,0.880149812734082
"qwen-7b-chat",541,534,0.191011235955056
"qwen-8b-chat",541,534,0.117977528089888
"qwen2.5-72b-instruct-turbo",541,534,0.719101123595506
"qwen2.5-7b-instruct-turbo",541,534,0.640449438202247
"qwen3-235b-a22b-fp8-tput",541,534,0.737827715355805
"qwen3-235b-a22b-instruct-2507-fp8",541,534,0.760299625468165
"qwen3-next-80b-a3b-thinking",541,534,0.730337078651685
"redpajama-incite-3b-chat",541,534,0.110486891385768
"redpajama-incite-3b-instruct",541,534,0.149812734082397
"redpajama-incite-7b-chat",541,534,0.101123595505618
"redpajama-incite-7b-instruct",541,534,0.146067415730337
