"scenario","rep","np_regime","n","p","H_true","G_true","G_config","K_joint","fix_dgp_parameters","stable_scenario_seeds","dgp_parameter_seed","loading_parameter_seed","mixture_parameter_seed","data_seed","dgp_p_max","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","intercept_sd","intercept_block_span","intercept_clip","loading_design","block_size_mode","loading_sign_mode","alignment_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","dgp_min_block_size","dgp_median_block_size","dgp_max_block_size","dgp_min_total_nonzero_loadings_by_factor","dgp_median_total_nonzero_loadings_by_factor","dgp_min_cross_nonzero_loadings_by_factor","dgp_median_cross_nonzero_loadings_by_factor","dgp_mean_nonzero_loadings_per_item","dgp_mean_cross_loadings_per_item","dgp_cross_nonzero_fraction","dgp_mean_abs_primary_loading","dgp_mean_abs_cross_loading","dgp_min_loading_l2_by_factor","dgp_median_loading_l2_by_factor","dgp_min_primary_l2_by_factor","dgp_median_primary_l2_by_factor","dgp_n_items_all_zero","dgp_n_items_all_one","dgp_n_items_prev_lt_01","dgp_n_items_prev_gt_99","dgp_min_item_prevalence","dgp_q05_item_prevalence","dgp_median_item_prevalence","dgp_q95_item_prevalence","dgp_max_item_prevalence","dgp_min_marginal_component_count","dgp_median_marginal_component_count","dgp_n_empty_marginal_components","dgp_observed_joint_profiles","dgp_possible_joint_profiles","ours_pretraining_method","viroli_lambda_l1_penalty","viroli_loading_prior","viroli_normalize_each_draw","viroli_min_scale","canonical_min_scale","min_mixture_var","viroli_seed","parallel_enabled","parallel_workers","method","mean_factor_abs_cor","mean_loading_abs_cor","min_factor_abs_cor","factor_score_rmse","factor_score_raw_rmse","lambda_corr","lambda_rmse","alpha_corr","alpha_rmse","alpha_raw_corr","alpha_raw_rmse","probability_rmse","joint_profile_ari","seconds","stage1_signal_relative_frobenius_error","stage1_signal_per_entry_mse","stage1_signal_correlation","stage1_sinTheta_op","stage1_sinTheta_fro","stage1_estimated_rank","stage1_full_loglik_per_response","stage1_true_sv_H","stage1_true_sv_Hplus1","stage1_fit_sv_H","stage1_fit_sv_Hplus1","stage1_fit_sv_H_to_Hplus1_ratio","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","marginal_mu_corr","marginal_log_var_corr","marginal_weight_corr","joint_mu_rmse","joint_var_rmse","joint_mu_corr","joint_var_corr","joint_weight_corr","joint_weight_rmse","joint_weight_l1","joint_weight_max_abs_error","est_effective_classes_001","est_effective_classes_01","joint_alignment_method","flat_parameter_corr","flat_parameter_blocks","all_parameter_corr","all_parameter_corr_raw","all_parameter_blocks","gibbs_min_parameter_ess","gibbs_median_parameter_ess","gibbs_mean_parameter_ess","gibbs_min_alpha_ess","gibbs_median_alpha_ess","gibbs_min_lambda_ess","gibbs_median_lambda_ess","gibbs_min_pi_ess","gibbs_median_pi_ess","gibbs_min_mu_ess","gibbs_median_mu_ess","gibbs_min_sig2_ess","gibbs_median_sig2_ess","gibbs_median_iteration_seconds","gibbs_median_z_sample_seconds","gibbs_median_factor_sample_seconds","gibbs_median_class_sample_seconds","gibbs_median_mixture_weight_seconds","gibbs_median_mixture_parameter_seconds","gibbs_median_regression_seconds","gibbs_median_normalization_seconds","gibbs_median_keep_draw_seconds","gibbs_median_diagnostics_seconds","occupied_classes","posterior_kept_draws","mfa_converged","mfa_completed_iter","mfa_final_lambda_rel_range","mfa_final_intercept_rel_range","mfa_final_occupied_range","source_chunk","em_svd_init_method","em_svd_init_z","selected_em_start","em_svd_soft_shrinkage","em_svd_soft_shrinkage_ratio","em_svd_soft_shrinkage_reference","em_svd_soft_rank_cap","mixture_update","pretrain_loading_penalty","rotation_optimizer","rotation_loading_l1_penalty","riemannian_rotation_steps","riemannian_update","lambda_l1_penalty","lasso_backend","glmnet_standardize","refine_enforce_monotone","refine_monotone_tolerance","refine_normalize_factor_scale","refine_normalize_factor_location","refine_factor_score_bound","canonical_normalize_ours","store_refinement_step_history","mu_prior_mean","mu_prior_kappa","var_prior_shape","var_prior_scale","weight_prior_alpha","refine_mu_prior_mean","refine_mu_prior_kappa","refine_var_prior_shape","refine_var_prior_scale","refine_weight_prior_alpha","pretraining_converged","pretraining_convergence_reason","pretraining_completed_iter","selected_pretraining_iteration","pretraining_return_best_iteration","rotation_converged","rotation_completed_outer","refinement_converged","refinement_completed_iter","selected_refinement_iteration","refinement_return_best_iteration","refinement_stopping_objective","refinement_all_mixtures_converged","refinement_monotone_guard_triggered","ours_median_em_iteration_seconds","ours_median_em_e_step_seconds","ours_median_em_projection_seconds","ours_median_em_objective_seconds","ours_median_rotation_iteration_seconds","ours_median_rotation_update_seconds","ours_median_rotation_mixture_refit_seconds","ours_median_rotation_objective_seconds","ours_median_refinement_iteration_seconds","ours_median_refinement_factor_update_seconds","ours_median_refinement_lambda_update_seconds","ours_median_refinement_mixture_update_seconds"
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n100p500",100,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,1864636635,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,49,68,12,24,1.46,0.46,0.0511111111111111,1.49387145978305,1.47518526363065,10.4971781017713,12.4665011762326,8.77180576661721,9.46810790810068,0,0,0,0,0.12,0.2795,0.485,0.75,0.89,27,50,0,88,1024,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1864636672,TRUE,4,"viroli_laplace_gibbs",0.988592695309109,0.935748315439102,0.983015168702197,0.150287934605421,0.194006557909578,0.937474320468518,0.206550974085278,0.92411410625648,0.362308008051021,NA,NA,0.108623920956202,1,140.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124867598805759,0.112082156916951,0.0540362941878189,0.992986366855632,NA,0.947685363010445,0.12486759880576,0.112082156916951,0.992986366855717,NA,0.925503109746606,0.000509223732924937,0.290702190448513,0.00528298355960266,300,2,"axis_sorted_product",0.980279433748057,"alpha+loading+joint_mu+joint_var+joint_weight",0.965939831767381,0.982844296905542,"alpha+loading+joint_mu+joint_weight",6.71646356437182,137.554982903188,147.497748065636,9.10759172075832,105.90917308131,6.71646356437182,138.638570116873,865.593843469928,1000,821.073550720812,1000,266.725599438601,600.463869576067,0.0700265169143677,0.00348258018493652,0.0107821226119995,0.00150203704833984,NA,0.000395894050598145,0.0483509302139282,0.00157809257507324,0.00276613235473633,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n100p1000",100,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,2134261490,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,1.49661720458767,1.48147101980217,13.6190719845601,16.4379019131997,10.2701878813988,12.1960853160108,0,0,0,0,0.14,0.3095,0.5,0.7305,0.87,28,50,0,89,1024,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,2134261527,TRUE,4,"viroli_laplace_gibbs",0.993086031049259,0.935037748988429,0.989052143163871,0.117002814164732,0.148053256007421,0.939531347457091,0.196308082347535,0.919793297840114,0.29774839031945,NA,NA,0.10800707669186,1,232.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0945494193071339,0.101414607278707,0.036926945721254,0.996259384742428,NA,0.974624992320036,0.0945494193071341,0.101414607278707,0.996259384742504,NA,0.966165067864933,0.000335240757366789,0.20257643704751,0.00197865951069394,310,1,"axis_sorted_product",0.978311760717822,"alpha+loading+joint_mu+joint_var+joint_weight",0.964500733236235,0.980558669642159,"alpha+loading+joint_mu+joint_weight",6.34394350899318,161.213035669987,166.657609246857,7.99439364212105,102.959225712879,6.34394350899318,164.3150076458,884.035586427511,983.805128340606,689.720263548877,960.177803179396,366.099221600884,696.375858119524,0.116249918937683,0.00695204734802246,0.0138535499572754,0.00159299373626709,NA,0.000402927398681641,0.0842626094818115,0.0026099681854248,0.00532054901123047,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n100p500",100,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,214430945,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,49,68,12,24,1.46,0.46,0.0511111111111111,1.49387145978305,1.47518526363065,10.4971781017713,12.4665011762326,8.77180576661721,9.46810790810068,0,0,0,0,0.11,0.2795,0.53,0.73,0.9,14,30,0,100,59049,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,214430982,TRUE,4,"viroli_laplace_gibbs",0.98359216924689,0.942597044337734,0.971646853564017,0.180242905245002,0.242124812972736,0.943953477439073,0.211719967734094,0.918625112382067,0.319451779231467,NA,NA,0.119749209203563,NA,141.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432012642867779,0.419785954172442,0.120763800150233,0.99021274715406,0.447938516233436,0.266495465010958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",7.77179348432496,139.742124084808,145.939364690558,11.419278651679,180.318584865408,7.77179348432496,137.42262882363,58.2305667988981,111.155195237843,73.8671463017411,171.453009867073,39.529920092327,264.161014532781,0.0700364112854004,0.00345110893249512,0.0108495950698853,0.00161600112915039,NA,0.00046086311340332,0.0481700897216797,0.00161004066467285,0.00278806686401367,NA,29,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n100p1000",100,1000,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,484055800,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,1.49661720458767,1.48147101980217,13.6190719845601,16.4379019131997,10.2701878813988,12.1960853160108,0,0,0,0,0.12,0.33,0.55,0.75,0.88,12,27.5,0,99,59049,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,484055837,TRUE,4,"viroli_laplace_gibbs",0.989162025040314,0.938852584334112,0.980999307894803,0.146489557375872,0.186549879725479,0.943923308707241,0.204082420325188,0.933978879304805,0.264535433458101,NA,NA,0.114351120336519,NA,232.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416495669564201,0.429084191864743,0.0995258085494243,0.990024461618911,0.107069404638222,0.661195730192793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",6.36749911853805,164.872282567786,168.06025963118,6.49016219040157,204.655811166741,6.36749911853805,163.105238058588,54.5022014032645,101.828559374202,43.1871612012625,153.992095264275,21.7995000394133,126.98030694984,0.116162419319153,0.0068274736404419,0.0134559869766235,0.00166153907775879,NA,0.000466108322143555,0.084610104560852,0.00263845920562744,0.00531411170959473,NA,29,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H5_G2-2-2-2-2_sep2",1,"n100p500",100,500,5,"2-2-2-2-2","2-2-2-2-2",32,TRUE,TRUE,22262731,20772531,22262731,1228258285,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",54,75,206,71,98,13,17,1.19,0.19,0.0475,1.50136164443148,1.50600129747763,12.9227151090441,15.4820459090462,11.307991314074,13.497656631278,0,0,0,0,0.16,0.3295,0.52,0.76,0.9,31,50,0,28,32,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1228258322,TRUE,4,"viroli_laplace_gibbs",0.993333495302222,0.956330863060759,0.990993857312268,0.114889857261644,0.182093037269411,0.952305535609753,0.211524141758598,0.901228486170525,0.31291547978459,NA,NA,0.0793515456204508,1,104.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152194572964266,0.0906287781070184,0.0643289962644145,0.99261106180775,NA,0.904012752742164,0.152194572964266,0.0906287781070183,0.992611061807747,NA,0.891859073164277,0.0104377289293266,0.244175160165146,0.0277263297871799,32,30,"axis_sorted_product",0.94796604563114,"alpha+loading+joint_mu+joint_var+joint_weight",0.945765199332816,0.948104551544786,"alpha+loading+joint_mu+joint_weight",5.91880252877718,155.263225914415,166.119153415342,7.12567359242119,96.2340237408414,5.91880252877718,166.20039294,866.799816495493,1000,864.42354059445,995.408261971316,423.725878310352,813.158459755973,0.0519645214080811,0.00334954261779785,0.0105949640274048,0.000911951065063477,NA,0.00026392936706543,0.0327224731445312,0.00136899948120117,0.00160861015319824,NA,10,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H5_G2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H5_G2-2-2-2-2_sep2",1,"n100p1000",100,1000,5,"2-2-2-2-2","2-2-2-2-2",32,TRUE,TRUE,22262731,20772531,22262731,2038500490,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",87,139,458,120,182,20,42,1.181,0.181,0.04525,1.49984542591404,1.53040684082993,16.8944932600132,21.1863162712866,14.3194635013082,18.5206828749047,0,0,0,0,0.14,0.2695,0.5,0.77,0.89,24,50,0,25,32,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,2038500527,TRUE,4,"viroli_laplace_gibbs",0.994635845495994,0.951677871350912,0.991689369999866,0.103058361707972,0.16599493936995,0.95194984635835,0.209985027284243,0.925867059185886,0.335730826837172,NA,NA,0.079221048424511,1,162.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155403559771878,0.0991748421320251,0.0641352780255141,0.991644360876723,NA,0.963068897981654,0.155403559771878,0.0991748421320251,0.991644360876724,NA,0.95345392341457,0.0116259702629684,0.263457886818746,0.0351509945339052,32,24,"axis_sorted_product",0.94452949478747,"alpha+loading+joint_mu+joint_var+joint_weight",0.947210608085063,0.944873433792851,"alpha+loading+joint_mu+joint_weight",5.64794790447821,171.01074780237,179.267532458486,6.12116548201265,92.9362469193809,5.64794790447821,185.086449492643,903.890015327906,994.585105791489,849.636349053784,1000,479.18598948946,1000,0.0814493894577026,0.00662457942962646,0.0135560035705566,0.00094902515411377,NA,0.00026702880859375,0.0536125898361206,0.00222396850585938,0.00294804573059082,NA,10,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H5_G2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H5_G3-3-3-3-3_sep2",1,"n100p500",100,500,5,"3-3-3-3-3","3-3-3-3-3",243,TRUE,TRUE,23012731,20772531,23012731,950669940,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",54,75,206,71,98,13,17,1.19,0.19,0.0475,1.50136164443148,1.50600129747763,12.9227151090441,15.4820459090462,11.307991314074,13.497656631278,0,0,0,0,0.15,0.33,0.6,0.79,0.91,11,35,0,71,243,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,950669977,TRUE,4,"viroli_laplace_gibbs",0.98726443933288,0.957567265843638,0.972619383067769,0.158796757274506,0.233755805317303,0.960145530707063,0.214965751128739,0.938985081223483,0.288366582230506,NA,NA,0.0880785038467113,0.378983289004868,104.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40069264455012,0.386700382422159,0.117874368053058,0.991961711338675,0.461333482508182,0.328834874191216,0.40069264455012,0.386700382422159,0.991961711338678,0.47492086514657,0.283063620598756,0.00379828365079,0.62391339193666,0.025985412800952,243,0,"axis_sorted_product",0.929686748019152,"alpha+loading+joint_mu+joint_var+joint_weight",0.845613958261706,0.876963027717324,"alpha+loading+joint_mu+joint_log_var+joint_weight",8.14633378909415,166.222992248346,170.392625872849,8.14633378909415,187.720846413152,8.34002500454813,164.199301644973,44.345660652778,111.748388635359,61.9191559118799,193.0600947421,60.4877487698466,139.26990628741,0.0517055988311768,0.00334548950195312,0.0107181072235107,0.000926971435546875,NA,0.00029301643371582,0.0324150323867798,0.00135898590087891,0.00158095359802246,NA,15,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H5_G3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H5_G3-3-3-3-3_sep2",1,"n100p1000",100,1000,5,"3-3-3-3-3","3-3-3-3-3",243,TRUE,TRUE,23012731,20772531,23012731,1760912145,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",87,139,458,120,182,20,42,1.181,0.181,0.04525,1.49984542591404,1.53040684082993,16.8944932600132,21.1863162712866,14.3194635013082,18.5206828749047,0,0,0,0,0.11,0.31,0.59,0.79,0.9,15,32,0,69,243,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1760912182,TRUE,4,"viroli_laplace_gibbs",0.992806973690701,0.953248378032807,0.988149822320787,0.119340655656026,0.153032336758732,0.957527601655712,0.205224115427928,0.953842723224104,0.216425163359601,NA,NA,0.0845489392775509,0.338366051814917,161.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395963595416322,0.376671533065696,0.115179519573908,0.990285912113338,0.321729382644281,0.38362357320791,0.395963595416322,0.376671533065696,0.99028591211334,0.332132172914047,0.331840617455207,0.00373461364164432,0.616221655130267,0.02514520765943,243,0,"axis_sorted_product",0.936016554051742,"alpha+loading+joint_mu+joint_var+joint_weight",0.874318035471038,0.876626436361648,"alpha+loading+joint_mu+joint_log_var+joint_weight",11.2418011939483,178.636420795262,182.487348417571,14.6064156810328,205.737619698851,11.2418011939483,175.541283091954,34.2482938355296,94.7271159564117,80.5226280930976,245.769710290496,52.1117986179765,197.350444353448,0.0810534954071045,0.00663995742797852,0.0132194757461548,0.00097203254699707,NA,0.000298976898193359,0.053431510925293,0.0022130012512207,0.00301909446716309,NA,15,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H5_G3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep10_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",10,"n100p500",100,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,1977415714,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,49,68,12,24,1.46,0.46,0.0511111111111111,1.49387145978305,1.47518526363065,10.4971781017713,12.4665011762326,8.77180576661721,9.46810790810068,0,0,0,0,0.09,0.29,0.5,0.7305,0.92,32,50,0,92,1024,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1977415751,TRUE,4,"viroli_laplace_gibbs",0.989794415069044,0.941661350903719,0.980990665272172,0.142151532398682,0.173710841998164,0.94315487098321,0.196311026699614,0.9267414597223,0.291271571268269,NA,NA,0.105575901631487,1,140.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116628249766818,0.111274696359208,0.043881899781433,0.996280308538221,NA,0.957070567497682,0.116628249766818,0.111274696359208,0.99628030853827,NA,0.941631994213888,0.000390617329430385,0.233063744806308,0.00354559797666888,336,0,"axis_sorted_product",0.981730568519303,"alpha+loading+joint_mu+joint_var+joint_weight",0.971881176414257,0.986286958543583,"alpha+loading+joint_mu+joint_weight",5.9599845717428,139.660479619093,149.367897326653,7.42619912126815,101.980774297614,5.9599845717428,141.811497052898,806.085601912337,965.075964968256,773.722104208991,957.171290934691,145.752212864409,421.665779852618,0.0706455707550049,0.00343489646911621,0.0114480257034302,0.00150799751281738,NA,0.000397920608520508,0.0482698678970337,0.00157499313354492,0.00291359424591064,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep10_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep10_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",10,"n100p1000",100,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,1875939839,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,1.49661720458767,1.48147101980217,13.6190719845601,16.4379019131997,10.2701878813988,12.1960853160108,0,0,0,0,0.15,0.31,0.53,0.75,0.88,30,50,0,91,1024,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1875939876,TRUE,4,"viroli_laplace_gibbs",0.992488181656794,0.934093463739883,0.99005557345992,0.121956550949705,0.176807189957943,0.940321123290015,0.199679560227605,0.911059265137279,0.316302206432292,NA,NA,0.105939421054583,1,233.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13194519282695,0.101538985257424,0.054822168604474,0.993673149397147,NA,0.930963778220479,0.13194519282695,0.101538985257424,0.993673149397249,NA,0.906299022705542,0.000482806847225504,0.296149425506219,0.00360250790816839,328,0,"axis_sorted_product",0.97389422322316,"alpha+loading+joint_mu+joint_var+joint_weight",0.959271759200424,0.976895670654129,"alpha+loading+joint_mu+joint_weight",6.4015778824119,152.477593729971,158.519181548253,7.58799869513348,98.3558383399649,6.4015778824119,155.690758612085,870.778133581468,1000,820.95589745499,1000,278.901215973829,618.350731154382,0.116737008094788,0.00675535202026367,0.0137650966644287,0.00153684616088867,NA,0.000398874282836914,0.0847409963607788,0.00260245800018311,0.00554800033569336,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep10_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
