"scenario","rep","np_regime","n","p","H_true","G_true","G_config","K_joint","fix_dgp_parameters","stable_scenario_seeds","dgp_parameter_seed","loading_parameter_seed","mixture_parameter_seed","data_seed","dgp_p_max","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","intercept_sd","intercept_block_span","intercept_clip","loading_design","block_size_mode","loading_sign_mode","alignment_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","dgp_min_block_size","dgp_median_block_size","dgp_max_block_size","dgp_min_total_nonzero_loadings_by_factor","dgp_median_total_nonzero_loadings_by_factor","dgp_min_cross_nonzero_loadings_by_factor","dgp_median_cross_nonzero_loadings_by_factor","dgp_mean_nonzero_loadings_per_item","dgp_mean_cross_loadings_per_item","dgp_cross_nonzero_fraction","dgp_mean_abs_primary_loading","dgp_mean_abs_cross_loading","dgp_min_loading_l2_by_factor","dgp_median_loading_l2_by_factor","dgp_min_primary_l2_by_factor","dgp_median_primary_l2_by_factor","dgp_n_items_all_zero","dgp_n_items_all_one","dgp_n_items_prev_lt_01","dgp_n_items_prev_gt_99","dgp_min_item_prevalence","dgp_q05_item_prevalence","dgp_median_item_prevalence","dgp_q95_item_prevalence","dgp_max_item_prevalence","dgp_min_marginal_component_count","dgp_median_marginal_component_count","dgp_n_empty_marginal_components","dgp_observed_joint_profiles","dgp_possible_joint_profiles","ours_pretraining_method","viroli_lambda_l1_penalty","viroli_loading_prior","viroli_normalize_each_draw","viroli_min_scale","canonical_min_scale","min_mixture_var","viroli_seed","parallel_enabled","parallel_workers","method","mean_factor_abs_cor","mean_loading_abs_cor","min_factor_abs_cor","factor_score_rmse","factor_score_raw_rmse","lambda_corr","lambda_rmse","alpha_corr","alpha_rmse","alpha_raw_corr","alpha_raw_rmse","probability_rmse","joint_profile_ari","seconds","stage1_signal_relative_frobenius_error","stage1_signal_per_entry_mse","stage1_signal_correlation","stage1_sinTheta_op","stage1_sinTheta_fro","stage1_estimated_rank","stage1_full_loglik_per_response","stage1_true_sv_H","stage1_true_sv_Hplus1","stage1_fit_sv_H","stage1_fit_sv_Hplus1","stage1_fit_sv_H_to_Hplus1_ratio","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","marginal_mu_corr","marginal_log_var_corr","marginal_weight_corr","joint_mu_rmse","joint_var_rmse","joint_mu_corr","joint_var_corr","joint_weight_corr","joint_weight_rmse","joint_weight_l1","joint_weight_max_abs_error","est_effective_classes_001","est_effective_classes_01","joint_alignment_method","flat_parameter_corr","flat_parameter_blocks","all_parameter_corr","all_parameter_corr_raw","all_parameter_blocks","gibbs_min_parameter_ess","gibbs_median_parameter_ess","gibbs_mean_parameter_ess","gibbs_min_alpha_ess","gibbs_median_alpha_ess","gibbs_min_lambda_ess","gibbs_median_lambda_ess","gibbs_min_pi_ess","gibbs_median_pi_ess","gibbs_min_mu_ess","gibbs_median_mu_ess","gibbs_min_sig2_ess","gibbs_median_sig2_ess","gibbs_median_iteration_seconds","gibbs_median_z_sample_seconds","gibbs_median_factor_sample_seconds","gibbs_median_class_sample_seconds","gibbs_median_mixture_weight_seconds","gibbs_median_mixture_parameter_seconds","gibbs_median_regression_seconds","gibbs_median_normalization_seconds","gibbs_median_keep_draw_seconds","gibbs_median_diagnostics_seconds","occupied_classes","posterior_kept_draws","mfa_converged","mfa_completed_iter","mfa_final_lambda_rel_range","mfa_final_intercept_rel_range","mfa_final_occupied_range","source_chunk","em_svd_init_method","em_svd_init_z","selected_em_start","em_svd_soft_shrinkage","em_svd_soft_shrinkage_ratio","em_svd_soft_shrinkage_reference","em_svd_soft_rank_cap","mixture_update","pretrain_loading_penalty","rotation_optimizer","rotation_loading_l1_penalty","riemannian_rotation_steps","riemannian_update","lambda_l1_penalty","lasso_backend","glmnet_standardize","refine_enforce_monotone","refine_monotone_tolerance","refine_normalize_factor_scale","refine_normalize_factor_location","refine_factor_score_bound","canonical_normalize_ours","store_refinement_step_history","mu_prior_mean","mu_prior_kappa","var_prior_shape","var_prior_scale","weight_prior_alpha","refine_mu_prior_mean","refine_mu_prior_kappa","refine_var_prior_shape","refine_var_prior_scale","refine_weight_prior_alpha","pretraining_converged","pretraining_convergence_reason","pretraining_completed_iter","selected_pretraining_iteration","pretraining_return_best_iteration","rotation_converged","rotation_completed_outer","refinement_converged","refinement_completed_iter","selected_refinement_iteration","refinement_return_best_iteration","refinement_stopping_objective","refinement_all_mixtures_converged","refinement_monotone_guard_triggered","ours_median_em_iteration_seconds","ours_median_em_e_step_seconds","ours_median_em_projection_seconds","ours_median_em_objective_seconds","ours_median_rotation_iteration_seconds","ours_median_rotation_update_seconds","ours_median_rotation_mixture_refit_seconds","ours_median_rotation_objective_seconds","ours_median_refinement_iteration_seconds","ours_median_refinement_factor_update_seconds","ours_median_refinement_lambda_update_seconds","ours_median_refinement_mixture_update_seconds"
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n100p500",100,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,1864636635,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,49,68,12,24,1.46,0.46,0.0511111111111111,1.49387145978305,1.47518526363065,10.4971781017713,12.4665011762326,8.77180576661721,9.46810790810068,0,0,0,0,0.17,0.33,0.54,0.7205,0.86,41,50,0,95,1024,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1864636672,TRUE,4,"viroli_laplace_gibbs",0.986640304150535,0.934092069319344,0.981959605695505,0.162641316343484,0.19086226381086,0.93665862725058,0.206172213277109,0.916777001996662,0.309468621133884,NA,NA,0.113253409723908,1,142.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102809051930303,0.098129431513411,0.0497525411980186,0.996644104077355,NA,NA,0.102809051930303,0.0981294315134113,0.996644104077474,NA,NA,0.000313650951976128,0.254652717130747,0.00120360117020759,420,0,"axis_sorted_product",0.979754481953717,"alpha+loading+joint_mu+joint_var+joint_weight",0.972388052583247,0.984376518949716,"alpha+loading+joint_mu",5.42786211378315,136.808888395793,145.967476090933,5.62784882439772,141.548418826193,5.42786211378315,135.262393170584,691.276035124725,919.674350702185,470.236085558825,882.783011541725,55.5981555305301,288.378855185365,0.0701885223388672,0.0034785270690918,0.010899543762207,0.00150394439697266,NA,0.00039982795715332,0.0484368801116943,0.00156807899475098,0.0026320219039917,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n100p1000",100,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,2134261490,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,1.49661720458767,1.48147101980217,13.6190719845601,16.4379019131997,10.2701878813988,12.1960853160108,0,0,0,0,0.1,0.34,0.55,0.74,0.89,44,50,0,91,1024,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,2134261527,TRUE,4,"viroli_laplace_gibbs",0.991831349938654,0.935640947238335,0.985278798379597,0.127176755429068,0.143284411926567,0.942239843168079,0.197481007318709,0.933932272448401,0.277183909193636,NA,NA,0.10667671878578,1,230.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0695734601686795,0.0792261049482442,0.0308106141732696,0.998116086364974,NA,NA,0.0695734601686793,0.0792261049482442,0.998116086364877,NA,NA,0.000191647904245641,0.157693102567847,0.000532470945999112,400,0,"axis_sorted_product",0.979099786763809,"alpha+loading+joint_mu+joint_var+joint_weight",0.966047955987466,0.980454076778292,"alpha+loading+joint_mu",5.52347643079399,143.923849198337,149.243981619572,6.74079124193676,135.241094168373,5.52347643079399,143.938312361045,888.633514503222,970.39889542977,762.7942680648,959.438572810951,183.556287151039,401.866966771903,0.115705132484436,0.00682806968688965,0.0132405757904053,0.00156688690185547,NA,0.000400066375732422,0.0839550495147705,0.00260400772094727,0.005859375,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n100p500",100,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,214430945,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,49,68,12,24,1.46,0.46,0.0511111111111111,1.49387145978305,1.47518526363065,10.4971781017713,12.4665011762326,8.77180576661721,9.46810790810068,0,0,0,0,0.11,0.27,0.52,0.7105,0.85,20,32.5,0,99,59049,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,214430982,TRUE,4,"viroli_laplace_gibbs",0.98418413655787,0.938757377014452,0.974961364906758,0.176961604918745,0.248759895083222,0.939788492860403,0.226867333086689,0.913461567679545,0.336158712824824,NA,NA,0.11692760581411,NA,141.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.258990867121057,0.34137150605829,0.0607642251917219,0.994954322190413,0.455462240895678,-0.0479014555770395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",8.76582104707882,139.025635944981,146.224274650988,9.87323909262692,180.087357519193,8.76582104707882,137.467433979147,67.211991678198,156.241480116762,46.4225577782042,223.471044087671,76.9042125689705,223.988836308541,0.069968581199646,0.0034630298614502,0.0109370946884155,0.00162899494171143,NA,0.000460982322692871,0.0481390953063965,0.00160717964172363,0.00266551971435547,NA,30,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n100p1000",100,1000,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,484055800,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,1.49661720458767,1.48147101980217,13.6190719845601,16.4379019131997,10.2701878813988,12.1960853160108,0,0,0,0,0.12,0.3295,0.55,0.74,0.89,19,31,0,100,59049,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,484055837,TRUE,4,"viroli_laplace_gibbs",0.990451644241684,0.94049924957426,0.984728290145753,0.137498161447584,0.190872832417532,0.944241734937899,0.207928983015078,0.933305571068674,0.25951674616566,NA,NA,0.111894004200357,NA,229.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254736197915843,0.338760814542447,0.0546691187950148,0.994819667647446,0.436879772975405,0.109099482747715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",8.62892709027726,158.422378757704,162.633822853042,10.04691565084,194.103128057355,8.62892709027726,156.20357529257,32.6710957938347,118.594288143024,52.6087550622175,215.970388074118,79.9544813986844,250.869853146428,0.115304112434387,0.00686192512512207,0.0129830837249756,0.0016709566116333,NA,0.00046694278717041,0.0834485292434692,0.00263214111328125,0.00592494010925293,NA,30,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H5_G2-2-2-2-2_sep2",1,"n100p500",100,500,5,"2-2-2-2-2","2-2-2-2-2",32,TRUE,TRUE,22262731,20772531,22262731,1228258285,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",54,75,206,71,98,13,17,1.19,0.19,0.0475,1.50136164443148,1.50600129747763,12.9227151090441,15.4820459090462,11.307991314074,13.497656631278,0,0,0,0,0.11,0.31,0.56,0.76,0.87,43,50,0,32,32,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1228258322,TRUE,4,"viroli_laplace_gibbs",0.991996772252589,0.955769502436868,0.988771052944792,0.125882448895287,0.171157470786387,0.959710687798632,0.195932189888441,0.924878528423146,0.289130470694131,NA,NA,0.0815068654808066,1,105.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0904168082554072,0.0794869571236372,0.0443226092037201,0.996290546078689,NA,NA,0.0904168082554072,0.0794869571236372,0.99629054607869,NA,NA,0.00623469856712493,0.164301675388138,0.0136970553912454,32,32,"axis_sorted_product",0.956948043457225,"alpha+loading+joint_mu+joint_var+joint_weight",0.95554735183354,0.957112370444508,"alpha+loading+joint_mu",4.31297958125581,152.645322489048,158.783138793365,5.0650868644637,131.5971134044,4.31297958125581,154.299936296931,755.62178873262,886.898240603559,733.633400060783,933.071794261873,193.489183311283,442.721380468382,0.0520540475845337,0.003326416015625,0.0110704898834229,0.000912904739379883,NA,0.000266075134277344,0.0326334238052368,0.00134086608886719,0.00148940086364746,NA,10,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H5_G2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H5_G2-2-2-2-2_sep2",1,"n100p1000",100,1000,5,"2-2-2-2-2","2-2-2-2-2",32,TRUE,TRUE,22262731,20772531,22262731,2038500490,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",87,139,458,120,182,20,42,1.181,0.181,0.04525,1.49984542591404,1.53040684082993,16.8944932600132,21.1863162712866,14.3194635013082,18.5206828749047,0,0,0,0,0.11,0.3495,0.58,0.7605,0.94,39,50,0,30,32,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,2038500527,TRUE,4,"viroli_laplace_gibbs",0.994531927780858,0.954753521995972,0.992259065710531,0.104051828402493,0.162657052301176,0.960176879958018,0.194388129115388,0.9178736251734,0.308315843691447,NA,NA,0.0793725181747243,1,160.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109205945294677,0.0722602938072317,0.0550408145802272,0.994752040060621,NA,NA,0.109205945294677,0.0722602938072317,0.99475204006062,NA,NA,0.00773084712396149,0.221308569073964,0.0148348227853978,32,32,"axis_sorted_product",0.95395823371959,"alpha+loading+joint_mu+joint_var+joint_weight",0.953448404366747,0.953946209552139,"alpha+loading+joint_mu",3.87934772709883,155.721914677432,158.660087360256,4.19720525719757,118.496955950208,3.87934772709883,159.462323101614,810.943006140374,958.409012306655,779.094464417454,950.866035506499,383.950050377921,702.91412910972,0.080083966255188,0.00653111934661865,0.012825608253479,0.000926494598388672,NA,0.000267982482910156,0.0529015064239502,0.00217700004577637,0.00318503379821777,NA,10,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H5_G2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H5_G3-3-3-3-3_sep2",1,"n100p500",100,500,5,"3-3-3-3-3","3-3-3-3-3",243,TRUE,TRUE,23012731,20772531,23012731,950669940,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",54,75,206,71,98,13,17,1.19,0.19,0.0475,1.50136164443148,1.50600129747763,12.9227151090441,15.4820459090462,11.307991314074,13.497656631278,0,0,0,0,0.14,0.3395,0.6,0.78,0.89,20,35,0,77,243,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,950669977,TRUE,4,"viroli_laplace_gibbs",0.987747616957539,0.956254888109813,0.982280304890333,0.155755315877413,0.247615272198363,0.958488973275687,0.224558195430413,0.944361624308095,0.300080470300376,NA,NA,0.0856455554966564,0.170239796728601,104.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254794290554276,0.303443257828136,0.0833934603120391,0.992048386769098,0.521967916151743,-0.509285540525333,0.254794290554276,0.303443257828136,0.992048386769098,0.587150142745326,-0.48152209242013,0.00232403542108803,0.442668454129487,0.00792504515050722,243,0,"axis_sorted_product",0.940438469312532,"alpha+loading+joint_mu+joint_var+joint_weight",0.79735627723275,0.915148256858578,"alpha+loading+joint_mu+joint_log_var+joint_weight",7.59421233333261,156.21252816969,161.617058811863,8.06811727026837,175.639415288256,7.59421233333261,153.812371217152,73.872602134858,138.206118856473,72.8912659440353,211.709845539797,123.937894866033,230.434960334131,0.0518790483474731,0.00331521034240723,0.0108975172042847,0.000926494598388672,NA,0.00029909610748291,0.0326070785522461,0.00133609771728516,0.00145697593688965,NA,15,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H5_G3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H5_G3-3-3-3-3_sep2",1,"n100p1000",100,1000,5,"3-3-3-3-3","3-3-3-3-3",243,TRUE,TRUE,23012731,20772531,23012731,1760912145,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",87,139,458,120,182,20,42,1.181,0.181,0.04525,1.49984542591404,1.53040684082993,16.8944932600132,21.1863162712866,14.3194635013082,18.5206828749047,0,0,0,0,0.1,0.34,0.585,0.78,0.91,23,32,0,81,243,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1760912182,TRUE,4,"viroli_laplace_gibbs",0.992700934599614,0.954058800124743,0.986999631814079,0.120217093180484,0.152845757160813,0.958099667217271,0.203679061547319,0.937978179526961,0.245468191177798,NA,NA,0.0843594139962059,0.0400833416013493,159.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261151425245442,0.325780726186112,0.0764200432972581,0.994626307718635,0.560749695534609,-0.403866523428141,0.261151425245442,0.325780726186112,0.994626307718634,0.579660272202658,-0.387182861430305,0.00213283622773689,0.405881356853865,0.00753497573904838,243,0,"axis_sorted_product",0.942405389566079,"alpha+loading+joint_mu+joint_var+joint_weight",0.864869217901436,0.911435637691589,"alpha+loading+joint_mu+joint_log_var+joint_weight",6.91908749849267,182.445113759914,184.316732371821,7.68698959003208,202.376972109621,6.91908749849267,180.101248115618,44.8394450275229,142.706727023256,44.5203069454125,217.396582425187,87.2373830659883,286.321738464704,0.0798660516738892,0.00651347637176514,0.0127285718917847,0.000946998596191406,NA,0.000300884246826172,0.0528055429458618,0.00220108032226562,0.00323045253753662,NA,14,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H5_G3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep10_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",10,"n100p500",100,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,1977415714,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,49,68,12,24,1.46,0.46,0.0511111111111111,1.49387145978305,1.47518526363065,10.4971781017713,12.4665011762326,8.77180576661721,9.46810790810068,0,0,0,0,0.16,0.3,0.51,0.72,0.86,38,50,0,96,1024,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1977415751,TRUE,4,"viroli_laplace_gibbs",0.987598658304478,0.937667387730562,0.981879609706111,0.156699255126285,0.209315825172142,0.939878705012074,0.203788834923998,0.899922947120429,0.352665644531535,NA,NA,0.111652951356353,1,139.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114640368844331,0.0916401312160697,0.0576640779514524,0.994293858122324,NA,NA,0.11464036884433,0.0916401312160695,0.994293858122391,NA,NA,0.000365435722673554,0.29722795938722,0.00142465625841287,418,0,"axis_sorted_product",0.981217644562321,"alpha+loading+joint_mu+joint_var+joint_weight",0.971134623183123,0.98260001756711,"alpha+loading+joint_mu",6.82309496721594,137.493224756743,148.09913980006,9.40340442656024,137.03196449708,6.82309496721594,136.580210619987,789.08412422407,868.028257485842,612.837967104057,850.816695390595,126.82271661021,260.933561991773,0.0706440210342407,0.00350785255432129,0.0116109848022461,0.00153350830078125,NA,0.000400066375732422,0.0478819608688354,0.0015869140625,0.00295650959014893,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep10_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep10_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",10,"n100p1000",100,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,1875939839,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,1.49661720458767,1.48147101980217,13.6190719845601,16.4379019131997,10.2701878813988,12.1960853160108,0,0,0,0,0.15,0.3495,0.53,0.71,0.86,39,50,0,96,1024,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1875939876,TRUE,4,"viroli_laplace_gibbs",0.991365882180041,0.936805575893666,0.984360731729985,0.130749964755327,0.184846545123261,0.942811008029566,0.195790612069153,0.880567694099614,0.339570476453056,NA,NA,0.107425142809174,1,233.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129266871913656,0.0792508938846948,0.0661932129681252,0.991160851262493,NA,NA,0.129266871913656,0.0792508938846947,0.99116085126257,NA,NA,0.000423203559789354,0.34005582141276,0.00155117204163792,406,0,"axis_sorted_product",0.973011613821947,"alpha+loading+joint_mu+joint_var+joint_weight",0.961694009265188,0.974616591167927,"alpha+loading+joint_mu",5.74649656963235,150.895659439206,156.231806660755,6.66784487175664,148.882304197079,5.74649656963235,150.528890046301,855.635803727431,988.312165191019,829.553417687495,984.787537311929,216.696414779373,515.049951130841,0.116582989692688,0.00685214996337891,0.0139360427856445,0.00156211853027344,NA,0.000402569770812988,0.0844540596008301,0.00261092185974121,0.00553512573242188,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep10_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
