"scenario","rep","np_regime","n","p","H_true","G_true","G_config","K_joint","fix_dgp_parameters","stable_scenario_seeds","dgp_parameter_seed","loading_parameter_seed","mixture_parameter_seed","data_seed","dgp_p_max","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","intercept_sd","intercept_block_span","intercept_clip","loading_design","block_size_mode","loading_sign_mode","alignment_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","dgp_min_block_size","dgp_median_block_size","dgp_max_block_size","dgp_min_total_nonzero_loadings_by_factor","dgp_median_total_nonzero_loadings_by_factor","dgp_min_cross_nonzero_loadings_by_factor","dgp_median_cross_nonzero_loadings_by_factor","dgp_mean_nonzero_loadings_per_item","dgp_mean_cross_loadings_per_item","dgp_cross_nonzero_fraction","dgp_mean_abs_primary_loading","dgp_mean_abs_cross_loading","dgp_min_loading_l2_by_factor","dgp_median_loading_l2_by_factor","dgp_min_primary_l2_by_factor","dgp_median_primary_l2_by_factor","dgp_n_items_all_zero","dgp_n_items_all_one","dgp_n_items_prev_lt_01","dgp_n_items_prev_gt_99","dgp_min_item_prevalence","dgp_q05_item_prevalence","dgp_median_item_prevalence","dgp_q95_item_prevalence","dgp_max_item_prevalence","dgp_min_marginal_component_count","dgp_median_marginal_component_count","dgp_n_empty_marginal_components","dgp_observed_joint_profiles","dgp_possible_joint_profiles","ours_pretraining_method","viroli_lambda_l1_penalty","viroli_loading_prior","viroli_normalize_each_draw","viroli_min_scale","canonical_min_scale","min_mixture_var","viroli_seed","parallel_enabled","parallel_workers","method","mean_factor_abs_cor","mean_loading_abs_cor","min_factor_abs_cor","factor_score_rmse","factor_score_raw_rmse","lambda_corr","lambda_rmse","alpha_corr","alpha_rmse","alpha_raw_corr","alpha_raw_rmse","probability_rmse","joint_profile_ari","seconds","stage1_signal_relative_frobenius_error","stage1_signal_per_entry_mse","stage1_signal_correlation","stage1_sinTheta_op","stage1_sinTheta_fro","stage1_estimated_rank","stage1_full_loglik_per_response","stage1_true_sv_H","stage1_true_sv_Hplus1","stage1_fit_sv_H","stage1_fit_sv_Hplus1","stage1_fit_sv_H_to_Hplus1_ratio","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","marginal_mu_corr","marginal_log_var_corr","marginal_weight_corr","joint_mu_rmse","joint_var_rmse","joint_mu_corr","joint_var_corr","joint_weight_corr","joint_weight_rmse","joint_weight_l1","joint_weight_max_abs_error","est_effective_classes_001","est_effective_classes_01","joint_alignment_method","flat_parameter_corr","flat_parameter_blocks","all_parameter_corr","all_parameter_corr_raw","all_parameter_blocks","gibbs_min_parameter_ess","gibbs_median_parameter_ess","gibbs_mean_parameter_ess","gibbs_min_alpha_ess","gibbs_median_alpha_ess","gibbs_min_lambda_ess","gibbs_median_lambda_ess","gibbs_min_pi_ess","gibbs_median_pi_ess","gibbs_min_mu_ess","gibbs_median_mu_ess","gibbs_min_sig2_ess","gibbs_median_sig2_ess","gibbs_median_iteration_seconds","gibbs_median_z_sample_seconds","gibbs_median_factor_sample_seconds","gibbs_median_class_sample_seconds","gibbs_median_mixture_weight_seconds","gibbs_median_mixture_parameter_seconds","gibbs_median_regression_seconds","gibbs_median_normalization_seconds","gibbs_median_keep_draw_seconds","gibbs_median_diagnostics_seconds","occupied_classes","posterior_kept_draws","mfa_converged","mfa_completed_iter","mfa_final_lambda_rel_range","mfa_final_intercept_rel_range","mfa_final_occupied_range","source_chunk","em_svd_init_method","em_svd_init_z","selected_em_start","em_svd_soft_shrinkage","em_svd_soft_shrinkage_ratio","em_svd_soft_shrinkage_reference","em_svd_soft_rank_cap","mixture_update","pretrain_loading_penalty","rotation_optimizer","rotation_loading_l1_penalty","riemannian_rotation_steps","riemannian_update","lambda_l1_penalty","lasso_backend","glmnet_standardize","refine_enforce_monotone","refine_monotone_tolerance","refine_normalize_factor_scale","refine_normalize_factor_location","refine_factor_score_bound","canonical_normalize_ours","store_refinement_step_history","mu_prior_mean","mu_prior_kappa","var_prior_shape","var_prior_scale","weight_prior_alpha","refine_mu_prior_mean","refine_mu_prior_kappa","refine_var_prior_shape","refine_var_prior_scale","refine_weight_prior_alpha","pretraining_converged","pretraining_convergence_reason","pretraining_completed_iter","selected_pretraining_iteration","pretraining_return_best_iteration","rotation_converged","rotation_completed_outer","refinement_converged","refinement_completed_iter","selected_refinement_iteration","refinement_return_best_iteration","refinement_stopping_objective","refinement_all_mixtures_converged","refinement_monotone_guard_triggered","ours_median_em_iteration_seconds","ours_median_em_e_step_seconds","ours_median_em_projection_seconds","ours_median_em_objective_seconds","ours_median_rotation_iteration_seconds","ours_median_rotation_update_seconds","ours_median_rotation_mixture_refit_seconds","ours_median_rotation_objective_seconds","ours_median_refinement_iteration_seconds","ours_median_refinement_factor_update_seconds","ours_median_refinement_lambda_update_seconds","ours_median_refinement_mixture_update_seconds"
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n100p500",100,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,1864636635,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,49,68,12,24,1.46,0.46,0.0511111111111111,1.49387145978305,1.47518526363065,10.4971781017713,12.4665011762326,8.77180576661721,9.46810790810068,0,0,0,0,0.19,0.3395,0.54,0.73,0.85,41,50,0,95,1024,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1864636672,TRUE,4,"viroli_laplace_gibbs",0.989081025864558,0.93117809212155,0.984099430254743,0.147035943864676,0.178805888644359,0.934220596491943,0.212359429857382,0.916055565249451,0.306828560899293,NA,NA,0.109754835298354,1,141.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107464089857988,0.104909803747696,0.0508147434231604,0.996382376517963,NA,NA,0.107464089857988,0.104909803747696,0.996382376517813,NA,NA,0.000320538137834362,0.260265855111701,0.00120348335775408,412,0,"axis_sorted_product",0.979093376360763,"alpha+loading+joint_mu+joint_var+joint_weight",0.970993242526831,0.983977612354206,"alpha+loading+joint_mu",5.92558483046783,137.920277266112,147.336117369023,6.85070264491472,136.92143917511,5.92558483046783,137.355425126246,806.346196855028,961.947339700045,754.869261161871,953.082923264581,201.442174055935,415.67142844481,0.0704269409179688,0.00348103046417236,0.0111619234085083,0.00154399871826172,NA,0.000408172607421875,0.0483064651489258,0.00161099433898926,0.0027775764465332,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n100p1000",100,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,2134261490,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,1.49661720458767,1.48147101980217,13.6190719845601,16.4379019131997,10.2701878813988,12.1960853160108,0,0,0,0,0.13,0.34,0.55,0.73,0.87,44,50,0,91,1024,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,2134261527,TRUE,4,"viroli_laplace_gibbs",0.992796013425341,0.932019790218937,0.989406041040576,0.119431542809366,0.137002373395193,0.938645552595996,0.20611533394345,0.926302214427588,0.291252467917228,NA,NA,0.104205970522727,1,233.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0730965361908479,0.0896827036210214,0.030566018505272,0.998138097182652,NA,NA,0.0730965361908475,0.0896827036210215,0.998138097182655,NA,NA,0.000190088194112227,0.157048359544717,0.000523665456971512,417,0,"axis_sorted_product",0.977682230031107,"alpha+loading+joint_mu+joint_var+joint_weight",0.963268918794178,0.979324057239658,"alpha+loading+joint_mu",6.22521537595969,140.766272114368,147.133678658513,6.72684837047702,126.524595849728,6.22521537595969,140.910447218052,950.195820183815,1000,947.168894091646,1000,278.61040242784,541.0028213776,0.117368459701538,0.00677692890167236,0.013715386390686,0.0016019344329834,NA,0.000406980514526367,0.0849571228027344,0.00263392925262451,0.0055999755859375,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n100p500",100,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,214430945,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,49,68,12,24,1.46,0.46,0.0511111111111111,1.49387145978305,1.47518526363065,10.4971781017713,12.4665011762326,8.77180576661721,9.46810790810068,0,0,0,0,0.11,0.27,0.52,0.72,0.84,20,32.5,0,99,59049,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,214430982,TRUE,4,"viroli_laplace_gibbs",0.984272977154396,0.93917035579815,0.976763713563674,0.176463892154447,0.244552897957612,0.939374587749344,0.227619419694941,0.908245437313185,0.34254326569456,NA,NA,0.118620348560135,NA,141.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307294027874971,0.40600245088208,0.0769800921447711,0.98915014579797,0.454388371567049,-0.19712271912149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",9.54047754638897,135.951903741784,143.407024744569,14.0152839678782,170.447327647662,9.54047754638897,134.076071354943,30.6060542521346,113.860229267274,44.2287483682251,165.735248730359,59.2012346622876,223.717335758573,0.0707309246063232,0.00347661972045898,0.0111490488052368,0.00164008140563965,NA,0.000462055206298828,0.0484844446182251,0.00160706043243408,0.00279450416564941,NA,27,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n100p1000",100,1000,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,484055800,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,1.49661720458767,1.48147101980217,13.6190719845601,16.4379019131997,10.2701878813988,12.1960853160108,0,0,0,0,0.13,0.32,0.55,0.7305,0.88,19,31,0,100,59049,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,484055837,TRUE,4,"viroli_laplace_gibbs",0.990439655920766,0.940237067686518,0.982755292271872,0.137584451435773,0.178986559928361,0.944276923846199,0.204557272137571,0.928530445117315,0.270511175198478,NA,NA,0.112505954776209,NA,232.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28509599255797,0.399859091063044,0.0507421322363134,0.995466553327077,0.515920250187868,0.213613429823937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",6.19477899543119,155.721246801261,160.667236277024,6.25579341134054,187.94455995369,6.19477899543119,154.333469974052,40.4875641127351,113.60416192855,49.9357183320078,169.238423592251,65.7736791588721,166.303190360148,0.116855621337891,0.00684905052185059,0.0137920379638672,0.00170791149139404,NA,0.000474452972412109,0.0845649242401123,0.00264239311218262,0.00561189651489258,NA,29,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H5_G2-2-2-2-2_sep2",1,"n100p500",100,500,5,"2-2-2-2-2","2-2-2-2-2",32,TRUE,TRUE,22262731,20772531,22262731,1228258285,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",54,75,206,71,98,13,17,1.19,0.19,0.0475,1.50136164443148,1.50600129747763,12.9227151090441,15.4820459090462,11.307991314074,13.497656631278,0,0,0,0,0.11,0.32,0.55,0.75,0.88,43,50,0,32,32,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1228258322,TRUE,4,"viroli_laplace_gibbs",0.993743620655704,0.954212014480319,0.990155185955798,0.111299735407174,0.155094054538639,0.958022488258264,0.201644122793115,0.923298467158766,0.296482133467959,NA,NA,0.0779573467632556,1,103.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0934892774683199,0.0883303638321845,0.0441935296094377,0.996268014828579,NA,NA,0.0934892774683199,0.0883303638321845,0.99626801482858,NA,NA,0.0062153856399469,0.164143099329739,0.0135088450096932,32,32,"axis_sorted_product",0.955389159616854,"alpha+loading+joint_mu+joint_var+joint_weight",0.95382389010195,0.955566137676038,"alpha+loading+joint_mu",6.71305414569723,151.036477059772,157.802418622497,8.41943536179872,123.604294713689,6.71305414569723,153.929609801612,777.380429916955,960.235759170912,766.883332403413,919.889900200104,202.9356376508,652.171105371938,0.0517251491546631,0.00341796875,0.0106849670410156,0.000901937484741211,NA,0.00026702880859375,0.0326321125030518,0.00137042999267578,0.00154352188110352,NA,10,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H5_G2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H5_G2-2-2-2-2_sep2",1,"n100p1000",100,1000,5,"2-2-2-2-2","2-2-2-2-2",32,TRUE,TRUE,22262731,20772531,22262731,2038500490,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",87,139,458,120,182,20,42,1.181,0.181,0.04525,1.49984542591404,1.53040684082993,16.8944932600132,21.1863162712866,14.3194635013082,18.5206828749047,0,0,0,0,0.14,0.35,0.58,0.76,0.94,39,50,0,30,32,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,2038500527,TRUE,4,"viroli_laplace_gibbs",0.99545606679846,0.952548177985102,0.993626798667203,0.0948524524672395,0.154221280719012,0.958184712832897,0.201270342330768,0.911839063995399,0.319702333054569,NA,NA,0.0771803325206797,1,161.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112742719820788,0.0823514403648199,0.0552083586216566,0.994664333761193,NA,NA,0.112742719820788,0.0823514403648199,0.994664333761196,NA,NA,0.0077552639583861,0.221795779000251,0.0150679021755078,32,32,"axis_sorted_product",0.951594367827991,"alpha+loading+joint_mu+joint_var+joint_weight",0.950966462922528,0.951562309455242,"alpha+loading+joint_mu",5.40416138988104,152.52342018049,155.658989685321,5.50868354751991,106.060961554221,5.40416138988104,157.792271967735,811.923262480479,953.137547291758,788.012510946417,941.177693956231,597.614001883034,760.767161789638,0.0805954933166504,0.00665795803070068,0.013185977935791,0.000945568084716797,NA,0.000267982482910156,0.0532870292663574,0.00222957134246826,0.00298404693603516,NA,10,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H5_G2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H5_G3-3-3-3-3_sep2",1,"n100p500",100,500,5,"3-3-3-3-3","3-3-3-3-3",243,TRUE,TRUE,23012731,20772531,23012731,950669940,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",54,75,206,71,98,13,17,1.19,0.19,0.0475,1.50136164443148,1.50600129747763,12.9227151090441,15.4820459090462,11.307991314074,13.497656631278,0,0,0,0,0.13,0.3395,0.6,0.77,0.89,20,35,0,77,243,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,950669977,TRUE,4,"viroli_laplace_gibbs",0.989232229234038,0.957362509899676,0.984296743386934,0.146014335311996,0.247283690786677,0.958767479417695,0.225408378101556,0.942998693790285,0.305530148159278,NA,NA,0.0850505955105886,0.533073082951181,104.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.275433450116734,0.358813103157107,0.068149173556461,0.994044828480806,0.539866557609125,-0.416990974307625,0.275433450116734,0.358813103157107,0.99404482848081,0.557344508887875,-0.402175208596787,0.00190059030858751,0.362880887844667,0.00723391515063607,243,0,"axis_sorted_product",0.934392802119149,"alpha+loading+joint_mu+joint_var+joint_weight",0.834253238139404,0.874226344591252,"alpha+loading+joint_mu+joint_log_var+joint_weight",6.84729279140199,161.749094326225,163.952488348522,9.0758196879392,176.941721390348,6.84729279140199,159.487295648558,64.6742740014781,146.222466136359,78.8066848547753,180.073499172245,92.7567460345507,207.288145018796,0.0521739721298218,0.00340795516967773,0.0108445882797241,0.000946998596191406,NA,0.000303030014038086,0.0326941013336182,0.00135898590087891,0.00151002407073975,NA,14,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H5_G3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H5_G3-3-3-3-3_sep2",1,"n100p1000",100,1000,5,"3-3-3-3-3","3-3-3-3-3",243,TRUE,TRUE,23012731,20772531,23012731,1760912145,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",87,139,458,120,182,20,42,1.181,0.181,0.04525,1.49984542591404,1.53040684082993,16.8944932600132,21.1863162712866,14.3194635013082,18.5206828749047,0,0,0,0,0.1,0.3495,0.58,0.79,0.9,23,32,0,81,243,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1760912182,TRUE,4,"viroli_laplace_gibbs",0.993638645319925,0.956771745312981,0.988994994350884,0.112229596214849,0.156165076515217,0.959620081039853,0.200979051134629,0.941688099756303,0.239211396593645,NA,NA,0.0840306797780134,0.40796247568928,162.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26971980820647,0.369652184216698,0.0559665822334717,0.996417034952821,0.606389262226075,-0.0535885129127161,0.26971980820647,0.369652184216698,0.996417034952836,0.625801508519972,-0.0539134340938287,0.00157003240927479,0.298330328692474,0.00629437912602123,243,0,"axis_sorted_product",0.94092827598792,"alpha+loading+joint_mu+joint_var+joint_weight",0.894482197449707,0.869556689859595,"alpha+loading+joint_mu+joint_log_var+joint_weight",9.1226528064712,182.197233222875,184.339122648647,9.1226528064712,205.303758026374,10.4776620984422,179.682148998446,70.5206346484517,117.023256520195,69.1427739289594,202.613601968218,102.777925120352,198.187318279519,0.0810521841049194,0.00667548179626465,0.0131930112838745,0.000977516174316406,NA,0.000303030014038086,0.0533849000930786,0.00222539901733398,0.00305795669555664,NA,15,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep1_H5_G3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep10_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",10,"n100p500",100,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,1977415714,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,49,68,12,24,1.46,0.46,0.0511111111111111,1.49387145978305,1.47518526363065,10.4971781017713,12.4665011762326,8.77180576661721,9.46810790810068,0,0,0,0,0.14,0.3,0.51,0.72,0.88,38,50,0,96,1024,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1977415751,TRUE,4,"viroli_laplace_gibbs",0.990046388647042,0.934940058624599,0.986267151071887,0.14038572035238,0.196313943040521,0.937129970361971,0.208579465324909,0.898593528317031,0.354760381512071,NA,NA,0.107535301667888,1,143.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124693508606008,0.102307084380521,0.0611048816551513,0.993625390139568,NA,NA,0.124693508606007,0.102307084380521,0.993625390139495,NA,NA,0.000388191901161542,0.315784721412213,0.00149759833256522,416,0,"axis_sorted_product",0.980257120381941,"alpha+loading+joint_mu+joint_var+joint_weight",0.969599203023726,0.981862621829578,"alpha+loading+joint_mu",5.5192518382897,139.607307368809,148.991115368413,6.89496862185403,137.138398699766,5.5192518382897,138.890337896141,937.618103897486,1000,903.005380019321,1000,150.782356023358,444.456127847535,0.0725250244140625,0.00355291366577148,0.0118885040283203,0.00158345699310303,NA,0.000406980514526367,0.0492379665374756,0.0016249418258667,0.003013014793396,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep10_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep10_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",10,"n100p1000",100,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,1875939839,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,1.49661720458767,1.48147101980217,13.6190719845601,16.4379019131997,10.2701878813988,12.1960853160108,0,0,0,0,0.13,0.34,0.53,0.7,0.86,39,50,0,96,1024,NA,3,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1875939876,TRUE,4,"viroli_laplace_gibbs",0.992954894694255,0.934519473205685,0.989118504822057,0.11810719074373,0.177550460874341,0.94080556497922,0.201735711022089,0.879297433940443,0.343788510993496,NA,NA,0.104268666042813,1,234.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13233018533242,0.0920101355654183,0.0659119183497175,0.991251336437709,NA,NA,0.13233018533242,0.0920101355654187,0.991251336437461,NA,NA,0.000421336992490089,0.338396678221191,0.00155269065044756,401,0,"axis_sorted_product",0.972142420056866,"alpha+loading+joint_mu+joint_var+joint_weight",0.960129594723324,0.974137575911008,"alpha+loading+joint_mu",6.91854509253029,148.395353247962,154.010372653546,7.17968030207572,136.67734014952,6.91854509253029,148.445962866306,871.890183552577,978.267485259287,841.946017357111,967.789411273611,245.642199302772,615.377676319145,0.11546003818512,0.00686442852020264,0.0130665302276611,0.00156188011169434,NA,0.000398159027099609,0.0835814476013184,0.00263118743896484,0.00592458248138428,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty3_rep10_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
