"scenario","rep","np_regime","n","p","H_true","G_true","G_config","K_joint","fix_dgp_parameters","stable_scenario_seeds","dgp_parameter_seed","loading_parameter_seed","mixture_parameter_seed","data_seed","dgp_p_max","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","intercept_sd","intercept_block_span","intercept_clip","loading_design","block_size_mode","loading_sign_mode","alignment_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","dgp_min_block_size","dgp_median_block_size","dgp_max_block_size","dgp_min_total_nonzero_loadings_by_factor","dgp_median_total_nonzero_loadings_by_factor","dgp_min_cross_nonzero_loadings_by_factor","dgp_median_cross_nonzero_loadings_by_factor","dgp_mean_nonzero_loadings_per_item","dgp_mean_cross_loadings_per_item","dgp_cross_nonzero_fraction","dgp_mean_abs_primary_loading","dgp_mean_abs_cross_loading","dgp_min_loading_l2_by_factor","dgp_median_loading_l2_by_factor","dgp_min_primary_l2_by_factor","dgp_median_primary_l2_by_factor","dgp_n_items_all_zero","dgp_n_items_all_one","dgp_n_items_prev_lt_01","dgp_n_items_prev_gt_99","dgp_min_item_prevalence","dgp_q05_item_prevalence","dgp_median_item_prevalence","dgp_q95_item_prevalence","dgp_max_item_prevalence","dgp_min_marginal_component_count","dgp_median_marginal_component_count","dgp_n_empty_marginal_components","dgp_observed_joint_profiles","dgp_possible_joint_profiles","ours_pretraining_method","viroli_lambda_l1_penalty","viroli_loading_prior","viroli_normalize_each_draw","viroli_min_scale","canonical_min_scale","min_mixture_var","viroli_seed","parallel_enabled","parallel_workers","method","mean_factor_abs_cor","mean_loading_abs_cor","min_factor_abs_cor","factor_score_rmse","factor_score_raw_rmse","lambda_corr","lambda_rmse","alpha_corr","alpha_rmse","alpha_raw_corr","alpha_raw_rmse","probability_rmse","joint_profile_ari","seconds","stage1_signal_relative_frobenius_error","stage1_signal_per_entry_mse","stage1_signal_correlation","stage1_sinTheta_op","stage1_sinTheta_fro","stage1_estimated_rank","stage1_full_loglik_per_response","stage1_true_sv_H","stage1_true_sv_Hplus1","stage1_fit_sv_H","stage1_fit_sv_Hplus1","stage1_fit_sv_H_to_Hplus1_ratio","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","marginal_mu_corr","marginal_log_var_corr","marginal_weight_corr","joint_mu_rmse","joint_var_rmse","joint_mu_corr","joint_var_corr","joint_weight_corr","joint_weight_rmse","joint_weight_l1","joint_weight_max_abs_error","est_effective_classes_001","est_effective_classes_01","joint_alignment_method","flat_parameter_corr","flat_parameter_blocks","all_parameter_corr","all_parameter_corr_raw","all_parameter_blocks","gibbs_min_parameter_ess","gibbs_median_parameter_ess","gibbs_mean_parameter_ess","gibbs_min_alpha_ess","gibbs_median_alpha_ess","gibbs_min_lambda_ess","gibbs_median_lambda_ess","gibbs_min_pi_ess","gibbs_median_pi_ess","gibbs_min_mu_ess","gibbs_median_mu_ess","gibbs_min_sig2_ess","gibbs_median_sig2_ess","gibbs_median_iteration_seconds","gibbs_median_z_sample_seconds","gibbs_median_factor_sample_seconds","gibbs_median_class_sample_seconds","gibbs_median_mixture_weight_seconds","gibbs_median_mixture_parameter_seconds","gibbs_median_regression_seconds","gibbs_median_normalization_seconds","gibbs_median_keep_draw_seconds","gibbs_median_diagnostics_seconds","occupied_classes","posterior_kept_draws","mfa_converged","mfa_completed_iter","mfa_final_lambda_rel_range","mfa_final_intercept_rel_range","mfa_final_occupied_range","source_chunk","em_svd_init_method","em_svd_init_z","selected_em_start","em_svd_soft_shrinkage","em_svd_soft_shrinkage_ratio","em_svd_soft_shrinkage_reference","em_svd_soft_rank_cap","mixture_update","pretrain_loading_penalty","rotation_optimizer","rotation_loading_l1_penalty","riemannian_rotation_steps","riemannian_update","lambda_l1_penalty","lasso_backend","glmnet_standardize","refine_enforce_monotone","refine_monotone_tolerance","refine_normalize_factor_scale","refine_normalize_factor_location","refine_factor_score_bound","canonical_normalize_ours","store_refinement_step_history","mu_prior_mean","mu_prior_kappa","var_prior_shape","var_prior_scale","weight_prior_alpha","refine_mu_prior_mean","refine_mu_prior_kappa","refine_var_prior_shape","refine_var_prior_scale","refine_weight_prior_alpha","pretraining_converged","pretraining_convergence_reason","pretraining_completed_iter","selected_pretraining_iteration","pretraining_return_best_iteration","rotation_converged","rotation_completed_outer","refinement_converged","refinement_completed_iter","selected_refinement_iteration","refinement_return_best_iteration","refinement_stopping_objective","refinement_all_mixtures_converged","refinement_monotone_guard_triggered","ours_median_em_iteration_seconds","ours_median_em_e_step_seconds","ours_median_em_projection_seconds","ours_median_em_objective_seconds","ours_median_rotation_iteration_seconds","ours_median_rotation_update_seconds","ours_median_rotation_mixture_refit_seconds","ours_median_rotation_objective_seconds","ours_median_refinement_iteration_seconds","ours_median_refinement_factor_update_seconds","ours_median_refinement_lambda_update_seconds","ours_median_refinement_mixture_update_seconds"
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n100p500",100,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,1862388544,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,56,67,17,23.5,1.478,0.478,0.0531111111111111,1.50306956235413,1.48404375325584,11.3609624549555,12.5711687343245,9.14597853706678,9.75326946907888,0,0,0,0,0.21,0.3195,0.52,0.7105,0.88,32,50,0,90,1024,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1862388581,TRUE,4,"viroli_laplace_gibbs",0.99007873004256,0.945417725589795,0.988123038964134,0.140157463289445,0.166860042901479,0.944232959962633,0.195192268618403,0.939599013078468,0.238029728615893,NA,NA,0.0986657483261102,1,203.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108116910305631,0.101678605665089,0.0376216321483839,0.997662242085104,NA,0.972226440996522,0.10811691030563,0.101678605665089,0.997662242085118,NA,0.960959577457327,0.000346115804623563,0.199392298043216,0.00394067621591925,335,0,"axis_sorted_product",0.985202005177571,"alpha+loading+joint_mu+joint_var+joint_weight",0.977723511976051,0.989878241952826,"alpha+loading+joint_mu+joint_weight",10.2549826694098,200.246143867242,205.337721210787,10.4730566125569,154.84829628702,10.2549826694098,202.170979869867,826.112222559195,978.711315533145,804.78833442362,997.98545847506,280.16407804106,561.624322002337,0.100096464157104,0.00539398193359375,0.0143070220947266,0.00239443778991699,NA,0.000604867935180664,0.0700615644454956,0.00239408016204834,0.00355398654937744,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n200p500",200,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,403684025,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,56,67,17,23.5,1.478,0.478,0.0531111111111111,1.50306956235413,1.48404375325584,11.3609624549555,12.5711687343245,9.14597853706678,9.75326946907888,0,0,0,0,0.21,0.3245,0.525,0.705,0.885,64,100,0,170,1024,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,403684062,TRUE,4,"viroli_laplace_gibbs",0.99167282250924,0.968248282896057,0.990257543846072,0.128728719432041,0.159493345923565,0.967830086192892,0.145859280141626,0.93845829548004,0.234431305080681,NA,NA,0.0801077266755433,1,236.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0975155746614152,0.0619797422840002,0.039608614702035,0.997173409516223,NA,0.966616887163956,0.0975155746614145,0.0619797422840002,0.997173409516288,NA,0.95358242223977,0.000358937578508835,0.214382171323575,0.00362624544858729,331,0,"axis_sorted_product",0.990524222358754,"alpha+loading+joint_mu+joint_var+joint_weight",0.983992121963718,0.992311544298973,"alpha+loading+joint_mu+joint_weight",7.16169094923315,180.064165990636,183.511777648616,10.4801282026763,136.246274220741,7.16169094923315,182.343867038979,781.129412400799,1000,765.408696222395,1000,208.037848302736,360.702117279756,0.115837454795837,0.0105874538421631,0.0190545320510864,0.00388360023498535,NA,0.000646114349365234,0.0729265213012695,0.00388884544372559,0.00356936454772949,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n400_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n400p500",400,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,1781240987,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,56,67,17,23.5,1.478,0.478,0.0531111111111111,1.50306956235413,1.48404375325584,11.3609624549555,12.5711687343245,9.14597853706678,9.75326946907888,0,0,0,0,0.225,0.30975,0.52375,0.712625,0.9,130,200,0,292,1024,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1781241024,TRUE,4,"viroli_laplace_gibbs",0.992435136890575,0.981867117834224,0.990868478363554,0.122849102167267,0.134798703741559,0.982175243430964,0.107053762764839,0.974296490071185,0.157474471889941,NA,NA,0.0653656076787396,1,2092.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057736124092495,0.0400085139542361,0.0221427182400561,0.998979023441472,NA,0.990029634047691,0.057736124092495,0.0400085139542361,0.998979023441509,NA,0.986444032971247,0.000201003366435043,0.11770258940745,0.00190498608167168,345,1,"axis_sorted_product",0.995738219332355,"alpha+loading+joint_mu+joint_var+joint_weight",0.992359445331371,0.996329833348462,"alpha+loading+joint_mu+joint_weight",5.42215341659473,164.639708583246,168.895330379169,7.3516786362463,115.096936727969,5.42215341659473,166.594569433918,841.948406827106,993.62813237551,820.66094767938,997.959525548941,116.573852640693,243.187766068337,0.147346019744873,0.0212132930755615,0.0275779962539673,0.00729000568389893,NA,0.000765085220336914,0.0787935256958008,0.00689601898193359,0.00376701354980469,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n100p1000",100,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,2132013399,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,94,115,39,44.5,1.459,0.459,0.051,1.50782057986734,1.48608600948927,14.7650171336429,16.5784596097826,10.6250843505581,12.4519826278727,0,0,0,0,0.24,0.34,0.53,0.74,0.92,30,50,0,94,1024,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,2132013436,TRUE,4,"viroli_laplace_gibbs",0.993891891639646,0.941737940948209,0.991599322812036,0.109972971922652,0.147026818491535,0.943926761826095,0.195999882735224,0.916891039331711,0.268972315036478,NA,NA,0.0963940990926632,1,274.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0946792484594383,0.091345770279189,0.0345601687527739,0.997276045399572,NA,0.973379270749001,0.0946792484594387,0.0913457702791888,0.997276045399681,NA,0.9648123602495,0.000303668201088289,0.182650707632136,0.0023793294017203,324,1,"axis_sorted_product",0.98039767155812,"alpha+loading+joint_mu+joint_var+joint_weight",0.967944189048314,0.983221833874413,"alpha+loading+joint_mu+joint_weight",9.55189206071674,211.269212577083,210.719980673701,16.7467559054782,143.850843546349,9.55189206071674,215.64896176267,834.429747593822,1000,814.637415956184,1000,391.508704645222,701.121427167121,0.115162968635559,0.00683498382568359,0.0133049488067627,0.00159597396850586,NA,0.000409126281738281,0.0832600593566895,0.00265145301818848,0.00586891174316406,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n200p1000",200,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,20225410,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,94,115,39,44.5,1.459,0.459,0.051,1.50782057986734,1.48608600948927,14.7650171336429,16.5784596097826,10.6250843505581,12.4519826278727,0,0,0,0,0.235,0.34,0.54,0.7305,0.89,66,100,0,168,1024,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,20225447,TRUE,4,"viroli_laplace_gibbs",0.99428753415863,0.966233009434816,0.993010338752339,0.106619918515855,0.136275451804422,0.968554191723096,0.144581422543161,0.952065153442837,0.199682425898978,NA,NA,0.076324524061811,1,262.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0941243192043747,0.0531800571671022,0.0373321111629956,0.998106816648696,NA,0.976032291705067,0.0941243192043749,0.0531800571671022,0.998106816648634,NA,0.964426462241746,0.0003527613001824,0.198481793436349,0.0044264094637378,344,0,"axis_sorted_product",0.988597561233734,"alpha+loading+joint_mu+joint_var+joint_weight",0.980876512948876,0.989928018231124,"alpha+loading+joint_mu+joint_weight",6.00488359509199,186.891372957162,185.913277489993,6.80463081732215,115.799826091383,6.00488359509199,190.575182000778,924.250623667348,998.058881569363,865.53188112436,1000,298.642205337592,479.132134685281,0.131862998008728,0.0136115550994873,0.0177210569381714,0.00257229804992676,NA,0.000432968139648438,0.0856560468673706,0.00458097457885742,0.00598800182342529,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n400_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n400p1000",400,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,91615432,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,94,115,39,44.5,1.459,0.459,0.051,1.50782057986734,1.48608600948927,14.7650171336429,16.5784596097826,10.6250843505581,12.4519826278727,0,0,0,0,0.21,0.327375,0.5175,0.715125,0.895,126,200,0,279,1024,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,91615469,TRUE,4,"viroli_laplace_gibbs",0.994728425960362,0.981431146870319,0.993426260598494,0.102551402765043,0.109757487739644,0.981960343019556,0.109694453069863,0.971398291590817,0.176745564749863,NA,NA,0.0622892960699424,1,316.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0406872033845683,0.0338008280897322,0.0174012595117233,0.999364927946149,NA,0.995525669987213,0.0406872033845682,0.0338008280897321,0.999364927946119,NA,0.99324313002054,0.000173706881742741,0.094690544460939,0.0018766734183276,345,1,"axis_sorted_product",0.994220444485883,"alpha+loading+joint_mu+joint_var+joint_weight",0.989580237262777,0.994361577838804,"alpha+loading+joint_mu+joint_weight",5.5234380986946,179.492187544413,179.544856048275,6.3965632382472,113.08603820549,5.5234380986946,183.305877696159,811.294384753861,977.930473508469,784.61422416749,969.407188753148,121.24311907222,368.224601468465,0.158385396003723,0.0270799398422241,0.0223970413208008,0.0046393871307373,NA,0.000494480133056641,0.0882536172866821,0.00847887992858887,0.00591695308685303,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n100p500",100,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,212182854,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,56,67,17,23.5,1.478,0.478,0.0531111111111111,1.50306956235413,1.48404375325584,11.3609624549555,12.5711687343245,9.14597853706678,9.75326946907888,0,0,0,0,0.18,0.32,0.55,0.74,0.87,14,30,0,100,59049,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,212182891,TRUE,4,"viroli_laplace_gibbs",0.985072825496685,0.949583695248193,0.981113114376573,0.171918019755242,0.219911213279121,0.950181232317779,0.178650468865202,0.931110522141673,0.24718823373422,NA,NA,0.108016864594005,NA,206.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.418834487984915,0.394632029982787,0.130824849834646,0.994382304371803,0.405157309818088,-0.0327757388933012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",12.8130929142643,200.992903376924,199.44090278564,19.7805031560909,211.487200317194,12.8130929142643,200.798981567628,63.5185720957994,113.643760979422,63.1344710446507,187.007194208609,77.9868451452871,244.930377016147,0.10195791721344,0.00539147853851318,0.015139102935791,0.002471923828125,NA,0.00070345401763916,0.0708960294723511,0.00240397453308105,0.00356745719909668,NA,28,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n200p500",200,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,900961335,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,56,67,17,23.5,1.478,0.478,0.0531111111111111,1.50306956235413,1.48404375325584,11.3609624549555,12.5711687343245,9.14597853706678,9.75326946907888,0,0,0,0,0.195,0.325,0.545,0.735,0.89,30,60.5,0,199,59049,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,900961372,TRUE,4,"viroli_laplace_gibbs",0.985692527983193,0.973456999147747,0.977026678108984,0.168736093689068,0.190817435600343,0.97232723695148,0.134148056504268,0.96551241728453,0.178623157836138,NA,NA,0.0902240180536733,NA,240.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304303366432797,0.272063615080619,0.0918497461246545,0.986016172964756,0.0163833087796673,0.679345652666479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",8.32259369098967,181.185049577095,179.74661406972,17.3209595092596,210.212890773565,10.3512270144803,181.160677875705,15.6364068752263,67.9443795222716,14.1618016760134,102.685617996095,8.32259369098967,36.0983669437497,0.117846965789795,0.0105575323104858,0.0199508666992188,0.00401687622070312,NA,0.00073695182800293,0.0736925601959229,0.00389790534973145,0.00367140769958496,NA,29,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n400_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n400p500",400,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,131035297,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,56,67,17,23.5,1.478,0.478,0.0531111111111111,1.50306956235413,1.48404375325584,11.3609624549555,12.5711687343245,9.14597853706678,9.75326946907888,0,0,0,0,0.2375,0.3375,0.535,0.725,0.8475,73,122,0,399,59049,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,131035334,TRUE,4,"viroli_laplace_gibbs",0.988608240750654,0.985033417254838,0.98613263954184,0.150753307434517,0.167122048343441,0.98522297302756,0.0973098138787708,0.976286726404956,0.151324743472045,NA,NA,0.0744412867178636,NA,2118.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11418030992133,0.079471295686898,0.0469068731967122,0.99868377667787,-0.20947375875289,0.961592730767623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",7.68828620798438,159.1670164962,160.641384120326,10.3740130184489,216.268158679041,7.68828620798438,156.360394854419,50.4758180837541,156.593751459427,16.9556527110349,233.681644686637,16.2674553962518,90.0272278033625,0.148369908332825,0.021562933921814,0.0276685953140259,0.00742042064666748,NA,0.000890493392944336,0.0792399644851685,0.00695264339447021,0.00387537479400635,NA,30,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n100p1000",100,1000,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,481807709,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,94,115,39,44.5,1.459,0.459,0.051,1.50782057986734,1.48608600948927,14.7650171336429,16.5784596097826,10.6250843505581,12.4519826278727,0,0,0,0,0.17,0.34,0.56,0.75,0.9,12,30,0,99,59049,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,481807746,TRUE,4,"viroli_laplace_gibbs",0.988883262135407,0.948537657763413,0.982781945841486,0.14836152119702,0.203416734749397,0.952150263211564,0.175622997562898,0.918055903050221,0.271810401302623,NA,NA,0.102394073364714,NA,247.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400436400887933,0.364982566466558,0.126777143259715,0.986615318540282,0.356767061711292,0.107486651895798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",8.67578471449204,219.952212382356,217.211420882385,13.3730455560956,225.390759678946,8.67578471449204,219.968862756126,34.4724528515751,110.623807415659,60.7802883108514,168.751728174705,52.8313621898092,231.184523766925,0.11666738986969,0.00685405731201172,0.0140739679336548,0.00165605545043945,NA,0.000468969345092773,0.0839018821716309,0.00266695022583008,0.00580596923828125,NA,27,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
