"scenario","rep","np_regime","n","p","H_true","G_true","G_config","K_joint","fix_dgp_parameters","stable_scenario_seeds","dgp_parameter_seed","loading_parameter_seed","mixture_parameter_seed","data_seed","dgp_p_max","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","intercept_sd","intercept_block_span","intercept_clip","loading_design","block_size_mode","loading_sign_mode","alignment_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","dgp_min_block_size","dgp_median_block_size","dgp_max_block_size","dgp_min_total_nonzero_loadings_by_factor","dgp_median_total_nonzero_loadings_by_factor","dgp_min_cross_nonzero_loadings_by_factor","dgp_median_cross_nonzero_loadings_by_factor","dgp_mean_nonzero_loadings_per_item","dgp_mean_cross_loadings_per_item","dgp_cross_nonzero_fraction","dgp_mean_abs_primary_loading","dgp_mean_abs_cross_loading","dgp_min_loading_l2_by_factor","dgp_median_loading_l2_by_factor","dgp_min_primary_l2_by_factor","dgp_median_primary_l2_by_factor","dgp_n_items_all_zero","dgp_n_items_all_one","dgp_n_items_prev_lt_01","dgp_n_items_prev_gt_99","dgp_min_item_prevalence","dgp_q05_item_prevalence","dgp_median_item_prevalence","dgp_q95_item_prevalence","dgp_max_item_prevalence","dgp_min_marginal_component_count","dgp_median_marginal_component_count","dgp_n_empty_marginal_components","dgp_observed_joint_profiles","dgp_possible_joint_profiles","ours_pretraining_method","viroli_lambda_l1_penalty","viroli_loading_prior","viroli_normalize_each_draw","viroli_min_scale","canonical_min_scale","min_mixture_var","viroli_seed","parallel_enabled","parallel_workers","method","mean_factor_abs_cor","mean_loading_abs_cor","min_factor_abs_cor","factor_score_rmse","factor_score_raw_rmse","lambda_corr","lambda_rmse","alpha_corr","alpha_rmse","alpha_raw_corr","alpha_raw_rmse","probability_rmse","joint_profile_ari","seconds","stage1_signal_relative_frobenius_error","stage1_signal_per_entry_mse","stage1_signal_correlation","stage1_sinTheta_op","stage1_sinTheta_fro","stage1_estimated_rank","stage1_full_loglik_per_response","stage1_true_sv_H","stage1_true_sv_Hplus1","stage1_fit_sv_H","stage1_fit_sv_Hplus1","stage1_fit_sv_H_to_Hplus1_ratio","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","marginal_mu_corr","marginal_log_var_corr","marginal_weight_corr","joint_mu_rmse","joint_var_rmse","joint_mu_corr","joint_var_corr","joint_weight_corr","joint_weight_rmse","joint_weight_l1","joint_weight_max_abs_error","est_effective_classes_001","est_effective_classes_01","joint_alignment_method","flat_parameter_corr","flat_parameter_blocks","all_parameter_corr","all_parameter_corr_raw","all_parameter_blocks","gibbs_min_parameter_ess","gibbs_median_parameter_ess","gibbs_mean_parameter_ess","gibbs_min_alpha_ess","gibbs_median_alpha_ess","gibbs_min_lambda_ess","gibbs_median_lambda_ess","gibbs_min_pi_ess","gibbs_median_pi_ess","gibbs_min_mu_ess","gibbs_median_mu_ess","gibbs_min_sig2_ess","gibbs_median_sig2_ess","gibbs_median_iteration_seconds","gibbs_median_z_sample_seconds","gibbs_median_factor_sample_seconds","gibbs_median_class_sample_seconds","gibbs_median_mixture_weight_seconds","gibbs_median_mixture_parameter_seconds","gibbs_median_regression_seconds","gibbs_median_normalization_seconds","gibbs_median_keep_draw_seconds","gibbs_median_diagnostics_seconds","occupied_classes","posterior_kept_draws","mfa_converged","mfa_completed_iter","mfa_final_lambda_rel_range","mfa_final_intercept_rel_range","mfa_final_occupied_range","source_chunk","em_svd_init_method","em_svd_init_z","selected_em_start","em_svd_soft_shrinkage","em_svd_soft_shrinkage_ratio","em_svd_soft_shrinkage_reference","em_svd_soft_rank_cap","mixture_update","pretrain_loading_penalty","rotation_optimizer","rotation_loading_l1_penalty","riemannian_rotation_steps","riemannian_update","lambda_l1_penalty","lasso_backend","glmnet_standardize","refine_enforce_monotone","refine_monotone_tolerance","refine_normalize_factor_scale","refine_normalize_factor_location","refine_factor_score_bound","canonical_normalize_ours","store_refinement_step_history","mu_prior_mean","mu_prior_kappa","var_prior_shape","var_prior_scale","weight_prior_alpha","refine_mu_prior_mean","refine_mu_prior_kappa","refine_var_prior_shape","refine_var_prior_scale","refine_weight_prior_alpha","pretraining_converged","pretraining_convergence_reason","pretraining_completed_iter","selected_pretraining_iteration","pretraining_return_best_iteration","rotation_converged","rotation_completed_outer","refinement_converged","refinement_completed_iter","selected_refinement_iteration","refinement_return_best_iteration","refinement_stopping_objective","refinement_all_mixtures_converged","refinement_monotone_guard_triggered","ours_median_em_iteration_seconds","ours_median_em_e_step_seconds","ours_median_em_projection_seconds","ours_median_em_objective_seconds","ours_median_rotation_iteration_seconds","ours_median_rotation_update_seconds","ours_median_rotation_mixture_refit_seconds","ours_median_rotation_objective_seconds","ours_median_refinement_iteration_seconds","ours_median_refinement_factor_update_seconds","ours_median_refinement_lambda_update_seconds","ours_median_refinement_mixture_update_seconds"
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n100p500",100,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,1862388544,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,56,67,17,23.5,1.478,0.478,0.0531111111111111,1.50306956235413,1.48404375325584,11.3609624549555,12.5711687343245,9.14597853706678,9.75326946907888,0,0,0,0,0.23,0.33,0.52,0.71,0.87,41,50,0,96,1024,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1862388581,TRUE,4,"viroli_laplace_gibbs",0.988662554632173,0.942862644110751,0.985537498882325,0.149827039710118,0.17982970721368,0.944399402469503,0.193114903108058,0.915496072276833,0.281223856694858,NA,NA,0.0990758813180144,0.888789036171647,140.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0831907775913389,0.0803504144384009,0.0394613418277002,0.99734456885835,NA,NA,0.0831907775913392,0.0803504144384009,0.997344568858363,NA,NA,0.000246474198478919,0.204926076316623,0.000819435730607054,429,0,"axis_sorted_product",0.986415605401128,"alpha+loading+joint_mu+joint_var+joint_weight",0.977808161258355,0.987914746549554,"alpha+loading+joint_mu",9.37367483089857,196.913364258022,198.790693832889,9.48401909211887,169.039425037461,9.37367483089857,197.894409480415,893.673817371961,1000,835.857301750651,1000,155.970129836324,409.750382288981,0.0695925951004028,0.0035024881362915,0.0109920501708984,0.00152897834777832,NA,0.000396013259887695,0.0477244853973389,0.00160694122314453,0.00274789333343506,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n200p500",200,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,403684025,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,56,67,17,23.5,1.478,0.478,0.0531111111111111,1.50306956235413,1.48404375325584,11.3609624549555,12.5711687343245,9.14597853706678,9.75326946907888,0,0,0,0,0.23,0.335,0.53,0.71,0.88,90,100,0,177,1024,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,403684062,TRUE,4,"viroli_laplace_gibbs",0.989086670143787,0.967842547013579,0.985736622430756,0.147368675144561,0.161235913418967,0.968513922618728,0.144181206933486,0.959512016225927,0.197434634880578,NA,NA,0.0835174080825452,1,164.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0687524548453913,0.0506907705247421,0.0341648327403486,0.997868269686612,NA,NA,0.0687524548453912,0.0506907705247423,0.997868269686668,NA,NA,0.000213084070088519,0.174887096167715,0.000778516535126557,431,0,"axis_sorted_product",0.992195670122568,"alpha+loading+joint_mu+joint_var+joint_weight",0.987253143804584,0.992790749326839,"alpha+loading+joint_mu",7.2958633041336,174.041829546301,177.249495362431,7.83577732093491,154.184152885551,7.2958633041336,173.986247348711,899.769159945831,1000,799.318344499251,1000,109.127848272583,263.222992431684,0.0814905166625977,0.00686550140380859,0.0150953531265259,0.00253391265869141,NA,0.000416994094848633,0.0500504970550537,0.00259304046630859,0.00282049179077148,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n400_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n400p500",400,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,1781240987,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,56,67,17,23.5,1.478,0.478,0.0531111111111111,1.50306956235413,1.48404375325584,11.3609624549555,12.5711687343245,9.14597853706678,9.75326946907888,0,0,0,0,0.2575,0.3575,0.54,0.7075,0.8475,181,200,0,329,1024,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,1781241024,TRUE,4,"viroli_laplace_gibbs",0.990215977777836,0.982992069340787,0.987659694871971,0.139710859754057,0.148263746666689,0.983389263822158,0.104524755348013,0.97447873955178,0.153118945270418,NA,NA,0.0695757945452827,0.993542115602928,199.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0513205353057137,0.0262988078140893,0.0261945980356174,0.998753935267629,NA,NA,0.0513205353057141,0.0262988078140893,0.998753935267777,NA,NA,0.00016264239097669,0.134904768584335,0.000505852023573871,430,0,"axis_sorted_product",0.995682721162994,"alpha+loading+joint_mu+joint_var+joint_weight",0.993088048579114,0.996068461713126,"alpha+loading+joint_mu",5.99390062705338,163.2697878175,166.825084371855,7.40520526489956,168.517625793863,5.99390062705338,162.33800954221,916.686467821015,1000,883.435698893083,1000,138.65374275182,253.241212065796,0.0994424819946289,0.0135509967803955,0.0197829008102417,0.00458395481109619,NA,0.000472068786621094,0.0521661043167114,0.00451898574829102,0.00296401977539062,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n100p1000",100,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,2132013399,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,94,115,39,44.5,1.459,0.459,0.051,1.50782057986734,1.48608600948927,14.7650171336429,16.5784596097826,10.6250843505581,12.4519826278727,0,0,0,0,0.16,0.34,0.55,0.72,0.91,44,50,0,98,1024,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,2132013436,TRUE,4,"viroli_laplace_gibbs",0.992403560227282,0.943744429631563,0.989898664208288,0.122641553928435,0.13976404109694,0.948398913579862,0.186919386286244,0.934949244269208,0.243158996968329,NA,NA,0.0957202889431308,1,234.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0744763587141459,0.073043174595584,0.0350121804809215,0.997689367554789,NA,NA,0.0744763587141458,0.073043174595584,0.997689367554873,NA,NA,0.000218474598734779,0.179109602939763,0.000800057743976172,407,0,"axis_sorted_product",0.981674792601493,"alpha+loading+joint_mu+joint_var+joint_weight",0.971215724882956,0.983379149808446,"alpha+loading+joint_mu",9.48759328990586,204.937679334515,203.385718003708,11.1382203807621,168.676976311452,9.48759328990586,206.830100111289,879.241046192528,997.67180760614,861.302791075132,992.672293873574,315.079397884054,500.954951467436,0.117218613624573,0.00683498382568359,0.0146125555038452,0.00160408020019531,NA,0.000394105911254883,0.0844284296035767,0.00263810157775879,0.00565755367279053,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n200p1000",200,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,20225410,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,94,115,39,44.5,1.459,0.459,0.051,1.50782057986734,1.48608600948927,14.7650171336429,16.5784596097826,10.6250843505581,12.4519826278727,0,0,0,0,0.2,0.34,0.5375,0.71,0.885,88,100,0,177,1024,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,20225447,TRUE,4,"viroli_laplace_gibbs",0.993021798558034,0.967819464978603,0.989824010414916,0.117841507413616,0.138563444664496,0.970422112254141,0.138302680623057,0.961738607891472,0.200882782124557,NA,NA,0.0766801553256953,1,259.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0647244152102066,0.0407111122888889,0.032627751093391,0.999142329313363,NA,NA,0.0647244152102067,0.0407111122888889,0.999142329313363,NA,NA,0.00020319669457662,0.168504461446442,0.000612648759262489,439,0,"axis_sorted_product",0.989969949296588,"alpha+loading+joint_mu+joint_var+joint_weight",0.983843818481307,0.990163064102552,"alpha+loading+joint_mu",6.43651991607006,178.003442045868,177.715447830589,8.29053236776393,150.976773906992,6.43651991607006,179.23653352051,907.967370940634,971.15899330349,819.87027591904,978.218392773192,169.187374742836,396.451472156079,0.129829049110413,0.0135459899902344,0.0172474384307861,0.00254607200622559,NA,0.000416040420532227,0.0846564769744873,0.00454497337341309,0.00566458702087402,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n400_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n400p1000",400,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,91615432,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,94,115,39,44.5,1.459,0.459,0.051,1.50782057986734,1.48608600948927,14.7650171336429,16.5784596097826,10.6250843505581,12.4519826278727,0,0,0,0,0.23,0.364625,0.575,0.7375,0.8825,178,200,0,329,1024,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,91615469,TRUE,4,"viroli_laplace_gibbs",0.99331125861741,0.982707425054505,0.99104864836518,0.11551640168507,0.126141013458354,0.984171041930736,0.10089794949265,0.975779514102674,0.158126827727086,NA,NA,0.0621137226510615,0.99393312202149,312.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0492162207908917,0.0234538837271861,0.0250782777741555,0.998967716513024,NA,NA,0.0492162207908912,0.023453883727186,0.998967716513129,NA,NA,0.000155566338248862,0.130255370539524,0.000436197388359742,432,0,"axis_sorted_product",0.994100058517535,"alpha+loading+joint_mu+joint_var+joint_weight",0.990790643727918,0.994364650386083,"alpha+loading+joint_mu",5.27309729230661,162.519142315892,162.978064296774,5.86312026369335,145.73814049073,5.27309729230661,163.090634029272,640.982307377745,955.946775543679,633.12905996135,927.3796668195,141.188615110115,265.276738522806,0.156304955482483,0.0270730257034302,0.0217344760894775,0.00465595722198486,NA,0.000476956367492676,0.0871065855026245,0.00842940807342529,0.00560390949249268,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n100p500",100,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,212182854,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,56,67,17,23.5,1.478,0.478,0.0531111111111111,1.50306956235413,1.48404375325584,11.3609624549555,12.5711687343245,9.14597853706678,9.75326946907888,0,0,0,0,0.2,0.33,0.54,0.7205,0.87,23,33,0,100,59049,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,212182891,TRUE,4,"viroli_laplace_gibbs",0.984784148063854,0.950355465166204,0.977963614889205,0.173572425326057,0.237810818473169,0.950532031052713,0.176864323829996,0.919327459747063,0.266897502619383,NA,NA,0.106679423243363,NA,142.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235105161317375,0.268298874601052,0.0830166414152643,0.993405518559658,0.597071597362208,-0.597177755542935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",13.433511812563,200.60664541821,201.481643169401,22.2553322425217,212.565790795297,13.433511812563,199.991423723446,64.7879711094035,154.761837808379,44.4055076904026,180.182956139066,90.8972537858938,228.142061924413,0.0707415342330933,0.00348854064941406,0.0115978717803955,0.00159597396850586,NA,0.000463008880615234,0.0481894016265869,0.00160384178161621,0.00272703170776367,NA,28,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n200p500",200,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,900961335,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,56,67,17,23.5,1.478,0.478,0.0531111111111111,1.50306956235413,1.48404375325584,11.3609624549555,12.5711687343245,9.14597853706678,9.75326946907888,0,0,0,0,0.2,0.32975,0.55,0.74025,0.885,49,63.5,0,200,59049,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,900961372,TRUE,4,"viroli_laplace_gibbs",0.985341278923106,0.971415520553995,0.98128617027595,0.170794774343417,0.196765870796326,0.969206888189343,0.140327828244721,0.955990768840386,0.199081441999336,NA,NA,0.0896455978472354,NA,166.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243971871555723,0.279033265812025,0.0824970415348526,0.992859010897072,0.596002231994456,-0.765270635573218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",11.4684436962897,171.393081970557,173.143480116125,11.4684436962897,202.814608232243,11.8904352689826,170.692311888564,22.2851120396034,75.4912677399408,19.0135704622426,89.0573231547307,32.7381134745509,172.009217315676,0.0825234651565552,0.00680100917816162,0.0155899524688721,0.00259149074554443,NA,0.000491499900817871,0.0506174564361572,0.00259649753570557,0.00278282165527344,NA,30,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n400_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n400p500",400,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,131035297,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,56,67,17,23.5,1.478,0.478,0.0531111111111111,1.50306956235413,1.48404375325584,11.3609624549555,12.5711687343245,9.14597853706678,9.75326946907888,0,0,0,0,0.2375,0.327,0.5275,0.71525,0.85,101,127,0,400,59049,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,131035334,TRUE,4,"viroli_laplace_gibbs",0.987320594252205,0.98499360154495,0.984796169033203,0.159045322052714,0.176490922658541,0.984394631637463,0.10002537865322,0.974813659031664,0.162920033240391,NA,NA,0.0748500130513866,NA,200.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198382923453536,0.222337662277073,0.0786940203900476,0.994464015417938,0.661395596404403,-0.380587118728731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",5.92507938389082,150.904217321467,153.048342186988,7.27068827851854,198.027233834511,5.92507938389082,149.475609569448,9.4912505239799,27.0579544302924,8.91431609963988,53.760613391617,15.4247346029698,43.4036913707799,0.0993854999542236,0.0135715007781982,0.0200436115264893,0.00459587574005127,NA,0.000560998916625977,0.052157998085022,0.00445854663848877,0.00279748439788818,NA,29,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n100p1000",100,1000,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,481807709,1000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,94,115,39,44.5,1.459,0.459,0.051,1.50782057986734,1.48608600948927,14.7650171336429,16.5784596097826,10.6250843505581,12.4519826278727,0,0,0,0,0.19,0.34,0.56,0.75,0.9,24,31,0,100,59049,NA,5,"bayesian_lasso_scale_mixture",TRUE,1e-04,1e-04,0.05,481807746,TRUE,4,"viroli_laplace_gibbs",0.989515061850971,0.948037740188116,0.985860997501786,0.144083925318122,0.206513543527542,0.951032045952898,0.175511382036437,0.941033343763628,0.223468141851172,NA,NA,0.101786262842852,NA,236.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233905713240681,0.273958349726833,0.0778067691188306,0.994437635455838,0.576591560000137,-0.566187728623475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",16.759159168025,215.820329072663,213.077202813751,20.9265253391649,215.572854484053,16.759159168025,215.902586174166,63.0629052363291,171.983026863098,58.396253109431,229.044566088559,57.0895109686205,282.605484533838,0.118122577667236,0.00676047801971436,0.0148330926895142,0.00166010856628418,NA,0.000466108322143555,0.0848468542098999,0.00263810157775879,0.00575006008148193,NA,30,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_laplace_penalty5_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
