"scenario","rep","np_regime","n","p","H_true","G_true","G_config","K_joint","fix_dgp_parameters","stable_scenario_seeds","dgp_parameter_seed","loading_parameter_seed","mixture_parameter_seed","data_seed","dgp_p_max","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","intercept_sd","intercept_block_span","intercept_clip","loading_design","block_size_mode","loading_sign_mode","alignment_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","dgp_min_block_size","dgp_median_block_size","dgp_max_block_size","dgp_min_total_nonzero_loadings_by_factor","dgp_median_total_nonzero_loadings_by_factor","dgp_min_cross_nonzero_loadings_by_factor","dgp_median_cross_nonzero_loadings_by_factor","dgp_mean_nonzero_loadings_per_item","dgp_mean_cross_loadings_per_item","dgp_cross_nonzero_fraction","dgp_mean_abs_primary_loading","dgp_mean_abs_cross_loading","dgp_min_loading_l2_by_factor","dgp_median_loading_l2_by_factor","dgp_min_primary_l2_by_factor","dgp_median_primary_l2_by_factor","dgp_n_items_all_zero","dgp_n_items_all_one","dgp_n_items_prev_lt_01","dgp_n_items_prev_gt_99","dgp_min_item_prevalence","dgp_q05_item_prevalence","dgp_median_item_prevalence","dgp_q95_item_prevalence","dgp_max_item_prevalence","dgp_min_marginal_component_count","dgp_median_marginal_component_count","dgp_n_empty_marginal_components","dgp_observed_joint_profiles","dgp_possible_joint_profiles","ours_pretraining_method","viroli_lambda_l1_penalty","viroli_loading_prior","viroli_normalize_each_draw","viroli_min_scale","canonical_min_scale","min_mixture_var","viroli_seed","parallel_enabled","parallel_workers","method","mean_factor_abs_cor","mean_loading_abs_cor","min_factor_abs_cor","factor_score_rmse","factor_score_raw_rmse","lambda_corr","lambda_rmse","alpha_corr","alpha_rmse","alpha_raw_corr","alpha_raw_rmse","probability_rmse","joint_profile_ari","seconds","stage1_signal_relative_frobenius_error","stage1_signal_per_entry_mse","stage1_signal_correlation","stage1_sinTheta_op","stage1_sinTheta_fro","stage1_estimated_rank","stage1_full_loglik_per_response","stage1_true_sv_H","stage1_true_sv_Hplus1","stage1_fit_sv_H","stage1_fit_sv_Hplus1","stage1_fit_sv_H_to_Hplus1_ratio","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","marginal_mu_corr","marginal_log_var_corr","marginal_weight_corr","joint_mu_rmse","joint_var_rmse","joint_mu_corr","joint_var_corr","joint_weight_corr","joint_weight_rmse","joint_weight_l1","joint_weight_max_abs_error","est_effective_classes_001","est_effective_classes_01","joint_alignment_method","flat_parameter_corr","flat_parameter_blocks","all_parameter_corr","all_parameter_corr_raw","all_parameter_blocks","gibbs_min_parameter_ess","gibbs_median_parameter_ess","gibbs_mean_parameter_ess","gibbs_min_alpha_ess","gibbs_median_alpha_ess","gibbs_min_lambda_ess","gibbs_median_lambda_ess","gibbs_min_pi_ess","gibbs_median_pi_ess","gibbs_min_mu_ess","gibbs_median_mu_ess","gibbs_min_sig2_ess","gibbs_median_sig2_ess","gibbs_median_iteration_seconds","gibbs_median_z_sample_seconds","gibbs_median_factor_sample_seconds","gibbs_median_class_sample_seconds","gibbs_median_mixture_weight_seconds","gibbs_median_mixture_parameter_seconds","gibbs_median_regression_seconds","gibbs_median_normalization_seconds","gibbs_median_keep_draw_seconds","gibbs_median_diagnostics_seconds","occupied_classes","posterior_kept_draws","mfa_converged","mfa_completed_iter","mfa_final_lambda_rel_range","mfa_final_intercept_rel_range","mfa_final_occupied_range","source_chunk","em_svd_init_method","em_svd_init_z","selected_em_start","em_svd_soft_shrinkage","em_svd_soft_shrinkage_ratio","em_svd_soft_shrinkage_reference","em_svd_soft_rank_cap","mixture_update","pretrain_loading_penalty","rotation_optimizer","rotation_loading_l1_penalty","riemannian_rotation_steps","riemannian_update","lambda_l1_penalty","lasso_backend","glmnet_standardize","refine_enforce_monotone","refine_monotone_tolerance","refine_normalize_factor_scale","refine_normalize_factor_location","refine_factor_score_bound","canonical_normalize_ours","store_refinement_step_history","mu_prior_mean","mu_prior_kappa","var_prior_shape","var_prior_scale","weight_prior_alpha","refine_mu_prior_mean","refine_mu_prior_kappa","refine_var_prior_shape","refine_var_prior_scale","refine_weight_prior_alpha","pretraining_converged","pretraining_convergence_reason","pretraining_completed_iter","selected_pretraining_iteration","pretraining_return_best_iteration","rotation_converged","rotation_completed_outer","refinement_converged","refinement_completed_iter","selected_refinement_iteration","refinement_return_best_iteration","refinement_stopping_objective","refinement_all_mixtures_converged","refinement_monotone_guard_triggered","ours_median_em_iteration_seconds","ours_median_em_e_step_seconds","ours_median_em_projection_seconds","ours_median_em_objective_seconds","ours_median_rotation_iteration_seconds","ours_median_rotation_update_seconds","ours_median_rotation_mixture_refit_seconds","ours_median_rotation_objective_seconds","ours_median_refinement_iteration_seconds","ours_median_refinement_factor_update_seconds","ours_median_refinement_lambda_update_seconds","ours_median_refinement_mixture_update_seconds"
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n100p500",100,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,1864636635,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,49,68,12,24,1.46,0.46,0.0511111111111111,1.49387145978305,1.47518526363065,10.4971781017713,12.4665011762326,8.77180576661721,9.46810790810068,0,0,0,0,0.19,0.3395,0.54,0.73,0.85,41,50,0,95,1024,NA,0,"normal",TRUE,1e-04,1e-04,0.05,1864636672,TRUE,4,"viroli_gaussian_gibbs",0.441666740285683,0.573723985232681,0.168286191548221,1.05142753161326,0.968917322756244,0.534647184017201,1.46113738494357,0.849412081699635,0.668331523218851,NA,NA,0.144056012682155,0.00214754569767809,66.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24420664362223,1.65116600626488,0.409043815749017,0.657860440657888,NA,NA,2.24420664362223,1.6511660062649,0.657860440657895,NA,NA,0.0110824998265218,1.84197590574291,0.205231242907062,38,11,"axis_sorted_product",0.573796859832016,"alpha+loading+joint_mu+joint_var+joint_weight",0.617677232122208,0.638013087840784,"alpha+loading+joint_mu",3.97705366173904,28.3000552242222,48.0162679448054,4.88089080605814,72.1266807693142,3.97705366173904,25.9863941946103,52.8151527566621,534.420559630066,22.6893795292812,708.305616397981,7.70053143225161,729.185040127277,0.033068060874939,0.00369405746459961,0.0116924047470093,0.00154900550842285,NA,0.000380992889404297,0.0100455284118652,0.00159001350402832,0.00292801856994629,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n200p500",200,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,405932116,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,49,68,12,24,1.46,0.46,0.0511111111111111,1.49387145978305,1.47518526363065,10.4971781017713,12.4665011762326,8.77180576661721,9.46810790810068,0,0,0,0,0.145,0.32,0.5325,0.72025,0.89,83,100,0,186,1024,NA,0,"normal",TRUE,1e-04,1e-04,0.05,405932153,TRUE,4,"viroli_gaussian_gibbs",0.688757874867954,0.663084377306069,0.400400101788721,0.7870017973377,0.766027182991273,0.66723583081522,0.613820478356034,0.939176716437168,0.417840098521195,NA,NA,0.107588059580955,0.106982588404236,94.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.369613377132434,0.552270466149636,0.0606317284636138,0.955769868611164,NA,NA,0.369613377132434,0.552270466149635,0.955769868611025,NA,NA,0.000383832639235606,0.31402252712955,0.00129369432847563,401,0,"axis_sorted_product",0.756946941762023,"alpha+loading+joint_mu+joint_var+joint_weight",0.76917619140234,0.846601432271755,"alpha+loading+joint_mu",3.58539516408161,28.902888922566,51.0246277755367,4.05895337873651,111.255034325648,3.58539516408161,26.7011105614621,7.3092903169422,35.3252387665112,7.67135095680755,86.1691404860884,16.7896620642048,41.5329215072105,0.0473904609680176,0.0069659948348999,0.016793966293335,0.00249862670898438,NA,0.000438928604125977,0.0140080451965332,0.00250959396362305,0.00287556648254395,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n400_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n400p500",400,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,1783489078,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,49,68,12,24,1.46,0.46,0.0511111111111111,1.49387145978305,1.47518526363065,10.4971781017713,12.4665011762326,8.77180576661721,9.46810790810068,0,0,0,0,0.145,0.337375,0.54625,0.735125,0.855,177,200,0,333,1024,NA,0,"normal",TRUE,1e-04,1e-04,0.05,1783489115,TRUE,4,"viroli_gaussian_gibbs",0.943298204529577,0.92580474409328,0.751833701370426,0.336333290001887,0.341246461158878,0.926080080373212,0.249760470769888,0.963986956749589,0.270365396096977,NA,NA,0.0787631550751798,0.747262867082779,130.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.227860095279618,0.166134463271396,0.123983703235977,0.973492212583028,NA,NA,0.227860095279616,0.166134463271394,0.97349221258293,NA,NA,0.000827033337939225,0.684742213096571,0.00249730618118251,295,0,"axis_sorted_product",0.954017120060478,"alpha+loading+joint_mu+joint_var+joint_weight",0.953366510451275,0.964069183980844,"alpha+loading+joint_mu",3.68307283787041,86.5180611354103,100.309528041313,3.89288985718841,117.534169574853,3.68307283787041,83.7021914977138,180.841531066367,971.163706005393,114.948262562711,960.642142232774,37.2201590000231,151.307452320274,0.0651195049285889,0.0141879320144653,0.0214509963989258,0.00432002544403076,NA,0.000491976737976074,0.015794038772583,0.00454461574554443,0.00299596786499023,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n100p1000",100,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,2134261490,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,1.49661720458767,1.48147101980217,13.6190719845601,16.4379019131997,10.2701878813988,12.1960853160108,0,0,0,0,0.13,0.34,0.55,0.73,0.87,44,50,0,91,1024,NA,0,"normal",TRUE,1e-04,1e-04,0.05,2134261527,TRUE,4,"viroli_gaussian_gibbs",0.396678987274538,0.581208722186526,0.178034179345234,1.09296642455128,1.03952176850812,0.559042978117062,1.41385623171319,0.860868685430833,1.00319630892413,NA,NA,0.135372869551609,0.000482448136825291,97.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01559596349691,1.54774442214688,0.428707001082672,0.693588307010472,NA,NA,2.01559596349691,1.54774442214688,0.693588307010346,NA,NA,0.0147588092822668,1.83889006786067,0.432400671803268,50,12,"axis_sorted_product",0.597186563732206,"alpha+loading+joint_mu+joint_var+joint_weight",0.629089202422506,0.660099434094533,"alpha+loading+joint_mu",4.19153588699234,34.2082363549111,52.4332348858116,4.36200408626087,62.3983079720299,4.19153588699234,32.7401992041831,9.23971328950098,580.326419279979,8.64008161511654,743.13511700536,20.7719296879794,1000,0.0487880706787109,0.00714290142059326,0.0158065557479858,0.00153088569641113,NA,0.00038909912109375,0.0142824649810791,0.00257301330566406,0.00573897361755371,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n200p1000",200,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,22473501,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,1.49661720458767,1.48147101980217,13.6190719845601,16.4379019131997,10.2701878813988,12.1960853160108,0,0,0,0,0.125,0.35,0.56,0.73025,0.9,90,100,0,180,1024,NA,0,"normal",TRUE,1e-04,1e-04,0.05,22473538,TRUE,4,"viroli_gaussian_gibbs",0.488060236284372,0.695381737065974,0.145135032992584,1.00933647996795,0.912001417562617,0.565128080348333,1.48117045457488,0.678245951362472,1.60607078132004,NA,NA,0.098821916955982,0.00612560493464448,140.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.69378109444595,1.06157129860085,0.422535923901064,0.656319034584338,NA,NA,4.69378109444594,1.06157129860085,0.65631903458426,NA,NA,0.0122550950515396,1.90162788091568,0.218754505989258,36,8,"axis_sorted_product",0.615218122581136,"alpha+loading+joint_mu+joint_var+joint_weight",0.603466559261259,0.632485923029476,"alpha+loading+joint_mu",3.12224029224261,44.2449286889498,79.4996324820751,3.5003817144447,109.061770690211,3.12224029224261,41.2126323759267,4.58032520223907,976.921625145771,4.83770459886621,915.838103216452,4.19901264142321,989.457736454311,0.0713295936584473,0.0139579772949219,0.0229494571685791,0.00247001647949219,NA,0.000422954559326172,0.0195258855819702,0.00449001789093018,0.00590300559997559,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n400_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n400p1000",400,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,TRUE,26762731,21272531,26762731,93863523,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,1.49661720458767,1.48147101980217,13.6190719845601,16.4379019131997,10.2701878813988,12.1960853160108,0,0,0,0,0.1325,0.3375,0.535,0.70275,0.8675,187,200,0,332,1024,NA,0,"normal",TRUE,1e-04,1e-04,0.05,93863560,TRUE,4,"viroli_gaussian_gibbs",0.905317683879854,0.892034357250954,0.684798866744094,0.43461617625175,0.429571573278845,0.89712037235353,0.293935914561447,0.963644957746679,0.219732230729054,NA,NA,0.0730276209912725,0.648434624521799,195.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265659790630578,0.271143533235373,0.133987371995244,0.963118766857045,NA,NA,0.265659790630576,0.271143533235374,0.963118766856964,NA,NA,0.000911016035562742,0.7446605573246,0.00292282041352285,262,0,"axis_sorted_product",0.920675969299867,"alpha+loading+joint_mu+joint_var+joint_weight",0.924052569839995,0.941750974211674,"alpha+loading+joint_mu",3.07123834299652,65.2140894671847,85.697286458785,4.16763281447683,141.665106951524,3.07123834299652,60.6350723209316,7.0930189538452,962.673293734594,4.49176449444652,962.775352737307,3.70835826054653,134.161139022918,0.098546028137207,0.0277509689331055,0.0274935960769653,0.00428402423858643,NA,0.00049591064453125,0.0225634574890137,0.00836551189422607,0.00613045692443848,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n100p500",100,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,214430945,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,49,68,12,24,1.46,0.46,0.0511111111111111,1.49387145978305,1.47518526363065,10.4971781017713,12.4665011762326,8.77180576661721,9.46810790810068,0,0,0,0,0.11,0.27,0.52,0.72,0.84,20,32.5,0,99,59049,NA,0,"normal",TRUE,1e-04,1e-04,0.05,214430982,TRUE,4,"viroli_gaussian_gibbs",0.429005082040843,0.551587168424446,0.266046172342824,1.06328262355741,0.929909393141877,0.53362261473865,1.52306715210289,0.8896696927966,0.597458310509623,NA,NA,0.149821492196206,NA,68.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8775659557161,0.607976635826199,0.287301336579829,0.838761099119571,-0.52338414857614,0.530207056429866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",3.67104054186809,30.9591589161939,62.6367318223348,11.3444022276513,197.191367759559,3.67104054186809,27.5829287517088,44.9188256948298,267.822278723835,20.7546161524447,229.771260902677,91.3626202875381,798.270804714476,0.0344024896621704,0.00359892845153809,0.0123820304870605,0.00162506103515625,NA,0.000442028045654297,0.010800838470459,0.00158500671386719,0.00290596485137939,NA,28,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n200p500",200,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,903209426,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,49,68,12,24,1.46,0.46,0.0511111111111111,1.49387145978305,1.47518526363065,10.4971781017713,12.4665011762326,8.77180576661721,9.46810790810068,0,0,0,0,0.16,0.3,0.5275,0.72,0.86,49,65,0,200,59049,NA,0,"normal",TRUE,1e-04,1e-04,0.05,903209463,TRUE,4,"viroli_gaussian_gibbs",0.46752700931588,0.689680560023615,0.348600633177431,1.02937906111471,0.929487230359598,0.668737339491033,1.61881801457808,0.791074226791236,1.11047216767769,NA,NA,0.114968711938449,NA,93.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35930326653354,0.795056332822052,0.298892128613089,0.808355890182391,-0.437094673551475,0.406432944112879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",3.45517887684643,26.4926561402637,54.1251716817852,7.66289230592704,124.083767909709,3.45517887684643,23.2088773490437,4.38891447240046,221.408050087548,3.65685532598544,168.774837042281,7.9491673195801,518.331118955088,0.0467495918273926,0.00696098804473877,0.0166054964065552,0.00258469581604004,NA,0.000465512275695801,0.0134174823760986,0.00253701210021973,0.00283598899841309,NA,26,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n400_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n400p500",400,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,133283388,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",35,40,114,49,68,12,24,1.46,0.46,0.0511111111111111,1.49387145978305,1.47518526363065,10.4971781017713,12.4665011762326,8.77180576661721,9.46810790810068,0,0,0,0,0.1575,0.327375,0.54,0.7275,0.84,101,128,0,398,59049,NA,0,"normal",TRUE,1e-04,1e-04,0.05,133283425,TRUE,4,"viroli_gaussian_gibbs",0.741222026606716,0.745397748733399,0.520458401530158,0.71851378338874,0.698219000124296,0.745964837078539,0.456956633126068,0.966735911935322,0.214302658470631,NA,NA,0.0873876904489557,NA,128.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353925510241007,0.51186410094887,0.0658249601448966,0.9766905871387,0.0916911579181698,0.469229054828876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",3.27020737051301,20.7550574471776,44.8022184876128,11.0087913815258,165.970064576701,3.27020737051301,18.0376843246822,7.48779014538398,35.8519707979086,12.2929665519415,44.7625180300921,10.195601929776,54.3832933386596,0.0641285181045532,0.0140243768692017,0.0209949016571045,0.00445890426635742,NA,0.000568151473999023,0.0153800249099731,0.00454556941986084,0.00289750099182129,NA,30,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n100p1000",100,1000,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,TRUE,29512731,21272531,29512731,484055800,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",1,2,1,2,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,1.49661720458767,1.48147101980217,13.6190719845601,16.4379019131997,10.2701878813988,12.1960853160108,0,0,0,0,0.13,0.32,0.55,0.7305,0.88,19,31,0,100,59049,NA,0,"normal",TRUE,1e-04,1e-04,0.05,484055837,TRUE,4,"viroli_gaussian_gibbs",0.466033889512093,0.642809163354701,0.353508383963209,1.02822803830962,0.902197815650415,0.626567144879171,1.47266088367224,0.721684722731043,0.751993841524293,NA,NA,0.14245047220462,NA,96.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57772581771435,0.609156121475934,0.286571310188155,0.87077452033314,-0.635039895106239,0.738996791058153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",3.83066854758275,38.1702642880623,59.1427631209563,6.23724143667564,122.330455819792,3.83066854758275,34.4868504047283,25.8366797545438,285.752157623176,14.0916237984485,276.949708001255,77.3922417006709,764.229294315254,0.0488865375518799,0.00706112384796143,0.0158356428146362,0.00163745880126953,NA,0.000441908836364746,0.0142394304275513,0.00257205963134766,0.00582408905029297,NA,29,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
