"method","factor","component","true_weight","est_weight","true_mu","est_mu","true_var","est_var","weight_error","mu_error","var_error"
"Product MAP",1,1,0.5,0.49430176389806,-0.941502306315701,-0.962164921805349,0.0670360110803324,0.130915609377729,-0.00569823610194042,-0.020662615489648,0.0638795982973964
"Product MAP",1,2,0.5,0.505698236101941,0.941502306315701,0.940492179409041,0.1601108033241,0.109383751837433,0.00569823610194053,-0.00101012690665969,-0.050727051486667
"Product MAP",2,1,0.5,0.496386366383177,-0.941502306315701,-0.957079889750037,0.0670360110803324,0.0989000730910881,-0.00361363361682299,-0.0155775834343365,0.0318640620107556
"Product MAP",2,2,0.5,0.503613633616823,0.941502306315701,0.943351825913559,0.1601108033241,0.144655783492426,0.0036136336168231,0.00184951959785806,-0.0154550198316741
"Product MAP",3,1,0.5,0.529598931089266,-0.941502306315701,-0.900944969945572,0.0670360110803324,0.0869617047653137,0.0295989310892663,0.0405573363701288,0.0199256936849813
"Product MAP",3,2,0.5,0.470401068910734,0.941502306315701,1.01426462368548,0.1601108033241,0.139523996027901,-0.0295989310892662,0.0727623173697747,-0.0205868072961984
"Product MAP",4,1,0.5,0.481579092520396,-0.941502306315701,-0.974275088720388,0.0670360110803324,0.104243295650657,-0.0184209074796037,-0.0327727824046867,0.0372072845703247
"Product MAP",4,2,0.5,0.518420907479604,0.941502306315701,0.905071163803096,0.1601108033241,0.176210619227283,0.0184209074796037,-0.0364311425126045,0.0160998159031835
"Product MAP",5,1,0.5,0.539789732655623,-0.941502306315701,-0.881890864428684,0.0670360110803324,0.0611655032384112,0.0397897326556226,0.0596114418870167,-0.00587050784192125
"Product MAP",5,2,0.5,0.460210267344377,0.941502306315701,1.03430445672159,0.1601108033241,0.173801202531959,-0.0397897326556226,0.0928021504058845,0.0136903992078592
"Viroli Laplace",1,1,0.5,0.492949794111015,-0.941502306315701,-0.955777528477595,0.0670360110803324,0.127153414201006,-0.00705020588898486,-0.0142752221618937,0.0601174031206736
"Viroli Laplace",1,2,0.5,0.507050205888985,0.941502306315701,0.929198589029111,0.1601108033241,0.0970567000869412,0.00705020588898475,-0.0123037172865894,-0.0630541032371585
"Viroli Laplace",2,1,0.5,0.496899643877606,-0.941502306315701,-0.947159422507128,0.0670360110803324,0.10298036757213,-0.00310035612239379,-0.00565711619142717,0.0359443564917979
"Viroli Laplace",2,2,0.5,0.503100356122394,0.941502306315701,0.935485681955299,0.1601108033241,0.124776325396367,0.00310035612239368,-0.00601662436040218,-0.0353344779277325
"Viroli Laplace",3,1,0.5,0.530906784939831,-0.941502306315701,-0.885673019933074,0.0670360110803324,0.0953627870071431,0.0309067849398312,0.0558292863826266,0.0283267759268107
"Viroli Laplace",3,2,0.5,0.469093215060169,0.941502306315701,1.00238033811746,0.1601108033241,0.131295926241882,-0.030906784939831,0.0608780318017608,-0.028814877082218
"Viroli Laplace",4,1,0.5,0.483612448092399,-0.941502306315701,-0.957844949621484,0.0670360110803324,0.115341599769196,-0.016387551907601,-0.0163426433057829,0.0483055886888636
"Viroli Laplace",4,2,0.5,0.516387551907601,0.941502306315701,0.897050556831147,0.1601108033241,0.164574108804386,0.0163875519076012,-0.0444517494845541,0.00446330548028606
"Viroli Laplace",5,1,0.5,0.540663238781621,-0.941502306315701,-0.863640151373815,0.0670360110803324,0.0901815831002948,0.0406632387816215,0.0778621549418856,0.0231455720199624
"Viroli Laplace",5,2,0.5,0.459336761218378,0.941502306315701,1.01654933984616,0.1601108033241,0.159598172078364,-0.0406632387816217,0.0750470335304616,-0.000512631245735473
