"H","fold","G_fixed","heldout_loglik_per_response","train_loglik_per_response","mixture_loglik_per_model_factor","n_heldout","fit_seconds"
1,1,2,-0.295050199757505,-0.273005369143424,-1.25098998614101,20196,2.749
1,2,2,-0.301853289289175,-0.270339996563149,-1.28670738563056,20309,2.526
1,3,2,-0.300839265452091,-0.269748909577524,-1.26239846192127,20495,2.499
2,1,2,-0.278397726214269,-0.238415580129842,-1.26124181339148,20196,2.529
2,2,2,-0.284042798544485,-0.236204141335226,-1.31034582104553,20309,2.882
2,3,2,-0.279132638537607,-0.236778996491033,-1.27922252031837,20495,2.853
3,1,2,-0.268331551649565,-0.221102106702823,-1.27083222816637,20196,3.306
3,2,2,-0.280007007577459,-0.216630910483838,-1.30917470853667,20309,3.276
3,3,2,-0.280144769071125,-0.215915639063904,-1.20997885167307,20495,3.273
4,1,2,-0.271428962643184,-0.206163538454247,-1.26354269381511,20196,4.183
4,2,2,-0.289113758840447,-0.205209057084714,-1.27677260997269,20309,3.91
4,3,2,-0.285714731504638,-0.202031520814085,-1.22320940424075,20495,3.948
5,1,2,-0.283400590427275,-0.194162911066637,-1.24434431316791,20196,4.233
5,2,2,-0.296872294210865,-0.189843521948555,-1.21809720816192,20309,4.325
5,3,2,-0.299534921218589,-0.189612941338261,-1.25194009755968,20495,4.363
6,1,2,-0.294404297018991,-0.182058543867398,-1.24390727265737,20196,4.966
6,2,2,-0.299377837093044,-0.179621528440982,-1.23306908357507,20309,5.053
6,3,2,-0.302825405532802,-0.178269738230147,-1.12818606983863,20495,5.08499999999999
7,1,2,-0.303435882196701,-0.171810138688267,-1.24059372704059,20196,5.753
7,2,2,-0.307841736023257,-0.167943816261982,-1.26953502929425,20309,5.80200000000001
7,3,2,-0.316242788461509,-0.167631912717252,-1.27996658559579,20495,5.80999999999999
8,1,2,-0.322272288016052,-0.1603983597749,-1.23648849285648,20196,6.71900000000001
8,2,2,-0.317275040797704,-0.159921147045816,-1.27486646665225,20309,7.44800000000001
8,3,2,-0.325827461318653,-0.157708793489625,-1.18245581921085,20495,6.785
9,1,2,-0.351707773598978,-0.15256033354976,-1.24855848563793,20196,8.533
9,2,2,-0.339140075203103,-0.146969705912539,-1.26407957194375,20309,8.437
9,3,2,-0.343552112643011,-0.147058193304703,-1.18057993036684,20495,8.41500000000001
10,1,2,-0.351817466346293,-0.143065656224707,-1.24922089089891,20196,9.672
10,2,2,-0.347493100319655,-0.139941221815979,-1.282513442765,20309,9.83800000000002
10,3,2,-0.364345219096624,-0.137785429714342,-1.2112065044849,20495,9.952
