"H","mean_heldout_loglik_per_response","sd_heldout_loglik_per_response","se_heldout_loglik_per_response","best_H","selected_by_one_se","one_se_threshold"
1,-0.299166726639826,0.00362626816222592,0.00209362689961491,FALSE,FALSE,-0.278874368436002
2,-0.280799014922561,0.00305894085914197,0.00176608032846076,FALSE,FALSE,-0.278874368436002
3,-0.275621115286984,0.00563479974398181,0.00325325314901753,TRUE,TRUE,-0.278874368436002
4,-0.281718766333834,0.00799293344624547,0.00461472227680459,FALSE,FALSE,-0.278874368436002
5,-0.293138427478353,0.00712105631483454,0.0041113437802842,FALSE,FALSE,-0.278874368436002
6,-0.297979244990864,0.00082392292602251,0.0004756921231306,FALSE,FALSE,-0.278874368436002
7,-0.3065681812041,0.00257330428152108,0.00148569791964301,FALSE,FALSE,-0.278874368436002
8,-0.314832081535577,0.00174945307745407,0.00101004720520273,FALSE,FALSE,-0.278874368436002
9,-0.330985966016002,0.00469647792344614,0.00271151279334476,FALSE,FALSE,-0.278874368436002
10,-0.352003223546691,0.00752147660850923,0.00434252654462628,FALSE,FALSE,-0.278874368436002
