"H","mean_heldout_loglik_per_response","sd_heldout_loglik_per_response","se_heldout_loglik_per_response","mean_heldout_accuracy","se_heldout_accuracy","mean_fit_seconds","best_H","selected_by_one_se","one_se_threshold"
1,-0.299607894730473,0.00316920762194559,0.0018297428736481,0.869715602408168,0.00192703696885726,2.77433333333333,FALSE,FALSE,-0.283362177868444
2,-0.284909479860174,0.00390357701045892,0.00225373123779089,0.880784891729881,0.00176165442515955,3.107,FALSE,FALSE,-0.283362177868444
3,-0.279247600722885,0.00712665666777054,0.00411457714555936,0.885235962107224,0.00166039878541288,3.33966666666667,TRUE,TRUE,-0.283362177868444
4,-0.2844861780179,0.00407633957057821,0.00235347574838165,0.88729005477964,0.00135612271712131,3.569,FALSE,FALSE,-0.283362177868444
5,-0.295100806132501,0.00501578603469868,0.00289586541733085,0.885779195487735,0.00102011644723249,3.54533333333333,FALSE,FALSE,-0.283362177868444
6,-0.309095198407551,0.00911721198283045,0.00526382479254604,0.885663181681492,0.00102425364686971,3.593,FALSE,FALSE,-0.283362177868444
7,-0.323669133603124,0.00918215178625576,0.00530131780553477,0.883642576021966,0.000814359488020243,3.65166666666667,FALSE,FALSE,-0.283362177868444
8,-0.3425300450559,0.00762816599204474,0.00440412368893018,0.880318766939392,0.0012567431561341,3.85166666666666,FALSE,FALSE,-0.283362177868444
9,-0.35866373534582,0.00450597690883493,0.00260152698127808,0.878469622452063,0.000783668441887737,4.097,FALSE,FALSE,-0.283362177868444
10,-0.370081259711168,0.0130454880665517,0.00753181604693367,0.877464664488924,0.000746989788754105,4.02866666666667,FALSE,FALSE,-0.283362177868444
