"lambda_l1_penalty","binary_loglik","binary_loglik_per_response","effective_df","nnz_lambda","lambda_density","n_abs_gt_0_1","n_abs_gt_0_5","n_abs_gt_1_0","mean_abs_lambda","median_abs_lambda","aic","bic","refinement_iterations","selected_refinement_iteration","elapsed_sec","selected_by_bic","selected_by_aic"
0,-13214.6612057054,-0.216633790257465,2390,1500,1,1357,883,559,6.96286076945083,0.689867870095839,31209.3224114108,52763.8460635523,8,8,1.813,FALSE,TRUE
0.5,-13325.782314576,-0.218455447779934,2336,1446,0.964,1280,760,443,0.783764037730466,0.518564911897189,31323.564629152,52391.0823075631,8,8,11.764,FALSE,FALSE
1,-13429.660751099,-0.220158372968837,2296,1406,0.937333333333333,1219,704,387,0.678750071127944,0.443901650823898,31451.3215021981,52158.094014883,8,8,10.851,FALSE,FALSE
2,-13644.6990163718,-0.223683590432325,2220,1330,0.886666666666667,1121,624,321,0.570256719108172,0.358233443882895,31729.3980327436,51750.7547305487,8,8,9.206,FALSE,FALSE
3,-13870.3163221623,-0.227382234789546,2150,1260,0.84,1047,557,284,0.505763258258971,0.293314476588831,32040.6326443246,51430.6853021088,8,8,8.655,FALSE,FALSE
4,-14108.4219213479,-0.231285605267998,2088,1198,0.798666666666667,986,518,250,0.459098265138682,0.248798883759504,32392.8438426957,51223.7414936043,8,8,7.575,FALSE,FALSE
6,-14659.4724848753,-0.240319221063529,1857,967,0.644666666666667,798,466,202,0.377558226378217,0.140170930197908,33032.9449697505,49780.5392885902,8,4,6.913,FALSE,FALSE
8,-15123.6210775465,-0.247928214386008,1727,837,0.558,716,434,147,0.326729914245094,0.0667639005376252,33701.242155093,49276.4146853224,4,4,4.084,FALSE,FALSE
10,-15549.3882799049,-0.254908004588604,1649,759,0.506,673,413,123,0.293475469160351,0.00779991334592009,34396.7765598097,49268.4960168731,4,4,4.44300000000001,TRUE,FALSE
12,-15960.7449337154,-0.261651556290416,1607,717,0.478,637,386,89,0.266587891258197,0,35135.4898674308,49628.4269004816,6,6,6.18599999999999,FALSE,FALSE
