"H","singular_value","singular_value_ratio_to_next","residual_variance","effective_df_rank_H","spectral_bic","spectral_bic_per_response","selected_by_spectral_bic","bai_ng_icp2","selected_by_bai_ng_icp2"
1,105.023698393931,2.81339463497311,0.275424057715005,621,-71813.4751009922,-1.17727008362282,TRUE,-1.24045807719783,FALSE
2,37.3298850749159,1.07959312067806,0.252579462309981,1240,-70274.6918934844,-1.15204412940138,FALSE,-1.27805885002212,FALSE
3,34.5777352225718,1.23793529258556,0.232979138160436,1857,-68403.5939594051,-1.12137039277713,FALSE,-1.3098505739143,FALSE
4,27.931779172684,1.12537955427492,0.220189231803852,2472,-65071.2941826483,-1.0667425275844,FALSE,-1.31732690270872,TRUE
5,24.8198743851184,1.08567039232481,0.210090442221999,3085,-61180.7760810102,-1.00296354231164,FALSE,-1.31529084489384,FALSE
6,22.8613348587044,1.02164087946293,0.201522563016723,3696,-56988.2363311963,-0.934233382478628,FALSE,-1.30794234598942,FALSE
7,22.3770752700524,1.09862614746915,0.193313817153746,4305,-52814.6668513753,-0.865814210678284,FALSE,-1.30054356858838,FALSE
8,20.3682347462795,1.05374626707106,0.186512751798344,4912,-48311.0893957117,-0.791985072060848,FALSE,-1.28737355784096,FALSE
9,19.3293541175658,1.01189220496542,0.180387769329455,5517,-43681.6577580041,-0.716092750131214,FALSE,-1.27177909725206,FALSE
10,19.102186994539,1.04777101704324,0.174405907887252,6120,-39094.5530913125,-0.640894312972337,FALSE,-1.25651725490464,FALSE
