"profile_id","n_models","mean_accuracy","min_accuracy","max_accuracy"
"3-3-3",12,0.959333333333333,0.906,0.992
"3-3-2",16,0.919625,0.878,0.946
"3-2-3",1,0.912,0.912,0.912
"3-1-3",20,0.8982,0.846,0.93
"3-1-2",21,0.871619047619048,0.802,0.908
"3-2-2",6,0.858,0.812,0.888
"2-3-2",2,0.842,0.834,0.85
"2-2-3",2,0.801,0.8,0.802
"3-2-1",1,0.794,0.794,0.794
"2-1-2",6,0.768,0.714,0.82
"2-2-2",1,0.738,0.738,0.738
"2-3-1",3,0.71,0.616,0.788
"2-1-1",4,0.568,0.438,0.652
"2-2-1",4,0.5655,0.512,0.632
"1-1-2",4,0.3915,0.314,0.452
"1-1-1",7,0.366285714285714,0.232,0.5
"1-2-1",3,0.325333333333333,0.26,0.38
"1-1-3",7,0.320571428571429,0.208,0.392
"1-2-2",1,0.286,0.286,0.286
"1-2-3",1,0.244,0.244,0.244
