"factor_group","set_accuracy","overall_accuracy","factor_score","n_models","factor","direction"
1,0.0730434782608696,0.342608695652174,-1.45743038695903,23,"F1","positive"
2,0.610909090909091,0.695272727272727,-0.075047869906099,22,"F1","positive"
3,0.971082251082251,0.900623376623377,0.967762699701923,77,"F1","positive"
1,0.459130434782609,0.342608695652174,-1.45743038695903,23,"F1","negative"
2,0.553939393939394,0.695272727272727,-0.075047869906099,22,"F1","negative"
3,0.654891774891775,0.900623376623377,0.967762699701923,77,"F1","negative"
1,0.404444444444444,0.717710144927536,-0.943816614754037,69,"F2","positive"
2,0.477333333333333,0.6481,-0.0579648490065655,20,"F2","positive"
3,0.901818181818182,0.91030303030303,1.32565884345801,33,"F2","positive"
1,0.759227053140097,0.717710144927536,-0.943816614754037,69,"F2","negative"
2,0.656666666666667,0.6481,-0.0579648490065655,20,"F2","negative"
3,0.886868686868687,0.91030303030303,1.32565884345801,33,"F2","negative"
1,0.213939393939394,0.499909090909091,-1.69098543212079,22,"F3","positive"
2,0.756023391812865,0.82540350877193,-0.0776007023031951,57,"F3","positive"
3,0.854263565891473,0.801813953488372,0.915014658985764,43,"F3","positive"
1,0.658787878787879,0.499909090909091,-1.69098543212079,22,"F3","negative"
2,0.836959064327485,0.82540350877193,-0.0776007023031951,57,"F3","negative"
3,0.75937984496124,0.801813953488372,0.915014658985764,43,"F3","negative"
