"method","H","effective_df","mean_heldout_loglik_per_response","sd_heldout_loglik_per_response","se_heldout_loglik_per_response","mean_train_loglik_per_response","sd_train_loglik_per_response","se_train_loglik_per_response","mean_heldout_bic","sd_heldout_bic","se_heldout_bic","mean_training_bic","sd_training_bic","se_training_bic","best_H","selected_by_one_se","one_se_threshold","mean_fit_seconds","selected_by_heldout_bic","selected_by_training_bic"
"mixture_probit_G2",1,1127,-0.299247584832924,0.00367023053622713,0.00211900858807872,-0.271031425094699,0.00173484503249323,0.00100161324651225,23349.7536616509,228.664517492331,132.019520728313,34005.2276633044,220.795758346381,127.476490517211,FALSE,FALSE,-0.280076090312494,2.59133333333333,TRUE,TRUE
"mixture_probit_G2",2,1754,-0.280524387765454,0.00306910977943954,0.00177195135733193,-0.237132905985367,0.00114741201545825,0.000662458635996232,28807.6567658984,156.52162752619,90.3678037862443,37902.4318538549,154.053045096816,88.942567056128,FALSE,FALSE,-0.280076090312494,2.75466666666667,FALSE,FALSE
"mixture_probit_G2",3,2381,-0.276161109432716,0.00678094579443483,0.00391498087977721,-0.217882885416855,0.00281077259255629,0.0016228003129432,34851.1520073804,360.495053553466,208.131916210622,42991.5604221936,295.48777882038,170.599948644191,TRUE,TRUE,-0.280076090312494,3.285,FALSE,FALSE
"mixture_probit_G2",4,3008,-0.282085817662756,0.00938428291818465,0.00541801826896551,-0.204468038784349,0.00216338242938222,0.00124902942796393,41312.0982014462,458.577818772048,264.760027112434,48554.8805996577,247.958894263818,143.159134351177,FALSE,FALSE,-0.280076090312494,4.01366666666667,FALSE,FALSE
"mixture_probit_G2",5,3635,-0.29326926861891,0.00864959551557756,0.00499384629930008,-0.191206458117818,0.00256295774124307,0.00147972434182832,47986.9985114125,455.443168876452,262.950236151396,54130.713466035,269.941212710673,155.850631823881,FALSE,FALSE,-0.280076090312494,4.307,FALSE,FALSE
"mixture_probit_G2",6,4262,-0.298869179881612,0.00423353472519136,0.00244423241321286,-0.179983270179509,0.00192013146770232,0.0011085884197574,54433.8738393704,291.935597860659,168.549096010886,59872.2936476851,224.146000250568,129.410753582443,FALSE,FALSE,-0.280076090312494,5.03466666666666,FALSE,FALSE
"mixture_probit_G2",7,4889,-0.309173468893822,0.00650648494563715,0.00375652083484185,-0.169128622555834,0.00232749168240812,0.00134377794937494,61073.2358846659,394.687882837352,227.873155402029,65643.9187262044,249.848359080103,144.250017371484,FALSE,FALSE,-0.280076090312494,5.78833333333333,FALSE,FALSE
"mixture_probit_G2",8,5516,-0.321791596710803,0.00429642552478147,0.00248054243328576,-0.159342766770114,0.00143503815566456,0.000828519665470315,67805.3675486631,275.408159954244,159.006975286603,71502.3479576795,184.135042921288,106.310416597849,FALSE,FALSE,-0.280076090312494,6.98400000000001,FALSE,FALSE
"mixture_probit_G2",9,6143,-0.344799987148364,0.00637610020531767,0.00368124316992018,-0.148862744255667,0.00320251189622843,0.00184897110537046,74959.741793104,219.960794430147,126.994423875409,77304.6439427786,316.528507389555,182.74781894755,FALSE,FALSE,-0.280076090312494,8.46166666666667,FALSE,FALSE
"mixture_probit_G2",10,6770,-0.354551928587524,0.00875251047584668,0.0050532642793151,-0.140264102585009,0.00265487984538802,0.00153279559340089,81578.2552902909,493.098807396107,284.690729187226,83259.7548109197,281.883858878496,162.74572180371,FALSE,FALSE,-0.280076090312494,9.82066666666667,FALSE,FALSE
"mixture_probit_G3",1,1130,-0.299166726639826,0.00362626816222607,0.00209362689961499,-0.271011680647776,0.00176227818870899,0.00101745178663814,23376.2215897554,227.176222720129,131.160253340949,34035.464431408,222.736532225824,128.596996838943,FALSE,FALSE,-0.278874368436001,2.66633333333333,TRUE,TRUE
"mixture_probit_G3",2,1760,-0.280799014922561,0.00305894085914165,0.00176608032846058,-0.237115509480327,0.00106659896138061,0.000615801197470473,28878.3044152223,151.107001631585,87.2416680684328,37964.6851030427,147.872121904686,85.3740093873115,FALSE,FALSE,-0.278874368436001,3.008,FALSE,FALSE
"mixture_probit_G3",3,2390,-0.275621115286984,0.00563479974398145,0.00325325314901733,-0.21779584232935,0.00291442200494476,0.00168264232908703,34918.1785587611,307.331518439075,177.437934901257,43079.9928637471,301.487104899201,174.063661170754,TRUE,TRUE,-0.278874368436001,3.43366666666667,FALSE,FALSE
"mixture_probit_G3",4,3020,-0.281718766333834,0.00799293344624528,0.00461472227680447,-0.204453063982901,0.0022983569694399,0.00132695701499998,41415.9971648551,401.642542938299,231.888430283433,48681.0474266079,258.954746381371,149.507592531216,FALSE,FALSE,-0.278874368436001,4.142,FALSE,FALSE
"mixture_probit_G3",5,3650,-0.293138427478353,0.00712105631483468,0.00411134378028429,-0.191520738173808,0.00257209383342203,0.00148499906710719,48130.390581102,405.709560480543,234.236523956246,54315.4728874832,270.715668663193,156.297764176544,FALSE,FALSE,-0.278874368436001,4.48166666666667,FALSE,FALSE
"mixture_probit_G3",6,4280,-0.297979244990864,0.000823922926022555,0.000475692123130626,-0.180028838193847,0.00224247713673719,0.0012946947785468,54575.5134566986,144.089966888206,83.1903811704299,60067.0624604278,246.34088335274,142.224975316114,FALSE,FALSE,-0.278874368436001,5.35366666666667,FALSE,FALSE
