"method","H","fold","effective_df","n_heldout","n_train","heldout_loglik","train_loglik","heldout_loglik_per_response","train_loglik_per_response","heldout_bic","training_bic","fit_seconds"
"mixture_probit_G2",1,1,1127,20196,40804,-5958.83383430257,-11139.7110825283,-0.295050199757505,-0.273005369143424,23089.8889727693,34244.2575549989,2.749
"mixture_probit_G2",1,2,1127,20309,40691,-6130.33845217385,-11000.4048001511,-0.301853289289175,-0.270339996563149,23439.1863867805,33962.519618587,2.526
"mixture_probit_G2",1,3,1127,20495,40505,-6165.7007454406,-10926.1795824376,-0.300839265452091,-0.269748909577524,23520.1856254028,33808.9058163274,2.499
"mixture_probit_G2",2,1,1754,20196,40804,-5622.52047862338,-9728.30933161807,-0.278397726214269,-0.238415580129842,28632.8636435856,38078.0217457196,2.529
"mixture_probit_G2",2,2,1754,20309,40691,-5768.62519563995,-9611.38271507168,-0.284042798544485,-0.236204141335226,28934.859647879,37839.3043583345,2.882
"mixture_probit_G2",2,3,1754,20495,40505,-5720.82342682826,-9590.73325286929,-0.279132638537607,-0.236778996491033,28855.2470062305,37789.9694575107,2.853
"mixture_probit_G2",3,1,2381,20196,40804,-5419.22401711461,-9021.85036190199,-0.268331551649565,-0.221102106702823,34441.8721027428,43321.6714988285,3.306
"mixture_probit_G2",3,2,2381,20309,40691,-5686.66231689061,-8814.92837849785,-0.280007007577459,-0.216630910483838,34990.0336645466,42901.2245950933,3.276
"mixture_probit_G2",3,3,2381,20495,40505,-5741.56704211271,-8745.66296028343,-0.280144769071125,-0.215915639063904,35121.5502548518,42751.7851726589,3.273
"mixture_probit_G2",4,1,3008,20196,40804,-5481.77932954174,-8412.29702308709,-0.271428962643184,-0.206163538454247,40782.5841097717,48759.1325137398,4.183
"mixture_probit_G2",4,2,3008,20309,40691,-5871.61132829064,-8350.1617418341,-0.289113758840447,-0.205209057084714,41579.0314615129,48626.5202316722,3.91
"mixture_probit_G2",4,3,3008,20495,40505,-5855.72342218756,-8183.28675057451,-0.285714731504638,-0.202031520814085,41574.6790330539,48278.9890535609,3.948
"mixture_probit_G2",5,1,3635,20196,40804,-5723.55832426925,-7922.62342316306,-0.283400590427275,-0.194162911066637,47481.7434814014,54436.3530064329,4.233
"mixture_probit_G2",5,2,3635,20309,40691,-6029.17942312846,-7724.92275160865,-0.296872294210865,-0.189843521948555,48113.2674253548,54030.8711611278,4.325
"mixture_probit_G2",5,3,3635,20495,40505,-6138.96821037498,-7680.27218890626,-0.299534921218589,-0.189612941338261,48365.9846274812,53924.9162305443,4.363
"mixture_probit_G2",6,1,4262,20196,40804,-5945.78918259554,-7428.71682396531,-0.294404297018991,-0.182058543867398,54141.8065802288,60105.1075005785,4.966
