"method","H","effective_df","mean_heldout_loglik_per_response","se_heldout_loglik_per_response","mean_heldout_bic","se_heldout_bic","mean_training_bic","se_training_bic","best_H","selected_by_one_se","selected_by_heldout_bic","selected_by_training_bic"
"mixture_probit_G2",1,1127,-0.299247584832924,0.00211900858807872,23349.7536616509,132.019520728313,34005.2276633044,127.476490517211,FALSE,FALSE,TRUE,TRUE
"mixture_probit_G2",2,1754,-0.280524387765454,0.00177195135733193,28807.6567658984,90.3678037862443,37902.4318538549,88.942567056128,FALSE,FALSE,FALSE,FALSE
"mixture_probit_G2",3,2381,-0.276161109432716,0.00391498087977721,34851.1520073804,208.131916210622,42991.5604221936,170.599948644191,TRUE,TRUE,FALSE,FALSE
"mixture_probit_G2",4,3008,-0.282085817662756,0.00541801826896551,41312.0982014462,264.760027112434,48554.8805996577,143.159134351177,FALSE,FALSE,FALSE,FALSE
"mixture_probit_G2",5,3635,-0.29326926861891,0.00499384629930008,47986.9985114125,262.950236151396,54130.713466035,155.850631823881,FALSE,FALSE,FALSE,FALSE
"mixture_probit_G2",6,4262,-0.298869179881612,0.00244423241321286,54433.8738393704,168.549096010886,59872.2936476851,129.410753582443,FALSE,FALSE,FALSE,FALSE
"mixture_probit_G2",7,4889,-0.309173468893822,0.00375652083484185,61073.2358846659,227.873155402029,65643.9187262044,144.250017371484,FALSE,FALSE,FALSE,FALSE
"mixture_probit_G2",8,5516,-0.321791596710803,0.00248054243328576,67805.3675486631,159.006975286603,71502.3479576795,106.310416597849,FALSE,FALSE,FALSE,FALSE
"mixture_probit_G2",9,6143,-0.344799987148364,0.00368124316992018,74959.741793104,126.994423875409,77304.6439427786,182.74781894755,FALSE,FALSE,FALSE,FALSE
"mixture_probit_G2",10,6770,-0.354551928587524,0.0050532642793151,81578.2552902909,284.690729187226,83259.7548109197,162.74572180371,FALSE,FALSE,FALSE,FALSE
"mixture_probit_G3",1,1130,-0.299166726639826,0.00209362689961499,23376.2215897554,131.160253340949,34035.464431408,128.596996838943,FALSE,FALSE,TRUE,TRUE
"mixture_probit_G3",2,1760,-0.280799014922561,0.00176608032846058,28878.3044152223,87.2416680684328,37964.6851030427,85.3740093873115,FALSE,FALSE,FALSE,FALSE
"mixture_probit_G3",3,2390,-0.275621115286984,0.00325325314901733,34918.1785587611,177.437934901257,43079.9928637471,174.063661170754,TRUE,TRUE,FALSE,FALSE
"mixture_probit_G3",4,3020,-0.281718766333834,0.00461472227680447,41415.9971648551,231.888430283433,48681.0474266079,149.507592531216,FALSE,FALSE,FALSE,FALSE
"mixture_probit_G3",5,3650,-0.293138427478353,0.00411134378028429,48130.390581102,234.236523956246,54315.4728874832,156.297764176544,FALSE,FALSE,FALSE,FALSE
"mixture_probit_G3",6,4280,-0.297979244990864,0.000475692123130626,54575.5134566986,83.1903811704299,60067.0624604278,142.224975316114,FALSE,FALSE,FALSE,FALSE
"mixture_probit_G3",7,4910,-0.306568181204099,0.00148569791964309,61174.8127049878,134.782439788273,65950.6215246756,142.510768190392,FALSE,FALSE,FALSE,FALSE
"mixture_probit_G3",8,5540,-0.314832081535577,0.00101004720520291,67760.1372005973,105.04660710958,71779.6698587739,94.7897877271951,FALSE,FALSE,FALSE,FALSE
"mixture_probit_G3",9,6170,-0.330985966016002,0.00271151279334486,74665.5459316429,27.780820809111,77612.6142639299,150.09296988339,FALSE,FALSE,FALSE,FALSE
"mixture_probit_G3",10,6800,-0.352003223546691,0.00434252654462645,81772.2018071085,263.74798811241,83617.7491270892,138.251679430959,FALSE,FALSE,FALSE,FALSE
"ordinary_probit_factor",1,1122,-0.299607894730473,0.00182974287364815,23314.758925626,122.231541802541,33824.9237182876,131.423736193103,FALSE,FALSE,TRUE,TRUE
"ordinary_probit_factor",2,1744,-0.284909479860174,0.00225373123779106,28887.1504218411,127.631475602849,37659.8376219978,90.155048267296,FALSE,FALSE,FALSE,FALSE
"ordinary_probit_factor",3,2366,-0.279247600722885,0.00411457714555926,34827.8917395227,215.453001153011,42597.0170034895,177.654725609197,TRUE,TRUE,FALSE,FALSE
"ordinary_probit_factor",4,2988,-0.2844861780179,0.00235347574838147,41210.7271436005,150.65485065965,47892.4199502051,209.830166459391,FALSE,FALSE,FALSE,FALSE
"ordinary_probit_factor",5,3610,-0.295100806132501,0.00289586541733102,47812.9339147438,183.504284592711,53430.7453975121,116.634136685581,FALSE,FALSE,FALSE,FALSE
"ordinary_probit_factor",6,4232,-0.309095198407551,0.00526382479254632,54553.1268581329,286.217735933482,58914.1363479088,153.445833426258,FALSE,FALSE,FALSE,FALSE
"ordinary_probit_factor",7,4854,-0.323669133603124,0.00530131780553494,61315.983849527,290.188802150425,64568.1516123102,132.519697555555,FALSE,FALSE,FALSE,FALSE
"ordinary_probit_factor",8,5476,-0.3425300450559,0.00440412368893025,68251.8037111594,212.681604119372,70312.31393763,133.108281607634,FALSE,FALSE,FALSE,FALSE
"ordinary_probit_factor",9,6098,-0.358663735345821,0.002601526981278,75077.8279104246,139.504052796701,76134.8155205314,131.69551303387,FALSE,FALSE,FALSE,FALSE
"ordinary_probit_factor",10,6720,-0.370081259711168,0.00753181604693379,81714.980442224,400.091428596564,81980.3589554869,152.403800033599,FALSE,FALSE,FALSE,FALSE
