"model_id","accuracy","factor_1","factor_2","factor_3","group_factor_1","group_factor_2","group_factor_3","profile_id"
"claude-3-5-haiku-20241022",0.862,0.803232449288222,-0.970854308019556,-0.0687095058671349,3,1,2,"3-1-2"
"claude-3-5-sonnet-20240620",0.906,0.549195541900057,0.968627732008242,0.801172192291198,3,3,3,"3-3-3"
"claude-3-5-sonnet-20241022",0.908,1.24960111515317,-0.683568616280581,0.0831954042781933,3,1,2,"3-1-2"
"claude-3-7-sonnet-20250219",0.896,0.921176027191186,-0.919760463593159,0.609118779568847,3,1,3,"3-1-3"
"claude-haiku-4-5-20251001",0.868,0.726583137369366,-0.876179683977523,0.277859220457805,3,1,2,"3-1-2"
"claude-opus-4-20250514",0.946,1.33152883661562,1.31396111927443,0.191262308966744,3,3,2,"3-3-2"
"claude-opus-4-20250514-thinking-10k",0.906,1.20559691485865,-0.974213657719855,0.712609909474302,3,1,3,"3-1-3"
"claude-sonnet-4-20250514",0.896,1.04881482143689,-1.18322412425793,0.636379313045076,3,1,3,"3-1-3"
"claude-sonnet-4-20250514-thinking-10k",0.894,0.903224866605644,-1.21371365979599,1.05659596728054,3,1,3,"3-1-3"
"claude-sonnet-4-5-20250929",0.908,1.23986999989267,-1.23656463808463,0.930675872939177,3,1,3,"3-1-3"
"deepseek-r1-0528",0.848,0.50430087529104,-1.11340701654993,0.741765660838028,3,1,3,"3-1-3"
"deepseek-v3",0.896,1.25429953756998,-0.864966028489488,-0.108480545783582,3,1,2,"3-1-2"
"falcon-40b-instruct",0.336,-1.23246881049217,0.0873498339937549,-1.59559709784564,1,2,1,"1-2-1"
"falcon-7b-instruct",0.286,-1.50225718162545,-0.426235491180668,-0.613961395242484,1,2,2,"1-2-2"
"gemini-1.5-flash-002",0.896,1.29817402387961,-0.95318596138041,-0.222136381145723,3,1,2,"3-1-2"
"gemini-1.5-pro-002",0.894,1.23694843631557,-0.733587786603591,-0.104910390375113,3,1,2,"3-1-2"
