"model_id","accuracy","ordinary_F1","ordinary_F2","ordinary_F3","mixture_F1","mixture_F2","mixture_F3","group_factor_1","group_factor_2","group_factor_3","profile_id"
"gpt-5.4-pro-2026-03-05",0.992,2.90950435168701,1.38242874413586,-1.44386468434492,1.62391977314955,1.64435652914275,1.2146570067572,3,3,3,"3-3-3"
"gpt-5.2-pro-2025-12-11",0.984,2.59972163349238,1.11775323385557,-0.571638550465876,1.60007285525006,1.42448832931145,1.06103520520868,3,3,3,"3-3-3"
"grok-3-mini-beta",0.978,2.28584820463866,1.1157949925203,-1.45607901186408,1.39663906688382,1.3704276795055,1.0515032329607,3,3,3,"3-3-3"
"grok-4-0709",0.974,1.93076218069196,1.1612876966107,-1.53664970747303,1.17778018740092,1.32567887202658,1.02153662900939,3,3,3,"3-3-3"
"gpt-5.1-2025-11-13",0.972,2.15566370627234,1.58060793577654,-0.93937738515223,1.28622393276956,1.66136622743982,0.943641235958713,3,3,3,"3-3-3"
"gpt-5-nano-2025-08-07",0.966,1.81030430907397,1.03630104850635,-1.19682529248342,1.09363465186069,1.16234923573199,1.07811319288421,3,3,3,"3-3-3"
"o4-mini-2025-04-16",0.96,1.85181329381934,1.41918159469589,-0.970406542618027,1.15331665666608,1.369099271643,0.845868926401427,3,3,3,"3-3-3"
"gpt-5-mini-2025-08-07",0.956,1.68790006009208,1.39685771638057,-1.37031380840619,0.883428770611984,1.43630329575918,1.13942397931296,3,3,3,"3-3-3"
"gpt-5.3-chat-latest",0.954,1.49546765208886,1.23760298148433,-1.30524716868633,0.881919587693716,1.33041660460638,0.812666761253708,3,3,3,"3-3-3"
"claude-opus-4-20250514",0.946,1.79567665661686,1.2688035160113,0.460773646892011,1.33152883661562,1.31396111927443,0.191262308966744,3,3,2,"3-3-2"
"llama-4-maverick-17b-128e-instruct-fp8",0.946,1.54550523985104,1.39149922117721,-0.181614914494166,1.18083293805532,1.33173492188095,0.15457261369391,3,3,2,"3-3-2"
"qwen-3-80b-instruct",0.946,1.5892767915702,1.41691642085049,-0.788080890397071,1.01905524571938,1.39614890159201,0.672586380861461,3,3,3,"3-3-3"
"gpt-4.1-mini-2025-04-14",0.94,1.30316335275872,1.82886435614878,0.100794642223073,0.994807268662544,1.5360743695261,0.00613741879594422,3,3,2,"3-3-2"
"qwen-2.5-72b-instruct",0.94,1.25257860952971,1.72808231315609,-0.338865247027103,0.878850954831378,1.43916512754038,0.386634973703633,3,3,2,"3-3-2"
"granite-4.0-h-small",0.932,1.17833826547077,1.69304674535117,0.270142735706991,0.897896460969762,1.524238902774,0.0762932352080943,3,3,2,"3-3-2"
"gpt-5.2-2025-12-11",0.93,1.97895760829919,-0.88413531217434,-0.941120787524022,1.32614221922338,-0.55003195506664,0.854691758661223,3,1,3,"3-1-3"
"grok-3-beta",0.93,2.30125270603028,-1.29092097560674,-0.877132837231822,1.39327326515617,-0.741647374732995,1.0442030375451,3,1,3,"3-1-3"
