"block_label","loading_design","H_true","G_true","n","p","n_reps","mean_factor_score_rmse","sd_factor_score_rmse","lower_factor_score_rmse","upper_factor_score_rmse"
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",100,250,25,0.189866719860411,0.0155444091356292,0.158777901589152,0.220955538131669
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",500,250,25,0.166827692603328,0.00421324068813188,0.158401211227065,0.175254173979592
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",1000,250,25,0.166140890204955,0.00318767057249723,0.159765549059961,0.17251623134995
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",2000,250,25,0.165690442915662,0.00230099299180128,0.16108845693206,0.170292428899265
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",100,500,25,0.149288458518025,0.0156997160167557,0.117889026484513,0.180687890551536
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",500,500,25,0.125707992644182,0.00380171007133035,0.118104572501521,0.133311412786842
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",1000,500,25,0.123792029663171,0.00276503316641376,0.118261963330343,0.129322095995998
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",2000,500,25,0.122159909058871,0.00160985808438157,0.118940192890108,0.125379625227635
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",100,1000,25,0.123812292063745,0.0160359521618143,0.0917403877401164,0.155884196387373
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",500,1000,25,0.0949757064933494,0.00409941142920562,0.0867768836349382,0.103174529351761
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",1000,1000,25,0.090896312363586,0.00203486971202774,0.0868265729395305,0.0949660517876414
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",2000,1000,25,0.0899140365851062,0.00149654048921737,0.0869209556066714,0.0929071175635409
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",100,2000,25,0.110553586568744,0.0154894635129305,0.0795746595428831,0.141532513594605
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",500,2000,25,0.0730530697855639,0.00636508170843188,0.0603229063687001,0.0857832332024277
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",1000,2000,25,0.0676449438622165,0.00313087251800727,0.061383198826202,0.0739066888982311
"balanced","balanced_moderate_dense_signed_cross",3,"2-2-2",2000,2000,25,0.0656004342510233,0.00138792156377343,0.0628245911234764,0.0683762773785701
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",100,250,25,0.26012823079306,0.0779719025977531,0.104184425597554,0.416072035988566
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",500,250,25,0.18768270435543,0.00739009211052893,0.172902520134372,0.202462888576488
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",1000,250,25,0.185842771554409,0.00450437401918505,0.176834023516039,0.194851519592779
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",2000,250,25,0.187982533185094,0.00545569516433403,0.177071142856426,0.198893923513763
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",100,500,25,0.229528680711809,0.0965744741536077,0.0363797324045939,0.422677629019025
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",500,500,25,0.136805678615433,0.00547144479222293,0.125862789030987,0.147748568199879
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",1000,500,25,0.135838037307031,0.00442121610715625,0.126995605092719,0.144680469521344
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",2000,500,25,0.133546887871264,0.00289188409506514,0.127763119681134,0.139330656061395
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",100,1000,25,0.204452623834085,0.111850980373244,-0.0192493369124029,0.428154584580573
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",500,1000,25,0.101693728275447,0.00436880662351137,0.0929561150284245,0.11043134152247
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",1000,1000,25,0.0992694722358886,0.00362137432975585,0.0920267235763769,0.1065122208954
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",2000,1000,25,0.095636838492408,0.00268936032750216,0.0902581178374036,0.101015559147412
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",100,2000,25,0.154556167720262,0.0495846754156065,0.0553868168890493,0.253725518551475
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",500,2000,25,0.0786897162960656,0.0059754822165218,0.066738751863022,0.0906406807291092
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",1000,2000,25,0.0735070931463779,0.00406940366941062,0.0653682858075566,0.0816459004851991
"balanced","balanced_moderate_dense_signed_cross",3,"3-3-3",2000,2000,25,0.0702868622450281,0.00254005257449093,0.0652067570960462,0.07536696739401
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",100,250,25,0.216314536717806,0.0111712550884114,0.193972026540983,0.238657046894628
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",500,250,25,0.182263809230718,0.00448699331664104,0.173289822597436,0.191237795864
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",1000,250,25,0.182390168444088,0.0034993579385711,0.175391452566946,0.18938888432123
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",2000,250,25,0.190006090578302,0.00641898403972273,0.177168122498856,0.202844058657747
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",100,500,25,0.168973397948269,0.0106042271166537,0.147764943714961,0.190181852181576
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",500,500,25,0.136134077053614,0.00306391469218443,0.130006247669245,0.142261906437983
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",1000,500,25,0.134272056807014,0.00195004629995041,0.130371964207113,0.138172149406914
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",2000,500,25,0.13411035872805,0.00179141524317726,0.130527528241695,0.137693189214404
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",100,1000,25,0.143371559613481,0.0124729372290374,0.118425685155406,0.168317434071556
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",500,1000,25,0.103331554829397,0.00316127768621726,0.0970089994569625,0.109654110201832
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",1000,1000,25,0.100505097058436,0.00197885625863063,0.0965473845411745,0.104462809575697
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",2000,1000,25,0.099261520238415,0.00167807768873453,0.095905364860946,0.102617675615884
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",100,2000,25,0.127135426906071,0.0177211335983628,0.0916931597093452,0.162577694102797
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",500,2000,25,0.0815665009197749,0.00448486387764494,0.072596773164485,0.0905362286750648
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",1000,2000,25,0.0749406989555003,0.00240450326940163,0.0701316924166971,0.0797497054943036
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",2000,2000,25,0.0734994061550899,0.0017199150154054,0.0700595761242791,0.0769392361859007
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",100,250,25,0.388530208970757,0.132669829479899,0.12319055001096,0.653869867930554
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",500,250,25,0.209120761982935,0.00794271232428106,0.193235337334373,0.225006186631497
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",1000,250,25,0.202383960870798,0.0035583694495841,0.19526722197163,0.209500699769967
