"block_size_mode","loading_design","method","H_true","G_true","n","p","n_reps","mean_alpha_rmse","sd_alpha_rmse","lower_alpha_rmse","upper_alpha_rmse","mean_lambda_rmse","sd_lambda_rmse","lower_lambda_rmse","upper_lambda_rmse","mean_joint_mu_rmse","sd_joint_mu_rmse","lower_joint_mu_rmse","upper_joint_mu_rmse","mean_joint_var_rmse","sd_joint_var_rmse","lower_joint_var_rmse","upper_joint_var_rmse","mean_joint_weight_rmse","sd_joint_weight_rmse","lower_joint_weight_rmse","upper_joint_weight_rmse","mean_factor_score_rmse","sd_factor_score_rmse","lower_factor_score_rmse","upper_factor_score_rmse"
"balanced","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",100,250,25,0.424164327583074,0.16833883588604,0.087486655810994,0.760841999355154,0.298267839414454,0.0754227251816659,0.147422389051122,0.449113289777786,0.0902816541491564,0.0363999382371624,0.0174817776748316,0.163081530623481,0.0750841823345859,0.0159831901051262,0.0431178021243335,0.107050562544838,0.0198567803647509,0.00863756997996176,0.00258164040482739,0.0371319203246744,0.189866719860411,0.0155444091356292,0.158777901589152,0.220955538131669
"balanced","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",100,500,25,0.355875138212765,0.0744360973019511,0.207002943608863,0.504747332816667,0.260850220477206,0.0306553305090998,0.199539559459006,0.322160881495405,0.109025672911832,0.0620535792501931,-0.0150814855885543,0.233132831412218,0.064919053121413,0.0140203237964806,0.0368784055284519,0.0929597007143742,0.0244469661116443,0.0138542295752144,-0.00326149303878461,0.0521554252620731,0.149288458518025,0.0156997160167557,0.117889026484513,0.180687890551536
"balanced","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",100,1000,25,0.337430253754874,0.0652214270497293,0.206987399655415,0.467873107854333,0.256228702994753,0.0249413319319318,0.206346039130889,0.306111366858617,0.0998019656033707,0.0392637621410377,0.0212744413212953,0.178329489885446,0.0691627486754427,0.0185916377473003,0.0319794731808421,0.106346024170043,0.0233015254722554,0.00893753734095562,0.00542645079034418,0.0411766001541667,0.123812292063745,0.0160359521618143,0.0917403877401164,0.155884196387373
"balanced","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",100,2000,25,0.319270824621173,0.0383281135467715,0.24261459752763,0.395927051714716,0.248835906978526,0.0156052104577577,0.21762548606301,0.280046327894041,0.0899175814312436,0.0298558833617238,0.0302058147077959,0.149629348154691,0.0695324108389274,0.0157134171905037,0.0381055764579201,0.100959245219935,0.0208822390248348,0.00722382489944546,0.00643458922594388,0.0353298888237257,0.110553586568744,0.0154894635129305,0.0795746595428831,0.141532513594605
"balanced","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,"2-2-2",100,250,25,0.317209209944704,0.0533022138040203,0.210604782336663,0.423813637552744,0.878022121049042,0.108753129386814,0.660515862275414,1.09552837982267,2.04941988764173,0.557936769822028,0.933546347997674,3.16529342728579,1.05773573822456,0.108429402256473,0.840876933711614,1.27459454273751,0.312121526569223,0.024799690270602,0.262522146028019,0.361720907110427,0.935004090195137,0.0976530716792811,0.739697946836575,1.1303102335537
"balanced","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,"2-2-2",100,500,25,0.316553954195819,0.0512186216355174,0.214116710924785,0.418991197466854,0.837512385204913,0.155431922320269,0.526648540564375,1.14837622984545,2.10064291477146,0.734226511399302,0.632189891972855,3.56909593757006,1.09047685095036,0.155189430653421,0.780097989643516,1.4008557122572,0.299487361831074,0.0468582726088243,0.205770816613425,0.393203907048723,0.890944297131202,0.15393890924284,0.583066478645523,1.19882211561688
"balanced","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",500,250,25,0.114918642497372,0.0160258511640012,0.08286694016937,0.146970344825375,0.0944801744295249,0.00605455080065135,0.0823710728282223,0.106589276030828,0.054541587370399,0.0192880050198077,0.0159655773307836,0.0931175974100143,0.0545224122350724,0.0142289656061186,0.0260644810228353,0.0829803434473096,0.0109506138549798,0.00473338035314254,0.00148385314869471,0.0204173745612649,0.166827692603328,0.00421324068813188,0.158401211227065,0.175254173979592
"balanced","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",500,500,25,0.106076341399739,0.0105649489846772,0.0849464434303851,0.127206239369094,0.0883505795177499,0.00353291357807601,0.0812847523615978,0.0954164066739019,0.0451587862797885,0.0152279536712805,0.0147028789372275,0.0756146936223495,0.0318861359418545,0.010447019158174,0.0109920976255065,0.0527801742582025,0.00996354783421056,0.00380732499846932,0.00234889783727193,0.0175781978311492,0.125707992644182,0.00380171007133035,0.118104572501521,0.133311412786842
"balanced","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",500,1000,25,0.104913953274471,0.00875279114141815,0.0874083709916347,0.122419535557307,0.087491222405388,0.00270330329570948,0.0820846158139691,0.092897828996807,0.0405512867404944,0.0147178156032649,0.0111156555339646,0.0699869179470242,0.0266499686080747,0.00867932033144619,0.00929132794518232,0.0440086092709671,0.00917391083889805,0.00350915541061835,0.00215560001766134,0.0161922216601348,0.0949757064933494,0.00409941142920562,0.0867768836349382,0.103174529351761
"balanced","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,"2-2-2",500,2000,25,0.104578600873365,0.0105795144468315,0.0834195719797023,0.125737629767028,0.086468074036857,0.00269749145164528,0.0810730911335665,0.0918630569401476,0.0436523592572276,0.0173051946289643,0.00904196999929901,0.0782627485151562,0.0227353220754781,0.00905614248757821,0.00462303710032167,0.0408476070506345,0.0101203970153601,0.00425247560160247,0.00161544581215518,0.0186253482185651,0.0730530697855639,0.00636508170843188,0.0603229063687001,0.0857832332024277
"balanced","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,"2-2-2",500,250,25,0.107417685255167,0.0117774303036453,0.083862824647877,0.130972545862458,0.157358951671893,0.0639186552030515,0.0295216412657902,0.285196262077996,0.54509887983956,0.0881209585883586,0.368856962662843,0.721340797016277,0.485766698291046,0.112213936824427,0.261338824642191,0.7101945719399,0.0894728251823539,0.0221212558515828,0.0452303134791882,0.13371533688552,0.256896891074308,0.0951950441586568,0.0665068027569941,0.447286979391621
"balanced","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,"2-2-2",500,500,25,0.105155916633894,0.0110123035313886,0.0831313095711172,0.127180523696672,0.131893852002105,0.0460235603603514,0.0398467312814019,0.223940972722807,0.514881877984592,0.102104612534883,0.310672652914826,0.719091103054358,0.476186026059993,0.094363659889279,0.287458706281435,0.664913345838551,0.0869691669587796,0.0207349272571643,0.045499312444451,0.128439021473108,0.192900317241806,0.0754221094543508,0.0420560983331042,0.343744536150507
