"scenario","rep","np_regime","n","p","H_true","G_true","G_config","K_joint","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","intercept_sd","intercept_block_span","intercept_clip","loading_design","block_size_mode","mixture_update","mu_prior_mean","mu_prior_kappa","var_prior_shape","var_prior_scale","weight_prior_alpha","parallel_enabled","parallel_workers","method","mean_factor_abs_cor","min_factor_abs_cor","factor_score_rmse","factor_score_raw_rmse","lambda_corr","lambda_rmse","alpha_corr","alpha_rmse","alpha_raw_corr","alpha_raw_rmse","probability_rmse","joint_profile_ari","seconds","pretraining_converged","pretraining_completed_iter","selected_pretraining_iteration","pretraining_return_best_iteration","refinement_converged","refinement_completed_iter","selected_refinement_iteration","refinement_return_best_iteration","refinement_stopping_objective","joint_mu_rmse","joint_var_rmse","joint_mu_corr","joint_var_corr","joint_weight_corr","joint_weight_rmse","joint_weight_l1","joint_weight_max_abs_error","est_effective_classes_001","est_effective_classes_01","flat_parameter_corr","flat_parameter_blocks","all_parameter_corr","all_parameter_corr_raw","all_parameter_blocks","occupied_classes","posterior_kept_draws","mfa_seconds_per_iter","mfa_converged","mfa_completed_iter","mfa_final_lambda_rel_range","mfa_final_intercept_rel_range","mfa_final_occupied_range"
"rep1_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",1,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.978745049726373,0.975329983377613,0.205145805567116,0.216024792871074,0.921670906982375,0.230284789127044,0.950527471519417,0.291566319316839,NA,NA,0.0935037993470325,0.777074879933459,5.785,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0314778532911809,0.106570662624942,0.999797204284899,0.79049669117405,NA,0.00363429420467792,0.0219827282151076,0.00556400089151726,8,8,0.938986576486254,"alpha+loading+joint_mu+joint_var+joint_weight",0.923624928355939,0.934080476689168,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",1,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced",NA,NA,NA,NA,NA,NA,FALSE,18,"joint_mixture_factor_gibbs",0.502296057668243,0.381641797209609,0.992700259804982,0.974579565964362,0.666503804332482,0.917056923714866,0.969574034734416,0.316123092769955,0.96957309413423,0.315518868217283,0.0976490420209069,0.003545356370128,12.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19593529407247,0.951875751378394,0.424059540830003,0.433331027745654,NA,0.319641454297554,1.69129362841408,0.845646814207041,8,1,0.733958962944418,"alpha+loading+joint_mu+joint_var+joint_weight",0.687525057548012,0.662384635486324,"alpha+loading+joint_mu+joint_log_var",2,1000,0.0060625,FALSE,2000,1.03954237200535,0.852855628219594,1
"rep2_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",2,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.975747164692689,0.964976752631068,0.219136062546713,0.227096690442686,0.895609243877648,0.27498565409395,0.929507114466589,0.3383845164586,NA,NA,0.0939974016509089,0.763989736310531,3.237,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0850171687878203,0.0544103129771996,0.998071366736717,0.963050456312943,NA,0.019319154379059,0.120516214374902,0.0312989181208947,8,8,0.915799383234613,"alpha+loading+joint_mu+joint_var+joint_weight",0.902613555027138,0.922542459813077,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep2_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",2,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced",NA,NA,NA,NA,NA,NA,FALSE,18,"joint_mixture_factor_gibbs",0.525997557785002,0.429081474101875,0.968774914820618,1.00251160816333,0.819784320597712,0.806909362064893,0.958744655308439,0.271550262756962,0.958739377169453,0.271658516749293,0.0973683780940114,0.0014194464158978,11.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83334479998037,1.1737322549226,0.424445042170471,0.367127659354018,NA,0.324027429602994,1.71456863371873,0.857284316859364,8,1,0.794880044932632,"alpha+loading+joint_mu+joint_var+joint_weight",0.799259046089783,0.70253904200474,"alpha+loading+joint_mu+joint_log_var",2,1000,0.0059325,FALSE,2000,1.92156813716619,1.19025784301625,1
"rep3_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",3,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.980537588060893,0.976999412761756,0.196304802894456,0.223944668731126,0.877074972581382,0.312487568480196,0.915626642051105,0.452452855178102,NA,NA,0.090175174647918,0.777964140399568,3.433,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0966700781121724,0.0747683589676373,0.99441737229625,0.868113780113619,NA,0.0226099913481151,0.13766188348677,0.0371567131435676,8,8,0.900945395915793,"alpha+loading+joint_mu+joint_var+joint_weight",0.885306334701708,0.904812111447484,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep3_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",3,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced",NA,NA,NA,NA,NA,NA,FALSE,18,"joint_mixture_factor_gibbs",0.61610135462441,0.533596406166046,0.871848219499053,0.879665937670922,0.846419597933527,0.833516451449905,0.962888094555602,0.386204050469227,0.962946428941378,0.385137116355611,0.0905367646463734,-0.000918258607133107,11.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42301296984411,0.954816986143002,0.415705046540912,0.336461260093065,NA,0.31996832345086,1.6929384757152,0.846469237857602,8,2,0.836636664365026,"alpha+loading+joint_mu+joint_var+joint_weight",0.830829762491935,0.74869300169907,"alpha+loading+joint_mu+joint_log_var",2,1000,0.0058815,FALSE,2000,1.70443503556152,0.973129707962082,1
"rep4_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",4,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.984987455996408,0.98363332557852,0.172408924151603,0.216235332333268,0.92718181219716,0.224478310415453,0.950514378086275,0.268169285051534,NA,NA,0.0929752425408428,0.765231104986898,3.503,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.155991517292901,0.0853543669576655,0.988079164783291,0.817297108440142,NA,0.0355639073062041,0.247449771021576,0.0574230773373932,8,8,0.942350166134115,"alpha+loading+joint_mu+joint_var+joint_weight",0.92950225307084,0.942142882100712,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep4_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",4,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced",NA,NA,NA,NA,NA,NA,FALSE,18,"joint_mixture_factor_gibbs",0.454695897485824,0.250324445605299,1.03908715850888,1.07170892074287,0.700035491838073,0.950197511831187,0.966396830090857,0.259991522259138,0.966296492302237,0.261296497872514,0.0981678616926103,0.003250833971215,11.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78571422645515,1.1680947498145,0.409530778350916,0.507148776990191,NA,0.323617353880304,1.71234140059177,0.856170700295884,8,2,0.685118659159886,"alpha+loading+joint_mu+joint_var+joint_weight",0.694241338130101,0.600372333811167,"alpha+loading+joint_mu+joint_log_var",2,1000,0.005986,FALSE,2000,1.34037949037605,0.86421339106693,2
"rep5_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",5,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.980966250201535,0.975317637935536,0.194130947045956,0.230997577638243,0.801576216569646,0.408804524057218,0.83104310159725,0.691298993849447,NA,NA,0.0980661525082042,0.668845978409609,3.486,FALSE,10,9,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.108553970429042,0.0896599014074391,0.993637229998099,0.884594875448145,NA,0.0248019222741874,0.186022774407682,0.0370007025875946,8,8,0.82215001376224,"alpha+loading+joint_mu+joint_var+joint_weight",0.806931395094466,0.831653882389245,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep5_balanced_moderate_few_positive_cross_n100_p250_H3_G2-2-2_sep1",5,"n100p250",100,250,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced",NA,NA,NA,NA,NA,NA,FALSE,18,"joint_mixture_factor_gibbs",0.495134126247776,0.37759037283408,0.999817198306472,0.990474932650871,0.505239884323596,1.02833260908374,0.947575703751498,0.393702563040339,0.947692403023358,0.393098956503386,0.0987082039956215,0.00112578611136989,12.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59002205352013,0.950745523381947,0.403172303654555,0.387181258336199,NA,0.31992363090778,1.69265335730993,0.846326678654963,8,2,0.617284657029583,"alpha+loading+joint_mu+joint_var+joint_weight",0.547593538176111,0.564126712716205,"alpha+loading+joint_mu+joint_log_var",2,1000,0.006034,FALSE,2000,1.93214660983839,0.777322225773573,1
