"loading_design","method","H_true","G_true","n","p","n_reps","mean","sd","lower","upper"
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,100,500,25,0.927426089058143,0.0180406447677556,0.891344799522632,0.963507378593655
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,100,500,25,0.74398625550383,0.0742312664712651,0.5955237225613,0.89244878844636
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,500,500,25,0.988646696343377,0.0014024492796708,0.985841797784035,0.991451594902718
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,500,500,25,0.952257361248989,0.0439562599355076,0.864344841377974,1.04016988112
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,1000,500,18,0.994660306863871,0.000448560302298356,0.993763186259274,0.995557427468468
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,1000,500,18,0.981665785863655,0.00920405498034064,0.963257675902974,1.00007389582434
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,100,500,25,0.928177288940435,0.0127374311739426,0.90270242659255,0.95365215128832
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,100,500,25,0.746140089454722,0.0912639658141548,0.563612157826412,0.928668021083031
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,500,500,25,0.984171757031386,0.00167424652528929,0.980823263980807,0.987520250081964
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,500,500,25,0.763827854320609,0.0922910099370573,0.579245834446495,0.948409874194724
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,100,500,25,0.91560964135671,0.0172774434964133,0.881054754363884,0.950164528349537
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,100,500,25,0.65983857603161,0.0573012441581283,0.545236087715353,0.774441064347866
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,500,500,25,0.98803451718052,0.000966894686357941,0.986100727807804,0.989968306553236
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,500,500,25,0.86259809398178,0.0881630480201821,0.686271997941415,1.03892419002214
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,100,500,25,0.899021519774603,0.0348427445543583,0.829336030665886,0.96870700888332
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,100,500,25,0.626893594127968,0.0577542025673262,0.511385188993315,0.74240199926262
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,500,500,25,0.972423329330405,0.00424595982480156,0.963931409680802,0.980915248980008
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,500,500,25,0.614461606074471,0.0839187415099416,0.446624123054588,0.782299089094355
