"loading_design","method","H_true","G_true","n","p","n_reps","mean","sd","lower","upper"
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,100,500,25,0.919144171624799,0.0551975497566442,0.808749072111511,1.02953927113809
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,100,500,25,0.283114092184696,0.177543228660721,-0.0719723651367461,0.638200549506137
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,500,500,25,0.978336339930489,0.0218275617632327,0.934681216404024,1.02199146345695
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,500,500,25,0.14065189811621,0.110736130858061,-0.0808203635999123,0.362124159832331
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,1000,500,18,0.979882219529321,0.0136617608467879,0.952558697835745,1.0072057412229
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,1000,500,18,0.144517580194144,0.0985699919623943,-0.0526224037306443,0.341657564118933
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,100,500,25,0.723393175512603,0.160723617942017,0.40194593962857,1.04484041139664
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,100,500,25,0.247848093938322,0.0469146251286688,0.154018843680985,0.34167734419566
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,500,500,25,0.681882051048944,0.0759809982314493,0.529920054586045,0.833844047511842
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,500,500,25,0.187937790140136,0.0937339227031292,0.000469944733877237,0.375405635546394
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,100,500,25,0.892192467490248,0.0655270090529343,0.76113844938438,1.02324648559612
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,100,500,25,0.235804178789191,0.0767330670010016,0.0823380447871883,0.389270312791195
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,500,500,25,0.97137924955786,0.0212671255830699,0.92884499839172,1.013913500724
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,500,500,25,0.0971881518074039,0.0700377414377887,-0.0428873310681735,0.237263634682981
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,100,500,25,0.609313113705782,0.192429217806779,0.224454678092225,0.99417154931934
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,100,500,25,0.133892020567687,0.0325797866776678,0.0687324472123516,0.199051593923023
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,500,500,25,0.686816692947635,0.0815731986576792,0.523670295632276,0.849963090262993
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,500,500,25,0.0978000317147033,0.0542698914637455,-0.0107397512127877,0.206339814642194
