"loading_design","method","H_true","G_true","n","p","n_reps","mean","sd","lower","upper"
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,100,500,25,0.906662174113295,0.0191341712861536,0.868393831540988,0.944930516685602
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,100,500,25,0.698520247710891,0.103881665125922,0.490756917459047,0.906283577962735
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,500,500,25,0.984228310587595,0.00168178737437057,0.980864735838854,0.987591885336336
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,500,500,25,0.943111805299911,0.0623528563656242,0.818406092568663,1.06781751803116
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,1000,500,18,0.992464005573141,0.000617861487908879,0.991228282597324,0.993699728548959
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,1000,500,18,0.982846098179605,0.0180114716978091,0.946823154783987,1.01886904157522
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,100,500,25,0.908107152357976,0.0158256714576534,0.876455809442669,0.939758495273283
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,100,500,25,0.745340358268653,0.145161506665062,0.45501734493853,1.03566337159878
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,500,500,25,0.983922320225084,0.00133883729094326,0.981244645643198,0.986599994806971
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,500,500,25,0.80725567111272,0.11039410261595,0.58646746588082,1.02804387634462
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,100,500,25,0.894022997945152,0.0156198646330068,0.862783268679138,0.925262727211165
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,100,500,25,0.648817228944656,0.0791941667957467,0.490428895353163,0.807205562536149
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,500,500,25,0.983534072881359,0.000990432156453201,0.981553208568452,0.985514937194265
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,500,500,25,0.878920274442941,0.0798110984239068,0.719298077595127,1.03854247129075
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,100,500,25,0.880986795235412,0.0419216395807449,0.797143516073922,0.964830074396902
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,100,500,25,0.683712303091862,0.0930058099790224,0.497700683133818,0.869723923049907
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,500,500,25,0.982025747494642,0.00112820575786849,0.979769335978905,0.984282159010379
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,500,500,25,0.718929865683884,0.116436746907569,0.486056371868745,0.951803359499022
