"loading_design","method","H_true","G_true","n","p","n_reps","mean","sd","lower","upper"
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,100,500,25,12.55792,0.625568402867875,11.3067831942642,13.8090568057358
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,100,500,25,15.94612,0.0960821350026486,15.7539557299947,16.1382842700053
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,500,500,25,42.6824800000001,1.32555051833824,40.0313789633236,45.3335810366765
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,500,500,25,64.62152,0.666983765419539,63.287552469161,65.9554875308391
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,1000,500,18,52.8816111111108,2.29258387848068,48.2964433541495,57.4667788680722
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,1000,500,18,84.7125555555552,1.90860547250476,80.8953446105457,88.5297665005647
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,100,500,25,10.57452,0.4005840652514,9.77335186949721,11.3756881305028
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,100,500,25,17.93184,0.203009786299416,17.5258204274012,18.3378595725988
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,500,500,25,80.8446799999999,177.267242814514,-273.689805629029,435.379165629028
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,500,500,25,142.45316,268.594309107105,-394.73545821421,679.64177821421
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,100,500,25,14.30896,0.617701888724124,13.0735562225517,15.5443637774482
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,100,500,25,17.36872,0.13617620937596,17.0963675812481,17.6410724187519
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,500,500,25,51.25904,1.94018735091918,47.3786652981616,55.1394147018383
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,500,500,25,67.7369200000001,0.756780126588944,66.2233597468222,69.250480253178
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,100,500,25,12.77488,0.343103278911797,12.0886734421764,13.4610865578236
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,100,500,25,24.42764,0.141684473390739,24.1442710532185,24.7110089467815
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,500,500,25,113.30572,252.929114458893,-392.552508917787,619.163948917787
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,500,500,25,135.05772,268.114913939515,-401.172107879029,671.287547879029
