"item","block","loading_design","H","F1","F2","F3"
1,1,"Loadings = ""Cross""",3,1.00998789048754,0,0
2,1,"Loadings = ""Cross""",3,0.811750390101224,0,0
3,1,"Loadings = ""Cross""",3,1.08897438901477,-0.578713670559227,0
4,1,"Loadings = ""Cross""",3,1.09681695490144,0,0
5,1,"Loadings = ""Cross""",3,0.98042388597969,0,0.398797077964991
6,1,"Loadings = ""Cross""",3,1.23397098190617,0,0
7,1,"Loadings = ""Cross""",3,0.76136508770287,0.396181565895677,0
8,1,"Loadings = ""Cross""",3,0.899190440308303,0,0
9,1,"Loadings = ""Cross""",3,0.812358033144847,0.311273604445159,0
10,1,"Loadings = ""Cross""",3,1.18147859955207,0,0
11,1,"Loadings = ""Cross""",3,1.22853973158635,0,0
12,1,"Loadings = ""Cross""",3,0.876516507123597,0,0
13,1,"Loadings = ""Cross""",3,0.989895578240976,0,0.425892809964716
14,1,"Loadings = ""Cross""",3,0.819320457521826,0,0
15,1,"Loadings = ""Cross""",3,1.11970605608076,0,0.529970355983823
16,1,"Loadings = ""Cross""",3,0.857952148653567,0,0
17,1,"Loadings = ""Cross""",3,0.922849199385382,0,0
18,1,"Loadings = ""Cross""",3,1.18761104554869,0,0
19,1,"Loadings = ""Cross""",3,1.19332402548753,0,0
20,1,"Loadings = ""Cross""",3,0.867239452549256,-0.453802253492177,0
21,1,"Loadings = ""Cross""",3,1.00231345905922,0,0
22,1,"Loadings = ""Cross""",3,0.892981218639761,0,-0.205298228096217
23,1,"Loadings = ""Cross""",3,0.883699287311174,-0.203888660855591,0
24,1,"Loadings = ""Cross""",3,0.818897076882422,0,-0.467255362123251
25,1,"Loadings = ""Cross""",3,0.962689992738888,0,0.252987905777991
26,1,"Loadings = ""Cross""",3,0.840443159337156,0,0
27,1,"Loadings = ""Cross""",3,0.872785109910183,0,0
28,1,"Loadings = ""Cross""",3,1.04977435723413,0,0
29,1,"Loadings = ""Cross""",3,1.17313497385476,0.590084521193057,0.283381171617657
30,1,"Loadings = ""Cross""",3,1.1249839324737,0.437587236706167,-0.480467381700873
31,1,"Loadings = ""Cross""",3,0.971526458510198,0,0
32,1,"Loadings = ""Cross""",3,1.03373845678288,0,-0.345605078712106
33,1,"Loadings = ""Cross""",3,1.03414741542656,0.413925748597831,0
34,1,"Loadings = ""Cross""",3,0.775637801154517,-0.598528476990759,0
35,1,"Loadings = ""Cross""",3,0.874099991400726,-0.311389394290745,0
36,1,"Loadings = ""Cross""",3,1.24221550207585,0.288119252957404,0
37,1,"Loadings = ""Cross""",3,0.971237933728844,0,0
38,1,"Loadings = ""Cross""",3,1.20668370753992,-0.53824634840712,-0.558547368366271
39,1,"Loadings = ""Cross""",3,1.14617184351664,0,0
40,1,"Loadings = ""Cross""",3,1.23946715099737,0,0
41,1,"Loadings = ""Cross""",3,0.86592753964942,0.572940609697252,0
42,1,"Loadings = ""Cross""",3,1.02328129683156,0,0
43,1,"Loadings = ""Cross""",3,0.838876406545751,0,0
44,1,"Loadings = ""Cross""",3,0.899680786998942,-0.214125948492438,0
45,1,"Loadings = ""Cross""",3,0.887889817473479,0,0
46,1,"Loadings = ""Cross""",3,0.86674822634086,0,0
47,1,"Loadings = ""Cross""",3,0.959178448771127,0,0
48,1,"Loadings = ""Cross""",3,1.00664619507734,0,0
49,1,"Loadings = ""Cross""",3,1.16244651621673,-0.266843355912715,0
50,1,"Loadings = ""Cross""",3,1.12022256990895,0,0
51,1,"Loadings = ""Cross""",3,0.834574935608543,-0.435563399177045,0
52,1,"Loadings = ""Cross""",3,1.06526966940146,0,-0.234309643134475
53,1,"Loadings = ""Cross""",3,0.953716717194766,0.470988910831511,0
54,1,"Loadings = ""Cross""",3,1.07217502465937,-0.496868040412664,-0.243712272401899
55,1,"Loadings = ""Cross""",3,1.18292637181003,0,0.324182085786015
56,1,"Loadings = ""Cross""",3,0.954329775413498,0,0
57,1,"Loadings = ""Cross""",3,0.94282494566869,0,0
58,1,"Loadings = ""Cross""",3,1.21760578325484,0.548293102439493,0
