"item","block","loading_design","H","F1","F2","F3","F4"
1,1,"Loadings = ""Sparse""",4,0.824538151500747,0,0,0
2,1,"Loadings = ""Sparse""",4,1.15688445046544,0,0,0
3,1,"Loadings = ""Sparse""",4,0.966895365621895,0,0,0
4,1,"Loadings = ""Sparse""",4,0.916225560824387,0,0,0
5,1,"Loadings = ""Sparse""",4,1.16881420731079,0,0,0
6,1,"Loadings = ""Sparse""",4,1.03526800847612,0,0,0
7,1,"Loadings = ""Sparse""",4,0.839987878571264,0,0,0
8,1,"Loadings = ""Sparse""",4,1.01315634779166,0,0,0
9,1,"Loadings = ""Sparse""",4,0.794911558856256,0,0,0
10,1,"Loadings = ""Sparse""",4,1.08408193825744,0,0,0
11,1,"Loadings = ""Sparse""",4,0.75904752407223,0,0,0
12,1,"Loadings = ""Sparse""",4,1.22402531246189,0,0,0
13,1,"Loadings = ""Sparse""",4,1.15645014622714,0,0,0
14,1,"Loadings = ""Sparse""",4,0.892013627919368,0,0,0
15,1,"Loadings = ""Sparse""",4,1.04654548352119,0,0,0
16,1,"Loadings = ""Sparse""",4,0.948295640526339,0,0,0
17,1,"Loadings = ""Sparse""",4,1.14796058228239,0,0,0
18,1,"Loadings = ""Sparse""",4,0.874271822161973,0,0.158388691097498,0
19,1,"Loadings = ""Sparse""",4,0.776747426600195,0,0,0
20,1,"Loadings = ""Sparse""",4,1.13333915302064,0,0,0
21,1,"Loadings = ""Sparse""",4,1.15519670664798,0,0,0
22,1,"Loadings = ""Sparse""",4,1.22720026865136,0,0,0
23,1,"Loadings = ""Sparse""",4,1.18561035138555,0,0,0
24,1,"Loadings = ""Sparse""",4,0.963343888986856,0,0,0
25,1,"Loadings = ""Sparse""",4,1.11589265789371,0,0,0
26,1,"Loadings = ""Sparse""",4,1.16135724727064,0,0,0
27,1,"Loadings = ""Sparse""",4,1.17876593605615,0,0,0
28,1,"Loadings = ""Sparse""",4,1.07460287050344,0,0,0
29,1,"Loadings = ""Sparse""",4,0.985138938529417,0,0,0
30,1,"Loadings = ""Sparse""",4,1.15570995188318,0,0,0
31,1,"Loadings = ""Sparse""",4,1.15107151784468,0,0,0
32,1,"Loadings = ""Sparse""",4,1.05464213970117,0,0,0
33,1,"Loadings = ""Sparse""",4,0.892930880305357,0,0,0
34,1,"Loadings = ""Sparse""",4,0.821808079374023,0,0,0
35,1,"Loadings = ""Sparse""",4,0.832242503296584,0,0,0
36,1,"Loadings = ""Sparse""",4,1.03871013701428,0,0,0
37,1,"Loadings = ""Sparse""",4,1.0697954489151,0,0,0
38,1,"Loadings = ""Sparse""",4,0.963484608219005,0,0,0
39,1,"Loadings = ""Sparse""",4,0.926395935704932,0,0,0
40,1,"Loadings = ""Sparse""",4,0.835019592312165,0,0,0
41,1,"Loadings = ""Sparse""",4,0.778719277470373,0,0,0
42,1,"Loadings = ""Sparse""",4,0.877471463289112,0,0,0
43,1,"Loadings = ""Sparse""",4,0.863521666149609,0,0,0
44,1,"Loadings = ""Sparse""",4,1.02793539594859,0,0,0
45,1,"Loadings = ""Sparse""",4,0.86332341702655,0,0,0
46,1,"Loadings = ""Sparse""",4,0.91429660608992,0,0,0
47,1,"Loadings = ""Sparse""",4,1.23100887984037,0,0,0
48,1,"Loadings = ""Sparse""",4,1.17513871646952,0,0,0
49,1,"Loadings = ""Sparse""",4,1.2475445800228,0,0.274210733175278,0
50,1,"Loadings = ""Sparse""",4,0.837811100296676,0,0,0
51,1,"Loadings = ""Sparse""",4,0.820503877010196,0,0,0
52,1,"Loadings = ""Sparse""",4,1.06647252314724,0,0,0
53,1,"Loadings = ""Sparse""",4,1.06167379242834,0,0,0
54,1,"Loadings = ""Sparse""",4,0.922915474628098,0,0,0
55,1,"Loadings = ""Sparse""",4,1.2177400838118,0,0,0
56,1,"Loadings = ""Sparse""",4,1.15472525334917,0,0,0.259251033961773
57,1,"Loadings = ""Sparse""",4,1.15928083541803,0,0,0
58,1,"Loadings = ""Sparse""",4,0.843795394524932,0,0,0
59,1,"Loadings = ""Sparse""",4,0.759593826252967,0,0,0
60,1,"Loadings = ""Sparse""",4,1.20996079815086,0,0,0
61,1,"Loadings = ""Sparse""",4,0.803222805727273,0,0,0
62,1,"Loadings = ""Sparse""",4,0.787908857571892,0,0,0.179886236079037
63,1,"Loadings = ""Sparse""",4,0.775689758709632,0,0,0
64,1,"Loadings = ""Sparse""",4,1.01872530265246,0,0,0
65,1,"Loadings = ""Sparse""",4,1.01627909392118,0,0,0
66,1,"Loadings = ""Sparse""",4,1.17723372601904,0,0,0
67,1,"Loadings = ""Sparse""",4,1.02444121299777,0,0,0.163995348699391
68,1,"Loadings = ""Sparse""",4,1.14303250506055,0,0,0
69,1,"Loadings = ""Sparse""",4,0.94946830382105,0,0,0
70,1,"Loadings = ""Sparse""",4,0.959756948053837,0,0,0
71,1,"Loadings = ""Sparse""",4,0.98791491438169,0,0,0
72,1,"Loadings = ""Sparse""",4,1.00818312447518,0,0,0
73,1,"Loadings = ""Sparse""",4,1.02857127110474,0,0,0
74,1,"Loadings = ""Sparse""",4,0.824641412240453,0,0,0
75,1,"Loadings = ""Sparse""",4,1.10898306209128,0,0,0
76,1,"Loadings = ""Sparse""",4,0.802613347652368,0,0,0
77,1,"Loadings = ""Sparse""",4,0.892308926908299,0,0,0
78,1,"Loadings = ""Sparse""",4,0.932829759316519,0.237729595415294,0,0
79,1,"Loadings = ""Sparse""",4,0.864172919536941,0,0,0
80,1,"Loadings = ""Sparse""",4,0.986045179888606,0,0,0
81,1,"Loadings = ""Sparse""",4,0.963414971251041,0,0,0
82,1,"Loadings = ""Sparse""",4,1.01213272626046,0,0,0
83,1,"Loadings = ""Sparse""",4,0.761766076087952,0,0,0
84,1,"Loadings = ""Sparse""",4,1.2405790038174,0,0,0
85,1,"Loadings = ""Sparse""",4,0.839426896069199,0,0,0
86,1,"Loadings = ""Sparse""",4,1.08515331661329,0,0,0
87,1,"Loadings = ""Sparse""",4,1.23110239824746,0,0,0
88,1,"Loadings = ""Sparse""",4,1.22279180400074,0,0,0
89,1,"Loadings = ""Sparse""",4,0.964569356874563,0,0,0
90,1,"Loadings = ""Sparse""",4,1.1535623956006,0,0,0
91,1,"Loadings = ""Sparse""",4,0.993389317533001,0,0,0
92,1,"Loadings = ""Sparse""",4,0.985915112309158,0,0,0
93,1,"Loadings = ""Sparse""",4,1.00289488479029,0.161427849531174,0,0
94,1,"Loadings = ""Sparse""",4,1.21203798730858,0,0,0
95,1,"Loadings = ""Sparse""",4,0.760844083735719,0,0,0
96,1,"Loadings = ""Sparse""",4,1.03648333449382,0,0,0
97,1,"Loadings = ""Sparse""",4,0.774145236122422,0,0,0
98,1,"Loadings = ""Sparse""",4,1.08965520514175,0,0,0
99,1,"Loadings = ""Sparse""",4,0.823317391332239,0,0,0
100,1,"Loadings = ""Sparse""",4,1.11908545566257,0,0,0
101,1,"Loadings = ""Sparse""",4,1.1675373549806,0,0,0
102,1,"Loadings = ""Sparse""",4,0.832589175086468,0,0,0
103,1,"Loadings = ""Sparse""",4,1.04191020026337,0,0,0
104,1,"Loadings = ""Sparse""",4,1.23228208452929,0,0,0
105,1,"Loadings = ""Sparse""",4,0.884521420113742,0,0,0
106,1,"Loadings = ""Sparse""",4,1.0896692420356,0,0,0
107,1,"Loadings = ""Sparse""",4,1.15882895106915,0,0,0
108,1,"Loadings = ""Sparse""",4,1.24311255931389,0,0,0
109,1,"Loadings = ""Sparse""",4,1.07095378544182,0,0,0
110,1,"Loadings = ""Sparse""",4,1.14034791325685,0,0,0
111,1,"Loadings = ""Sparse""",4,0.877128217602149,0,0,0
112,1,"Loadings = ""Sparse""",4,1.17228469240945,0,0,0
113,1,"Loadings = ""Sparse""",4,1.20528357918374,0,0,0
114,1,"Loadings = ""Sparse""",4,0.990074933855794,0,0,0
115,1,"Loadings = ""Sparse""",4,0.868028386961669,0,0,0
116,1,"Loadings = ""Sparse""",4,1.20042468048632,0,0.170550964996219,0
117,1,"Loadings = ""Sparse""",4,0.873020622762851,0,0,0
118,1,"Loadings = ""Sparse""",4,0.871628198656254,0,0,0
119,1,"Loadings = ""Sparse""",4,0.804814891540445,0,0,0
120,1,"Loadings = ""Sparse""",4,0.846483126864769,0,0,0
121,1,"Loadings = ""Sparse""",4,0.980968323652633,0,0,0
122,1,"Loadings = ""Sparse""",4,1.12616697326303,0,0,0
123,1,"Loadings = ""Sparse""",4,1.07621426647529,0,0,0
124,1,"Loadings = ""Sparse""",4,1.06722518405877,0,0,0
125,1,"Loadings = ""Sparse""",4,0.865067824837752,0,0,0
126,2,"Loadings = ""Sparse""",4,0,0.794736166368239,0,0
127,2,"Loadings = ""Sparse""",4,0,1.0856523772236,0,0
128,2,"Loadings = ""Sparse""",4,0,0.962143381824717,0,0
129,2,"Loadings = ""Sparse""",4,0,1.23692459310405,0,0
130,2,"Loadings = ""Sparse""",4,0,0.782838404760696,0,0
131,2,"Loadings = ""Sparse""",4,0,1.0451603444526,0,0.216145113110542
132,2,"Loadings = ""Sparse""",4,0,1.09914059122093,0.131567412801087,0
133,2,"Loadings = ""Sparse""",4,0,0.811732235481031,0,0
134,2,"Loadings = ""Sparse""",4,0,1.10658031213097,0,0
135,2,"Loadings = ""Sparse""",4,0,0.77977075020317,0,0
136,2,"Loadings = ""Sparse""",4,0,1.05656473583076,0,0
137,2,"Loadings = ""Sparse""",4,0,1.21020054176915,0.197503409609199,0
138,2,"Loadings = ""Sparse""",4,0,1.0538881624816,0,0
139,2,"Loadings = ""Sparse""",4,0,1.10606613510754,0,0.186162179261446
140,2,"Loadings = ""Sparse""",4,0,1.15794649487361,0,0
141,2,"Loadings = ""Sparse""",4,0,1.24660039250739,0,0
142,2,"Loadings = ""Sparse""",4,0,0.970658732927404,0,0
143,2,"Loadings = ""Sparse""",4,0,0.903993652551435,0,0.219628347046673
144,2,"Loadings = ""Sparse""",4,0,0.87330518849194,0,0
145,2,"Loadings = ""Sparse""",4,0,1.19945776916575,0,0
146,2,"Loadings = ""Sparse""",4,0,1.1703469986096,0,0
147,2,"Loadings = ""Sparse""",4,0,0.88841156323906,0,0
148,2,"Loadings = ""Sparse""",4,0,1.13847523496952,0,0
149,2,"Loadings = ""Sparse""",4,0,1.1641831304878,0,0
150,2,"Loadings = ""Sparse""",4,0,1.13235814787913,0,0
151,2,"Loadings = ""Sparse""",4,0,1.09565384150483,0,0
152,2,"Loadings = ""Sparse""",4,0,1.0875105994055,0,0
153,2,"Loadings = ""Sparse""",4,0,0.762313712388277,0.224100753553212,0
154,2,"Loadings = ""Sparse""",4,0,0.996032771770842,0,0
155,2,"Loadings = ""Sparse""",4,0,1.12631706125103,0,0
