"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"Product MAP",5,"2-2-2-2-2",100,500,0.117533029242706,0.0840898054146546,0.212695855011617,0.325727522818916,0.124711010761266,0.00982086785571343,0.0513841132999287,7.63716
"Gibbs",5,"2-2-2-2-2",100,500,0.121587709070899,0.0816851848871914,0.207258151547178,0.296616023936013,0.122845637154256,0.0988947321729881,0.0502927970189009,103.37796
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.131034779491655,0.11226092626615,0.213029111115207,0.360967058118798,0.113142377278641,0.00720696247496916,0.0472668893867161,9.8756
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.144303367464374,0.108058282995235,0.203383507471615,0.314633106150799,0.116941828362336,0.111519846188617,0.0463298401017853,139.99012
"Product MAP",5,"2-2-2-2-2",100,1000,0.107351256218932,0.0834782934219486,0.210948407636751,0.316447485717682,0.112743332236828,0.0122226213445295,0.0457392474940244,9.51972
"Gibbs",5,"2-2-2-2-2",100,1000,0.0978095685553393,0.0800974636457266,0.20625680050686,0.294008537818673,0.109282046755694,0.090746628772018,0.0442397526043482,162.0896
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.119763830354711,0.11334383135577,0.2031752439744,0.333065025032577,0.106213417946467,0.0089900826649606,0.0449084093419851,12.62032
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.119692079278834,0.107019067295757,0.196179688957645,0.304589849111902,0.11333579516039,0.0995767141482005,0.0444471157929282,231.99976
"Product MAP",5,"2-2-2-2-2",100,1500,0.1023947828394,0.0833331154534675,0.211185945436931,0.317252717366056,0.108405528158201,0.0116769460342509,0.0471369997785921,14.36056
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,1500,0.117998427145174,0.113590114951822,0.200080180960321,0.330201727235653,0.106416390601855,0.011209425625222,0.0449595068422927,16.00892
"Product MAP",5,"2-2-2-2-2",100,2000,0.100751428621188,0.0832551438103417,0.209419081577237,0.30137860663053,0.109808962172762,0.0123248756953387,0.0470822402862629,17.429
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,2000,0.11530631363672,0.113759488403143,0.199392929157413,0.320130311264879,0.100460667854656,0.012445371409708,0.0425660558114615,19.18108
