"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"Product MAP",5,"3-3-3-3-3",100,500,0.168001991995331,0.0923329132654288,0.207267342296951,0.315672261730801,0.128542408498061,0.0523317948248293,0.0651055620945143,6.42372
"Gibbs",5,"3-3-3-3-3",100,500,0.153071283831168,0.0872125583133651,0.223005831939758,0.2744692681075,0.241933679598028,0.293868871759592,0.073388290069656,103.52132
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.211554991786405,0.126534898516921,0.209666739086519,0.332616445715389,0.134344563899155,0.0710004795352902,0.0718209740853861,9.318
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.180899812626117,0.117498007072786,0.225780882792632,0.29197379131986,0.247061709449209,0.311645139147249,0.0666501759849263,139.22304
"Product MAP",5,"3-3-3-3-3",100,1000,0.151787969566194,0.0896321214881889,0.203800724382352,0.299001409201417,0.127058706151179,0.0464040755107462,0.0627033870258347,8.38656
"Gibbs",5,"3-3-3-3-3",100,1000,0.124499838096443,0.0841304263137207,0.217568476561814,0.269567420034055,0.238940294107561,0.286934705418548,0.0761767945568142,161.64244
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.180424069816944,0.119996930102777,0.203065592462004,0.346258578302554,0.117367980516023,0.055593535717986,0.0580251744542432,11.29332
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.143624347395156,0.111406482576147,0.219901177702305,0.295678705116205,0.249726454047627,0.316024803410552,0.0677343826704471,230.12888
"Product MAP",5,"3-3-3-3-3",100,1500,0.145480245637095,0.0878558466195364,0.202968703743648,0.310138590249643,0.114414406678228,0.0444858294961173,0.0557698408135864,11.16076
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,1500,0.172602379474052,0.11822216242135,0.202900934800478,0.348596182397489,0.120161038483512,0.0531606987100839,0.0587520386397675,14.79924
"Product MAP",5,"3-3-3-3-3",100,2000,0.141610845676054,0.0879619188157552,0.202367848768133,0.31945231102974,0.102534808462717,0.0455842560266511,0.0512143969841688,13.40484
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,2000,0.165604416183673,0.117605481952711,0.201356689090417,0.344382207752986,0.113242633778298,0.0505587459679271,0.0554026655756082,16.90496
