"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"Product MAP",5,"2-2-2-2-2",100,500,0.109789564029067,0.0829998308291547,0.219332362598784,0.336575669405595,0.0894456012343863,0.0065149959257323,0.0446686550642258,14.4066
"Gibbs",5,"2-2-2-2-2",100,500,0.118261587414975,0.078907455858042,0.206143121852317,0.288084626689056,0.0940437966633783,0.0886295363487635,0.0437586082962261,107.70928
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.127158065855893,0.113902010768874,0.22691704894209,0.381518911841164,0.0952941416661993,0.0093215736639041,0.0472083222268316,17.41076
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.14394714585399,0.106482476364895,0.209460511433411,0.312530509941987,0.100689498985212,0.10201445238015,0.0463755790451025,145.46624
"Product MAP",5,"2-2-2-2-2",100,1000,0.0971269832789178,0.0818146404555379,0.221762278760223,0.346617625185051,0.095516340837139,0.00594981459593762,0.0474153010458508,19.33116
"Gibbs",5,"2-2-2-2-2",100,1000,0.0945865661422825,0.0761731824750542,0.205207685969101,0.296860356117667,0.0975530981655145,0.0805447679584121,0.0462938322452387,168.0714
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.114470873959699,0.113005007586776,0.222279745785883,0.369157875537137,0.106453253668288,0.0078841516384107,0.05278222684171,41.76404
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.11834327331154,0.10328149400938,0.20480071064744,0.324141882910651,0.107930677039165,0.0911199671472596,0.0518942624359659,240.74384
"Product MAP",5,"2-2-2-2-2",100,1500,0.0931793098410043,0.0816022017572887,0.218627828888566,0.338265470511268,0.0973443111874638,0.0059581307035739,0.0484699450693417,25.75748
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,1500,0.110148725986815,0.112761716430607,0.222247290855478,0.365444143904103,0.101743288126604,0.00814772197100302,0.0504568767678648,36.73728
"Product MAP",5,"2-2-2-2-2",100,2000,0.0897370783748742,0.0815901274637815,0.216710089398612,0.333759831642947,0.10440457879957,0.00656479047725111,0.0519132894879556,34.32524
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,2000,0.107135929010038,0.112491134624596,0.221752279531546,0.370123699277354,0.0944753325547842,0.0081361983846964,0.047157895673729,32.63564
