"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"Product MAP",5,"3-3-3-3-3",100,500,0.168523079490674,0.0872060456890473,0.191763585550237,0.27099766981454,0.117145402002859,0.0211902313005532,0.0553742643423253,7.0352
"Gibbs",5,"3-3-3-3-3",100,500,0.159525535747159,0.0838280720900726,0.191059440392907,0.227910787321286,0.389919435644737,0.342950907297503,0.140822579361585,113.4278
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.197089937983139,0.115715075204893,0.178795789138146,0.284786162062388,0.132565674928754,0.0311901591154924,0.0611802378966719,10.646
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.176314620628557,0.109324769264628,0.180687823570454,0.257618861170837,0.405921171158281,0.378325514568402,0.12785278826509,156.2572
"Product MAP",5,"3-3-3-3-3",200,500,0.137903931994606,0.068737833397032,0.140500304924597,0.18583553255214,0.0860075978911121,0.0211990034270099,0.0365106680018533,13.9838
"Gibbs",5,"3-3-3-3-3",200,500,0.14581278944247,0.067503947930126,0.146023590317496,0.197826092035606,0.291217484328024,0.21125371040621,0.096407357772546,137.2928
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.166887404098984,0.0919860687887226,0.131151414616133,0.192399940522614,0.0891140425639252,0.0266625757287757,0.03731193988925,18.4732
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.166449792353983,0.0893235377911987,0.134506641893304,0.189399249249844,0.340056479652664,0.284853480465283,0.106863175058089,181.4596
"Product MAP",5,"3-3-3-3-3",400,500,0.127693401554492,0.053620596380764,0.0960697005235973,0.131581704842806,0.061199387133828,0.019518554810505,0.0302405077343195,24.1534
"Gibbs",5,"3-3-3-3-3",400,500,0.132085662785726,0.0547595286758976,0.100053648294257,0.135196484966611,0.129522478100868,0.0856343517767032,0.0431417402923524,168.9446
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,500,0.147755004304335,0.0720456051246123,0.0919796365084447,0.141411380417728,0.0590207614861346,0.0226761902354896,0.0267296699236676,25.618
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",400,500,0.150307404514762,0.074281461881672,0.0979125826294659,0.141938657544679,0.107452174324564,0.084138584797274,0.0347223838304575,583.0298
"Product MAP",5,"3-3-3-3-3",100,1000,0.15433089907293,0.0858442466050254,0.194344012556045,0.295530919333627,0.126182291546645,0.0199304758939694,0.0539392016935749,8.377
"Gibbs",5,"3-3-3-3-3",100,1000,0.131888669691957,0.0806461800279718,0.193619379966222,0.241314712608845,0.386029871215925,0.344606537028561,0.128418773292727,547.795
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.180284262483326,0.110379846122957,0.180200742263489,0.308379456568331,0.125817018442537,0.0219189988759146,0.0485809616082465,12.4586
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.148534757711022,0.103539710831091,0.180377028494671,0.298430527324463,0.397748879071584,0.372109316151632,0.123489822708667,250.2588
"Product MAP",5,"3-3-3-3-3",200,1000,0.119340335829221,0.0648212163192415,0.137194990519934,0.177798076775829,0.0791604513421594,0.0175352330761357,0.0295667738246948,19.9146
"Gibbs",5,"3-3-3-3-3",200,1000,0.115010154401962,0.0620574966140058,0.140499947956897,0.174501216904585,0.219541642211184,0.153733476477075,0.0677293834113631,190.898
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,1000,0.135521431959605,0.0846328314378257,0.129207707212616,0.210896134804019,0.0929164388417169,0.0212178289048966,0.0404015052360204,24.3722
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",200,1000,0.126414783417114,0.0807651951507082,0.131854481708574,0.195219247628214,0.254457215270117,0.197127912924311,0.0783322875504425,278.1662
"Product MAP",5,"3-3-3-3-3",400,1000,0.0989525754155419,0.0487185643463831,0.0974780662978027,0.130806415750291,0.0514550970723192,0.0128692941069786,0.0205719876898913,45.6384
"Gibbs",5,"3-3-3-3-3",400,1000,0.102186643797564,0.0487584480044648,0.1008490580781,0.13615851353908,0.0784768341905648,0.0612319651419558,0.0254135471582792,235.9448
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,1000,0.11699185256143,0.0662498291396873,0.0927384671138153,0.145891733190683,0.0605866583513756,0.0187859530381509,0.0286238704763302,54.655
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",400,1000,0.118355142135849,0.0659615850364942,0.0946095610111213,0.148158734010298,0.0866037604875269,0.0661626547832408,0.0332096035275022,331.2878
