"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"Product MAP",5,"3-3-3-3-3",100,500,0.182829906186552,0.0879737164357739,0.18996285655388,0.269438615103678,0.113615755918772,0.0657839814835828,0.0668518852375691,8.0898
"Gibbs",5,"3-3-3-3-3",100,500,0.159169394468753,0.0830522975094051,0.186983373291642,0.235713506362552,0.222096446497547,0.224205678764083,0.0928009410466083,104.2278
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.221840309852926,0.118479876422733,0.18155948965018,0.313241608800176,0.129932215485821,0.081220564439633,0.0753075783604252,11.4486
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.177141913172788,0.10828772864217,0.180989243942155,0.290741992571899,0.233395788119739,0.269356132916063,0.0805780529509026,142.0562
"Product MAP",5,"3-3-3-3-3",200,500,0.154897241710486,0.0690157120349161,0.138201986574854,0.187426511692408,0.077939099852438,0.0524755873801273,0.0448281409814178,14.1792
"Gibbs",5,"3-3-3-3-3",200,500,0.148800546539625,0.0669859289494925,0.1402246600878,0.180925102032811,0.237003443710669,0.247175723970724,0.0967769032268796,126.3374
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.18613097046936,0.0937832122681026,0.133744003735666,0.201468145498079,0.107231607629274,0.0677769164774744,0.0586315762809591,17.2954
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.169072122423518,0.0889145582798118,0.136531195489384,0.187530516720273,0.24195686414131,0.268643658998193,0.0919201437782929,164.462
"Product MAP",5,"3-3-3-3-3",400,500,0.137498554221709,0.0535323586398446,0.095595830973707,0.12542238843132,0.0622586839176578,0.0324034581875167,0.0322384124774418,21.2256
"Gibbs",5,"3-3-3-3-3",400,500,0.139281634785805,0.0548167038734121,0.101129708225951,0.127872766798218,0.174220078659883,0.178026776263012,0.0691003635096107,156.8382
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,500,0.158994725505318,0.0727304218463141,0.0909796760016817,0.13660274021006,0.0628814787059788,0.0301542870095292,0.0301801422874991,22.5432
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",400,500,0.162313537231419,0.0753695616816203,0.100477708475754,0.138363489113522,0.215528216630291,0.232313947509202,0.0842333128031583,197.871
"Product MAP",5,"3-3-3-3-3",100,1000,0.16294971825528,0.085976370498675,0.191595390789053,0.270870410943137,0.120298299480804,0.0548503168707487,0.0559807627224464,9.3282
"Gibbs",5,"3-3-3-3-3",100,1000,0.128801343197385,0.0802798034268533,0.184554795600624,0.247014286734703,0.236496419751966,0.254513448424926,0.0920640015422119,168.1576
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.194766247276896,0.110995369381357,0.17898197588399,0.293073142207444,0.108810218356106,0.0662241122018991,0.0623917260614994,13.7544
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.144785193402311,0.101562427772338,0.177529846743028,0.281350406378653,0.23421851692097,0.270760980637451,0.080239933424289,235.4106
"Product MAP",5,"3-3-3-3-3",200,1000,0.128466120298581,0.0645898415456595,0.135846552460809,0.200434373032354,0.0925669044000782,0.0491003512045291,0.0475535443872536,19.495
"Gibbs",5,"3-3-3-3-3",200,1000,0.115280088463768,0.0614307772122969,0.13759512078214,0.193838939953455,0.228340292520325,0.242127311444657,0.0951430789847832,189.2306
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,1000,0.150339119389697,0.0858459286118753,0.128719688178603,0.217088525121846,0.103828414835518,0.0535747628660972,0.0518856655888621,23.598
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",200,1000,0.128684969951568,0.0805802371301868,0.129183418386613,0.208463507402367,0.229763064364587,0.250935456389589,0.0878596165623066,260.3364
"Product MAP",5,"3-3-3-3-3",400,1000,0.103403595373723,0.0486572865915539,0.0969936885599872,0.146113675715814,0.0607224412547857,0.0280188475488667,0.029872359314465,42.5102
"Gibbs",5,"3-3-3-3-3",400,1000,0.106896875469195,0.0487798100171452,0.101383185534432,0.149448264670072,0.118526649883772,0.125534806668439,0.0403351404591199,233.4274
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,1000,0.122515287513218,0.0659223408780275,0.0918144369548202,0.141073517830759,0.0723613953626244,0.0318490148355317,0.0370740329965589,47.0496
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",400,1000,0.122821963484037,0.065672324717042,0.0946714251270463,0.143473704812112,0.161044602365663,0.181734191301949,0.0551456221309876,308.985
