"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"Product MAP",5,"3-3-3-3-3",100,500,0.140792976077544,0.091218443701631,0.209694317730073,0.316997118212458,0.118503134062846,0.0162942781656319,0.0540990564984554,8.329
"Gibbs",5,"3-3-3-3-3",100,500,0.143088889866776,0.0869642681682835,0.227417941791907,0.277857899782741,0.275521834861896,0.354646170967631,0.0725199261484929,108.36496
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.175265459636056,0.124191972015788,0.212703766625753,0.333126161139399,0.108336539644258,0.0239569877193528,0.0505898308820625,12.973
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.176017629521228,0.117377175364541,0.225296198190697,0.292162803881658,0.284916417383227,0.379652509231126,0.0667710140331451,145.66072
"Product MAP",5,"3-3-3-3-3",200,500,0.130346975233116,0.0673555608611615,0.135553299113099,0.190279042736947,0.0724866135961764,0.0178932990801983,0.0358629583805611,11.1974
"Gibbs",5,"3-3-3-3-3",200,500,0.136921869072628,0.066014703504109,0.140032979202107,0.193681955207386,0.205635460643655,0.223269213074435,0.0617355632820593,124.25364
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.159672652636089,0.0918011725099583,0.131175117229583,0.202897574364278,0.0748944136880897,0.0265331848041207,0.0377656770723467,14.10868
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.161921227870777,0.0886022559784485,0.133213943393812,0.198164971811241,0.248670935463763,0.299017031607319,0.0721902320020523,161.23668
"Product MAP",5,"3-3-3-3-3",400,500,0.121925834499961,0.0522812141267706,0.0956154998277288,0.134642431049244,0.0566206919016657,0.0143633488035858,0.0264782747877403,16.79324
"Gibbs",5,"3-3-3-3-3",400,500,0.125229771425678,0.0537220119200584,0.10073703181004,0.137538937442404,0.070804463236501,0.0549703669637023,0.0275426643090627,154.03464
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,500,0.144643867713725,0.0710153860358951,0.0881429747402049,0.140875066795864,0.0551062785067057,0.0154731998679395,0.027080146000916,18.19972
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",400,500,0.149428408975894,0.0738723150317304,0.0951255735254767,0.142240795089907,0.0801023608139017,0.0807217448107899,0.0277520599535109,196.445
"Product MAP",5,"3-3-3-3-3",100,1000,0.124705380374444,0.0886519121979229,0.206461223837129,0.303659383911023,0.109394049879371,0.0145029481069409,0.0487055244947775,10.81324
"Gibbs",5,"3-3-3-3-3",100,1000,0.114868962951803,0.0836158506016814,0.222861295719359,0.273440374731162,0.267926528743338,0.343122200542694,0.0706372322516651,168.37092
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.148633528273663,0.118864412007007,0.206916359467187,0.351638618400915,0.108684830572016,0.0165982160095539,0.0488459300722796,15.26308
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.138022011274581,0.111245851128772,0.220238534045428,0.298495493278386,0.279152117770777,0.369206414917714,0.0679331794560102,239.9892
"Product MAP",5,"3-3-3-3-3",200,1000,0.108774150998975,0.0633420913881911,0.135944430598197,0.202026942501676,0.0759492518817276,0.0148814478379414,0.0334493283296258,15.56232
"Gibbs",5,"3-3-3-3-3",200,1000,0.108086577788851,0.0606734963561787,0.13897822782416,0.195077446527257,0.159277064212113,0.162984208011447,0.0466519265796319,185.50152
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,1000,0.128612405636783,0.0850781103558454,0.130221488368155,0.209303258748583,0.0806301299513133,0.0198183492033713,0.0383456146171236,17.49672
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",200,1000,0.125060769713551,0.0805107642400327,0.130717627626246,0.192314258070371,0.198202679778548,0.231798337753598,0.0558749848422865,258.22736
"Product MAP",5,"3-3-3-3-3",400,1000,0.0960431587662128,0.0478444726125125,0.0967163707644307,0.135144835465536,0.0540744727490062,0.0116839953789636,0.0240497885794749,32.64356
"Gibbs",5,"3-3-3-3-3",400,1000,0.099079273759131,0.0481305306496284,0.100685839400364,0.135970208690499,0.0628570156670429,0.0437765146707242,0.0244773240844587,229.14532
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,1000,0.115063697677901,0.0651990613042591,0.0909659789761826,0.139158508523489,0.0547367911784291,0.0145234355002674,0.0251401486454972,35.28792
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",400,1000,0.116350168585773,0.06530763882474,0.0942587446601379,0.139954225469424,0.0640748277273577,0.0509917118998543,0.024691918660414,307.60528
