"item","block","H","p","p_master","loading_seed","block_size_mode","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
1,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.06372063537128,0,0,0,0,0,0,0,0,0
2,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.14788222429343,0,0,0,0,0,0,0,0,2.24008101737127
3,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.70178504684009,0,0,0,0,0,0,2.17381298402324,0,-2.28677527769469
4,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.19517084769905,0,0,0,0,0,0,0,0,0
5,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.69649382843636,0,0,0,0,0,0,0,0,0
6,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.76632742304355,0,0,0,0,0,0,0,0,0
7,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.6885175970383,0,0,0,0,0,0,0,0,0
8,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.63658566656522,0,0,0,0,0,0,0,0,2.17968451487832
9,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.65486196195707,0,0,-2.17755554406904,0,0,0,0,0,0
10,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.90124405291863,0,0,0,0,0,0,0,0,0
11,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.79375139740296,0,0,0,0,0,0,0,0,0
12,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.85298008029349,0,0,0,0,0,0,0,0,0
13,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.32924255984835,0,0,0,0,0,0,0,0,0
14,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.24575785710476,0,0,0,0,0,0,0,0,0
15,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.3778336988762,2.25857808021829,0,0,0,0,0,0,0,0
16,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.54990975395776,0,0,0,0,0,0,0,0,0
17,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.69902475737035,0,0,0,0,0,0,0,0,0
18,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.92431185790338,0,0,0,0,0,0,0,0,0
19,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.04503439180553,0,0,0,0,0,0,-2.25204481114633,0,0
20,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.38157784775831,0,-2.38735066819936,0,0,0,0,0,0,0
21,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.08335845917463,0,0,0,0,0,0,0,0,0
22,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.8186937100254,0,0,0,0,0,0,0,0,0
23,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.08572770445608,0,0,0,0,0,0,0,0,0
24,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.45017107855529,0,0,0,0,0,0,0,0,0
25,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.90166237973608,0,0,0,0,0,0,0,0,0
26,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.00139517569914,0,0,0,0,0,0,0,0,0
27,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.8199530930724,-2.46111643034965,0,0,2.27666920912452,0,0,0,0,0
28,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.89942541066557,0,0,0,0,0,0,0,0,0
29,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.24543630005792,0,-2.80781679274514,0,0,0,0,0,0,0
30,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.21647497522645,0,0,0,0,0,0,0,0,0
31,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.40118971373886,0,0,0,0,0,0,0,2.21775331441313,0
32,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.90439732582308,0,0,0,0,0,0,0,0,0
33,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.20165627123788,0,0,0,0,0,0,0,0,0
34,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.0793991216924,0,0,0,0,0,0,0,0,0
35,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.80979411536828,0,0,0,0,0,0,0,0,0
36,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.94216511282139,2.77367622917518,0,-2.41356538631953,0,0,0,0,0,0
37,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.70813382253982,0,0,0,0,0,0,0,0,0
38,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.42949982080609,0,0,0,0,0,0,0,0,0
39,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.71086230385117,0,0,0,2.67635444994085,0,0,0,0,0
40,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.14695018110797,0,0,0,-2.30613409052603,0,0,0,0,0
41,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.40959860687144,0,0,0,0,0,0,2.77615182381123,0,0
42,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.79303274303675,0,0,0,0,0,0,0,0,0
43,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.09938778914511,0,0,0,0,0,0,0,0,0
44,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.49264117958955,0,0,0,0,0,0,0,0,0
45,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.75094889779575,0,0,0,0,0,0,0,0,0
46,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.12283495021984,0,0,0,0,0,0,0,2.56394779006951,0
