"item","block","H","p","p_master","loading_seed","separation","block_size_mode","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
1,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.66642105602659,0,0,0,0,0,-2.59515826147981,0,0,0
2,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.40171073935926,0,0,-2.74902609642595,0,0,0,0,0,0
3,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.128549272893,0,0,0,0,0,0,0,0,0
4,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.91930621745996,0,0,0,0,0,0,0,0,0
5,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.15014948090538,0,0,0,0,0,0,0,0,0
6,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.75938504072838,0,0,0,0,0,0,0,0,0
7,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.81819585314952,0,0,0,0,0,0,0,-2.70731179788709,0
8,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.3032113420777,0,0,0,0,0,0,0,0,0
9,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.43238579831086,0,0,0,2.17721716454253,0,0,0,0,0
10,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.25454880413599,0,0,0,0,0,0,0,0,0
11,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.19501245766878,0,0,0,0,0,0,0,0,-2.49415047792718
12,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.44448423967697,-2.14827240817249,0,0,0,0,0,-2.33018979988992,0,0
13,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.52691105450504,0,0,0,0,0,0,0,0,0
14,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.32295300415717,0,0,0,0,2.0363722818438,0,0,0,0
15,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.43798002670519,0,0,0,0,0,0,0,0,0
16,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.19751647277735,0,0,0,0,0,0,2.27562036341988,0,0
17,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.20516954408959,0,0,0,0,0,0,0,0,0
18,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.12058361223899,0,0,0,0,0,0,0,0,0
19,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.92204874008894,0,0,0,0,0,0,0,0,0
20,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.78055283986032,0,0,0,2.80330325849354,0,0,0,0,0
21,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.02715790690854,0,0,0,0,0,0,0,0,0
22,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.77204071544111,0,0,0,0,0,0,0,0,0
23,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.56679436611012,0,0,0,-2.54517924576066,0,0,0,0,0
24,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.71574206906371,0,0,0,0,0,0,0,0,0
25,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.49728905432858,0,0,0,0,0,-2.51585192373022,0,0,0
26,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.85623800545,0,0,0,0,0,0,0,0,0
27,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.51857285015285,0,0,0,0,0,0,0,0,0
28,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.99400719348341,0,0,0,2.50872747320682,0,0,0,0,0
29,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.88488119328395,0,0,0,0,0,0,0,0,0
30,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.02373236045241,0,0,0,0,0,0,-2.4522427523043,0,0
31,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.64565813355148,0,0,0,0,0,0,0,0,0
32,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.47458886355162,0,0,0,0,0,2.42257702630013,0,0,0
33,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.90964462468401,2.19418875779957,0,0,0,0,0,0,0,0
34,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.05476657906547,0,0,0,0,0,0,0,0,0
35,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.6507464570459,0,0,0,0,0,2.58334380295128,0,0,0
36,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.93790512019768,0,0,2.06121189449914,0,0,0,0,0,0
37,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.2951173579786,0,0,0,0,0,0,0,0,0
38,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.17753317439929,0,0,0,0,0,0,0,0,0
39,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.05687183816917,0,0,0,0,0,-2.39098949753679,0,0,0
40,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.98461762000807,0,0,0,0,2.88850215054117,0,0,0,0
41,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.79099404648878,0,0,0,0,0,0,0,2.31226553954184,0
42,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.46915814559907,0,0,0,0,0,0,0,0,0
43,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.52306809765287,0,0,0,0,0,0,0,0,0
44,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.61835342366248,0,0,0,-2.55114438058808,0,0,0,0,0
45,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.25959780067205,0,0,0,0,0,0,0,0,0
46,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.20967056811787,0,0,0,0,0,0,0,0,0
47,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.66563286911696,0,-2.65473715309054,0,0,0,0,0,0,0
48,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.43305551051162,0,2.99853760632686,-2.11700505693443,0,0,0,0,0,0
49,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.08394748484716,0,0,0,0,2.89656481612474,0,0,0,0
50,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.66589486738667,0,0,0,0,0,0,0,0,0
51,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.5057356976904,0,0,0,0,0,0,0,0,0
52,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.3987986871507,0,0,0,0,0,0,-2.63963190931827,0,0
53,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.75329508259892,0,0,0,0,0,0,0,0,0
54,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.00517158978619,0,0,0,0,0,0,0,2.02264845347963,0
55,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.20424036518671,0,0,0,0,0,0,0,-2.17982950806618,0
56,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.07968486449681,0,0,0,0,0,0,0,0,0
57,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.84759088931605,0,0,0,0,0,0,0,-2.58125953585841,0
58,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.55917934072204,-2.49193918006495,0,0,0,0,0,0,-2.93629727582447,0
59,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.39855189039372,0,-2.63917722390033,0,0,0,0,0,0,0
60,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.27098795305938,0,2.04769698344171,0,0,0,0,0,0,0
61,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.06672445591539,0,0,0,0,0,0,0,0,0
62,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.23501764959656,0,0,0,0,0,0,0,0,0
63,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.83806690061465,0,0,0,0,0,0,0,0,0
64,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.73470209934749,0,0,0,0,0,0,0,0,0
65,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.90591868944466,0,0,0,0,0,0,0,0,0
66,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.51262638601474,0,0,0,0,0,0,2.56666888017207,0,0
67,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.70053597097285,-2.62329396302812,0,-2.77740461123176,2.2089542769827,0,0,0,0,0
68,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.89881160994992,0,0,0,0,0,0,0,0,0
69,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.10897242790088,0,0,0,0,0,0,0,0,0
70,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.50030713248998,0,0,0,0,0,0,0,0,0
71,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.93500949325971,0,0,0,0,0,0,0,0,0
72,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.91675863321871,0,0,0,0,0,0,0,0,0
73,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.58875515428372,0,0,0,0,0,0,0,0,0
74,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.14557846123353,0,0,0,0,0,0,0,0,0
75,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.28643456078134,0,0,0,0,0,0,0,0,0
76,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.25069810007699,-2.91229804279283,0,0,0,0,0,0,0,0
77,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.93371413531713,0,0,0,0,0,0,0,0,0
78,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.71275002299808,0,0,0,0,0,0,0,2.84649808565155,0
79,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.47311496338807,2.13776283385232,0,0,0,0,0,0,0,0
80,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.39883219636977,-2.20576879940927,0,0,0,0,0,0,0,0
81,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.05778387677856,0,0,0,-2.15856564021669,0,0,0,0,0
82,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.74163366947323,0,0,0,0,0,0,0,0,0
83,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.76994118886068,0,0,0,0,0,0,0,0,0
84,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.98164780507796,0,0,0,0,0,0,0,0,0
85,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.57819137815386,0,0,0,0,0,0,0,0,0
86,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.51425483031198,0,0,0,-2.39767216774635,0,-2.76843454269692,0,0,0
87,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.54317677137442,0,0,0,0,0,0,0,0,0
88,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.10587841272354,0,0,0,0,0,-2.0241808234714,0,0,0
89,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.11941105592996,0,0,0,0,0,0,0,0,0
90,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.41430348530412,0,0,0,0,0,2.47352912626229,0,0,0
91,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.57657022355124,0,0,0,0,0,0,0,0,0
92,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.12040855945088,0,0,0,0,0,0,0,0,0
93,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.21913677919656,0,0,0,0,0,2.35441048326902,0,0,0
94,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.51893499935977,0,0,0,0,0,0,0,0,0
95,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.9162484635599,0,0,0,0,0,0,0,0,0
96,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.14231545757502,0,0,0,-2.80938991624862,0,0,0,0,0
97,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.48724553640932,0,0,0,0,2.06045342655852,0,0,0,0
98,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.54951785784215,0,2.62741775903851,0,0,0,0,0,0,0
99,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.78041870938614,0,0,0,0,0,0,0,0,0
100,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.89843862177804,0,0,0,0,0,0,0,0,0
101,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.19413767661899,0,2.66053069522604,0,0,0,0,0,0,0
102,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.56501455558464,0,0,0,0,0,0,0,0,0
103,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.91830949974246,0,0,0,0,0,0,0,0,0
104,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.10437055048533,0,0,0,0,0,0,0,0,0
105,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.01661708205938,0,0,0,0,0,2.41963285650127,0,0,0
106,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.80502930609509,0,0,0,0,0,-2.91576378978789,0,0,0
107,1,10,2000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.20712668728083,0,0,0,0,0,0,0,0,0
