"item","block","H","p","p_master","loading_seed","separation","block_size_mode","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","F1","F2","F3","F4","F5"
1,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.84920943202451,0,0,0,0
2,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.40921621862799,0,-2.39010291057639,0,2.76766955247149
3,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.73620336735621,0,-2.45587046723813,0,0
4,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.82213374809362,0,0,0,0
5,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.50985663547181,-2.24159269407392,0,0,0
6,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.97610481805168,0,0,0,0
7,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.93061262951232,0,0,0,0
8,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.4881474589929,0,0,0,0
9,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.96748453890905,-2.29002242861316,0,0,0
10,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.41497995587997,0,0,0,0
11,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.71915304288268,0,0,0,0
12,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.08349221921526,0,-2.30890996521339,0,0
13,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.75559688080102,0,0,0,0
14,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.78380359127186,0,0,2.43513455172069,0
15,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.18182430323213,0,0,0,0
16,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.75904746400192,0,0,-2.57885958394036,0
17,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.66339030233212,0,0,0,-2.41456366679631
18,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.19595205993392,0,0,0,0
19,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.56715625245124,0,0,0,0
20,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.32101343595423,-2.15331228333525,2.14757686411031,0,0
21,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.67332762340084,0,0,0,0
22,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.92310372251086,0,0,0,0
23,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.3956601168029,0,0,0,0
24,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.74643160775304,0,0,0,0
25,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.9848932872992,0,0,0,0
26,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.81631079758517,0,0,0,0
27,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.39767617243342,0,0,0,0
28,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.04764405591413,0,0,-2.83843224565499,0
29,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.71559594920836,2.06485507707112,0,0,0
30,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.68423992977478,0,0,-2.47733052237891,0
31,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.37336222874001,0,0,0,0
32,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.68743465049192,0,0,0,0
33,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.33378721075132,0,0,0,0
34,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.54809853853658,0,0,0,0
35,1,5,2000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.03634246741422,0,0,0,0
