"scenario","rep","np_regime","n","p","H_true","G_true","G_config","K_joint","fix_dgp_parameters","dgp_parameter_seed","loading_parameter_seed","mixture_parameter_seed","data_seed","dgp_p_max","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","intercept_sd","intercept_block_span","intercept_clip","loading_design","block_size_mode","loading_sign_mode","alignment_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","dgp_min_block_size","dgp_median_block_size","dgp_max_block_size","dgp_min_total_nonzero_loadings_by_factor","dgp_median_total_nonzero_loadings_by_factor","dgp_min_cross_nonzero_loadings_by_factor","dgp_median_cross_nonzero_loadings_by_factor","dgp_mean_nonzero_loadings_per_item","dgp_mean_cross_loadings_per_item","dgp_cross_nonzero_fraction","dgp_mean_abs_primary_loading","dgp_mean_abs_cross_loading","dgp_min_loading_l2_by_factor","dgp_median_loading_l2_by_factor","dgp_min_primary_l2_by_factor","dgp_median_primary_l2_by_factor","dgp_n_items_all_zero","dgp_n_items_all_one","dgp_n_items_prev_lt_01","dgp_n_items_prev_gt_99","dgp_min_item_prevalence","dgp_q05_item_prevalence","dgp_median_item_prevalence","dgp_q95_item_prevalence","dgp_max_item_prevalence","dgp_min_marginal_component_count","dgp_median_marginal_component_count","dgp_n_empty_marginal_components","dgp_observed_joint_profiles","dgp_possible_joint_profiles","ours_pretraining_method","viroli_lambda_l1_penalty","viroli_loading_prior","min_mixture_var","viroli_seed","parallel_enabled","parallel_workers","method","mean_factor_abs_cor","mean_loading_abs_cor","min_factor_abs_cor","factor_score_rmse","factor_score_raw_rmse","lambda_corr","lambda_rmse","alpha_corr","alpha_rmse","alpha_raw_corr","alpha_raw_rmse","probability_rmse","joint_profile_ari","seconds","stage1_signal_relative_frobenius_error","stage1_signal_per_entry_mse","stage1_signal_correlation","stage1_sinTheta_op","stage1_sinTheta_fro","stage1_estimated_rank","stage1_full_loglik_per_response","stage1_true_sv_H","stage1_true_sv_Hplus1","stage1_fit_sv_H","stage1_fit_sv_Hplus1","stage1_fit_sv_H_to_Hplus1_ratio","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","marginal_mu_corr","marginal_log_var_corr","marginal_weight_corr","joint_mu_rmse","joint_var_rmse","joint_mu_corr","joint_var_corr","joint_weight_corr","joint_weight_rmse","joint_weight_l1","joint_weight_max_abs_error","est_effective_classes_001","est_effective_classes_01","joint_alignment_method","flat_parameter_corr","flat_parameter_blocks","all_parameter_corr","all_parameter_corr_raw","all_parameter_blocks","gibbs_min_parameter_ess","gibbs_median_parameter_ess","gibbs_mean_parameter_ess","gibbs_min_alpha_ess","gibbs_median_alpha_ess","gibbs_min_lambda_ess","gibbs_median_lambda_ess","gibbs_min_pi_ess","gibbs_median_pi_ess","gibbs_min_mu_ess","gibbs_median_mu_ess","gibbs_min_sig2_ess","gibbs_median_sig2_ess","gibbs_median_iteration_seconds","gibbs_median_z_sample_seconds","gibbs_median_factor_sample_seconds","gibbs_median_class_sample_seconds","gibbs_median_mixture_weight_seconds","gibbs_median_mixture_parameter_seconds","gibbs_median_regression_seconds","gibbs_median_normalization_seconds","gibbs_median_keep_draw_seconds","gibbs_median_diagnostics_seconds","occupied_classes","posterior_kept_draws","mfa_converged","mfa_completed_iter","mfa_final_lambda_rel_range","mfa_final_intercept_rel_range","mfa_final_occupied_range","source_chunk","em_svd_init_method","em_svd_init_z","selected_em_start","em_svd_soft_shrinkage","em_svd_soft_shrinkage_ratio","em_svd_soft_shrinkage_reference","em_svd_soft_rank_cap","mixture_update","pretrain_loading_penalty","rotation_optimizer","rotation_loading_l1_penalty","riemannian_rotation_steps","riemannian_update","lambda_l1_penalty","lasso_backend","glmnet_standardize","refine_enforce_monotone","refine_monotone_tolerance","mu_prior_mean","mu_prior_kappa","var_prior_shape","var_prior_scale","weight_prior_alpha","refine_mu_prior_mean","refine_mu_prior_kappa","refine_var_prior_shape","refine_var_prior_scale","refine_weight_prior_alpha","pretraining_converged","pretraining_completed_iter","selected_pretraining_iteration","pretraining_return_best_iteration","rotation_converged","rotation_completed_outer","refinement_converged","refinement_completed_iter","selected_refinement_iteration","refinement_return_best_iteration","refinement_stopping_objective","refinement_all_mixtures_converged","refinement_monotone_guard_triggered","ours_median_em_iteration_seconds","ours_median_em_e_step_seconds","ours_median_em_projection_seconds","ours_median_em_objective_seconds","ours_median_rotation_iteration_seconds","ours_median_rotation_update_seconds","ours_median_rotation_mixture_refit_seconds","ours_median_rotation_objective_seconds","ours_median_refinement_iteration_seconds","ours_median_refinement_factor_update_seconds","ours_median_refinement_lambda_update_seconds","ours_median_refinement_mixture_update_seconds"
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n100p1000",100,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,26762731,21272531,26762731,26771731,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,2.49661720458767,2.48147101980217,22.5163543503651,27.1635844180221,17.0494514405348,20.172074399804,0,0,0,0,0.28,0.39,0.49,0.64,0.76,42,50,0,92,1024,NA,0,"normal",0.05,26771768,TRUE,4,"viroli_gaussian_gibbs",0.603387096550856,0.56709502254616,0.263052434717634,0.886167901037555,0.863044234177707,0.549064915982938,1.20841164988574,0.734168848959946,0.820407302464611,NA,NA,0.120029951148039,0.0522816193314278,57.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04718202875932,0.61374886933983,0.284079160185572,0.70497925225918,0.24335806219855,NA,1.04718202875933,0.613748869339827,0.70497925225919,0.25027582246735,NA,0.00317789963310801,1.50090120705282,0.0235125316840783,138,32,"axis_sorted_product",0.615876329628253,"alpha+loading+joint_mu+joint_var+joint_weight",0.531202315400833,0.570489246644485,"alpha+loading+joint_mu+joint_log_var",4.29321308269596,24.9624916514801,35.4674796023919,4.75365456540619,65.6226826053243,4.29321308269596,23.5908384152769,7.08227636853593,54.235733397376,6.06156421519278,67.3375256310735,9.20304119408386,160.210747574687,0.0289885997772217,0.00638103485107422,0.00881004333496094,0.00121498107910156,NA,0.000308990478515625,0.0077890157699585,0.000114917755126953,0.00392138957977295,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n200p1000",200,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,26762731,21272531,26762731,26772731,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,2.49661720458767,2.48147101980217,22.5163543503651,27.1635844180221,17.0494514405348,20.172074399804,0,0,0,0,0.31,0.415,0.51,0.62,0.735,87,100,0,182,1024,NA,0,"normal",0.05,26772768,TRUE,4,"viroli_gaussian_gibbs",0.727149116978988,0.71225207680839,0.36848064784522,0.736867191026859,0.719020270802684,0.727079101794475,0.941652950636263,0.59582587644567,0.801022042359881,NA,NA,0.0934928660093967,0.0594028397372615,83.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27973249866446,0.564783361045078,0.210370393358175,0.621164529169788,-0.0183769995658532,NA,1.27973249866445,0.564783361045077,0.621164529169792,-0.139626794833428,NA,0.00170175437036502,1.17555267121421,0.00846242501511022,282,0,"axis_sorted_product",0.647307893293603,"alpha+loading+joint_mu+joint_var+joint_weight",0.455350436446369,0.561369496699526,"alpha+loading+joint_mu+joint_log_var",3.40789574929539,22.2502316807032,35.212787620671,4.90963000534847,68.0657901814954,3.40789574929539,20.5476017914448,5.94858568513286,78.1755682952453,3.65333433195022,80.132835844118,9.38992989021608,124.799505494323,0.0419684648513794,0.0122718811035156,0.012531042098999,0.00196504592895508,NA,0.000340938568115234,0.010413646697998,0.000128030776977539,0.00374555587768555,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n400_p1000_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,"n400p1000",400,1000,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",1024,TRUE,26762731,21272531,26762731,26773731,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,2.49661720458767,2.48147101980217,22.5163543503651,27.1635844180221,17.0494514405348,20.172074399804,0,0,0,0,0.305,0.409875,0.52,0.635,0.7275,190,200,0,325,1024,NA,0,"normal",0.05,26773768,TRUE,4,"viroli_gaussian_gibbs",0.972554434515943,0.952682437145306,0.889839337708809,0.233995519488502,0.235775537563729,0.957385574765096,0.31930232354938,0.947035732302655,0.259569668175672,NA,NA,0.0710222208643319,0.810897864355809,125.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0870328678140621,0.136095028797086,0.0217155559129954,0.997021750196235,0.551237226630598,NA,0.0870328678140633,0.136095028797086,0.997021750196182,0.433723113866501,NA,0.00013455073939111,0.113748188724724,0.000379043322210766,427,0,"axis_sorted_product",0.967698368744075,"alpha+loading+joint_mu+joint_var+joint_weight",0.828078214833719,0.958783081506548,"alpha+loading+joint_mu+joint_log_var",3.04748074797165,22.2598960163643,38.2434131868413,4.362003611197,69.3352269792522,3.04748074797165,19.8389717373157,14.9695056115289,518.091645941029,7.81934404194011,379.061715868643,3.4658855578659,11.0297777144257,0.0623259544372559,0.0243644714355469,0.0166130065917969,0.00348806381225586,NA,0.000380039215087891,0.0130699872970581,0.00014495849609375,0.00371503829956055,NA,20,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G2_2_2_2_2_2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n100p1000",100,1000,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,29512731,21272531,29512731,29521731,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,2.49661720458767,2.48147101980217,22.5163543503651,27.1635844180221,17.0494514405348,20.172074399804,0,0,0,0,0.32,0.39,0.54,0.68,0.78,24,34.5,0,100,59049,NA,0,"normal",0.05,29521768,TRUE,4,"viroli_gaussian_gibbs",0.557206629162159,0.56120486606129,0.30209991096227,0.936339080813636,0.876489062088338,0.549771098565869,1.26808539271426,0.848988820163096,0.541500044735209,NA,NA,0.1330967037514,NA,58.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815138755697618,0.575213149832632,0.127908028047653,0.776646652209232,-0.279406265190086,0.580169713436624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",3.99955735093177,31.514281910857,46.9828095562915,7.97367587268429,139.875511344308,3.99955735093177,29.2200198436282,34.5572628942472,91.3176989451098,24.1985511950943,104.089456931666,37.7313774271636,353.432957568317,0.0295034646987915,0.00629043579101562,0.00902402400970459,0.00127792358398438,NA,0.000360012054443359,0.00800955295562744,0.000120162963867188,0.00391149520874023,NA,29,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p1000_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n200p1000",200,1000,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,29512731,21272531,29512731,29522731,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,2.49661720458767,2.48147101980217,22.5163543503651,27.1635844180221,17.0494514405348,20.172074399804,0,0,0,0,0.24,0.38975,0.55,0.66,0.74,47,64,0,200,59049,NA,0,"normal",0.05,29522768,TRUE,4,"viroli_gaussian_gibbs",0.628267535897607,0.671611592357917,0.395644596165767,0.860085811744247,0.784860180680732,0.634438345430159,1.1969312648256,0.838576068944873,0.470862574986938,NA,NA,0.103132591666156,NA,89.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51517704060745,0.644719619821163,0.213506933569746,0.734944373729727,-0.264058357713511,0.423875692849687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",3.82652346570131,26.3941819552569,41.8060120327037,4.57009631824246,116.868677602308,3.82652346570131,23.9806050661668,7.52863196662893,34.5010825210639,5.20511615972619,32.2784939676966,15.431447521115,151.236277972407,0.0446690320968628,0.0119550228118896,0.014030933380127,0.00214099884033203,NA,0.000397086143493652,0.0117844343185425,0.000131845474243164,0.00381350517272949,NA,30,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n400_p1000_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,"n400p1000",400,1000,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",59049,TRUE,29512731,21272531,29512731,29523731,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",47,65,325,81,117.5,31,48,1.453,0.453,0.0503333333333333,2.49661720458767,2.48147101980217,22.5163543503651,27.1635844180221,17.0494514405348,20.172074399804,0,0,0,0,0.2725,0.3975,0.5475,0.66,0.7475,103,124.5,0,398,59049,NA,0,"normal",0.05,29523768,TRUE,4,"viroli_gaussian_gibbs",0.775365708396931,0.767675581436533,0.493936320916051,0.669436637590237,0.653829470465265,0.791428644544759,0.68838104600691,0.884688793592226,0.373943540949425,NA,NA,0.0782120377637566,NA,127.202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378140017095394,0.478659302816571,0.0550530019148548,0.944116730533026,0.0531467111502019,0.521901574183323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skipped_large_K",NA,"skipped_large_K",NA,NA,"skipped_large_K",3.21642644202491,18.9040696579161,40.1006425837634,8.87946257145353,158.863273661211,3.21642644202491,16.6963900457912,6.12827884105439,33.8206352667739,4.47100833705794,51.9668796387383,14.260715371094,54.8221376727495,0.0633819103240967,0.0236356258392334,0.0168160200119019,0.00371956825256348,NA,0.000457048416137695,0.0136579275131226,0.000147819519042969,0.00384294986724854,NA,30,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H10_G3_3_3_3_3_3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H5_G2-2-2-2-2_sep2",1,"n100p1000",100,1000,5,"2-2-2-2-2","2-2-2-2-2",32,TRUE,22262731,20772531,22262731,22271731,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",87,139,458,120,182,20,42,1.181,0.181,0.04525,2.49984542591404,2.53040684082993,27.7417999508656,34.5476059486961,23.557232458467,30.1968845453897,0,0,0,0,0.29,0.36,0.5,0.61,0.73,37,50,0,30,32,NA,0,"normal",0.05,22271768,TRUE,4,"viroli_gaussian_gibbs",0.694835434845293,0.654388539127633,0.426627392407308,0.77731965046969,0.760634040543519,0.657845243954653,1.11485885061954,0.791687777985499,0.533484358581722,NA,NA,0.0824223291232732,0.422643773021228,46.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.785071399068028,0.572365620977358,0.20976895501928,0.762171996203324,-0.176275261902582,NA,0.785071399068028,0.572365620977358,0.762171996203323,-0.227960262244326,NA,0.0305285547375975,0.889362262524669,0.0648368546117155,32,16,"axis_sorted_product",0.668703429287389,"alpha+loading+joint_mu+joint_var+joint_weight",0.65849873238799,0.660435275823896,"alpha+loading+joint_mu+joint_log_var",3.54742931710092,26.8561498790812,43.4408398255251,4.24674782785059,71.2163817665361,3.54742931710092,23.4755576142083,67.8555886647275,127.277584547615,41.2531581438382,115.571742917074,9.9399801359067,247.439097923052,0.0235246419906616,0.00615215301513672,0.00745010375976562,0.000654935836791992,NA,0.000190973281860352,0.00647103786468506,8.58306884765625e-05,0.00204586982727051,NA,10,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H5_G2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p1000_H5_G2-2-2-2-2_sep2",1,"n200p1000",200,1000,5,"2-2-2-2-2","2-2-2-2-2",32,TRUE,22262731,20772531,22262731,22272731,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",87,139,458,120,182,20,42,1.181,0.181,0.04525,2.49984542591404,2.53040684082993,27.7417999508656,34.5476059486961,23.557232458467,30.1968845453897,0,0,0,0,0.275,0.405,0.52,0.645,0.715,93,100,0,32,32,NA,0,"normal",0.05,22272768,TRUE,4,"viroli_gaussian_gibbs",0.989464502261137,0.96221191804615,0.986484824499205,0.144795167392899,0.149798392168469,0.964683289991678,0.394511129017714,0.931475078476889,0.346177641547091,NA,NA,0.0619238245147555,0.94203971709968,74.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0477118119966107,0.0434684711865666,0.0236072680428562,0.998984100116603,0.838015663829923,NA,0.0477118119966107,0.0434684711865666,0.998984100116601,0.820696532934835,NA,0.00330448818590812,0.0876598807554484,0.00622585497346114,32,32,"axis_sorted_product",0.962781038809796,"alpha+loading+joint_mu+joint_var+joint_weight",0.954068568414363,0.963002278463356,"alpha+loading+joint_mu+joint_log_var",3.48029449609471,35.0863678364078,50.821124277998,5.05678475699078,48.178632402554,3.48029449609471,32.9455421738217,942.362689193942,1000,874.974762478967,996.177090951106,17.535805950923,143.619359443852,0.0372090339660645,0.0117305517196655,0.0118885040283203,0.00105905532836914,NA,0.000211000442504883,0.0096900463104248,9.39369201660156e-05,0.00210750102996826,NA,10,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H5_G2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n400_p1000_H5_G2-2-2-2-2_sep2",1,"n400p1000",400,1000,5,"2-2-2-2-2","2-2-2-2-2",32,TRUE,22262731,20772531,22262731,22273731,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",87,139,458,120,182,20,42,1.181,0.181,0.04525,2.49984542591404,2.53040684082993,27.7417999508656,34.5476059486961,23.557232458467,30.1968845453897,0,0,0,0,0.295,0.415,0.5125,0.6275,0.725,189,200,0,32,32,NA,0,"normal",0.05,22273768,TRUE,4,"viroli_gaussian_gibbs",0.993960262162177,0.981105766097774,0.9922670386056,0.109769198714658,0.115681657633003,0.982839049574757,0.234713484976955,0.953386967259567,0.239517116705238,NA,NA,0.0475580255487661,0.988887186258893,108.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0324631373148265,0.0203004889559431,0.0165985986851191,0.99950432675728,0.969683113743357,NA,0.0324631373148265,0.0203004889559431,0.999504326757279,0.965983115779323,NA,0.00232154394806574,0.0628682592500506,0.00466581054139797,32,32,"axis_sorted_product",0.981047184415409,"alpha+loading+joint_mu+joint_var+joint_weight",0.976703167134273,0.982379879269073,"alpha+loading+joint_mu+joint_log_var",3.13574610160636,42.3533509142077,56.4861247162341,3.95355421615577,48.403354819235,3.13574610160636,41.2591777203815,870.613400768296,893.799161665593,824.319809817789,931.963957892445,69.152528135691,157.879331801918,0.0542300939559937,0.0232229232788086,0.0150820016860962,0.00176608562469482,NA,0.000234127044677734,0.0110969543457031,0.000100851058959961,0.00220251083374023,NA,10,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H5_G2_2_2_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p1000_H5_G3-3-3-3-3_sep2",1,"n100p1000",100,1000,5,"3-3-3-3-3","3-3-3-3-3",243,TRUE,23012731,20772531,23012731,23021731,2000,2,"viroli_smoke","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",87,139,458,120,182,20,42,1.181,0.181,0.04525,2.49984542591404,2.53040684082993,27.7417999508656,34.5476059486961,23.557232458467,30.1968845453897,0,0,0,0,0.3,0.4,0.58,0.71,0.78,24,33,0,79,243,NA,0,"normal",0.05,23021768,TRUE,4,"viroli_gaussian_gibbs",0.737985494278288,0.780792220845705,0.414351078101996,0.720269894781803,0.701311248130299,0.698552433807991,1.15101216181951,0.824270157232205,0.801233943511813,NA,NA,0.0951823100197358,0.131460094539253,47.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.362986597435781,0.478305071822587,0.0833602279327662,0.954605495827792,-0.0194918646726139,0.351986245052265,0.362986597435781,0.478305071822587,0.954605495827806,-0.0461261262401773,0.330097857379605,0.00244888042039288,0.474374684407838,0.00771145092366245,226,6,"axis_sorted_product",0.71015672958439,"alpha+loading+joint_mu+joint_var+joint_weight",0.648357346239374,0.66249445316925,"alpha+loading+joint_mu+joint_log_var+joint_weight",4.11020674700009,35.0574819535745,54.2761683683597,5.01505440880275,98.5964415738201,4.11020674700009,31.149766206822,6.79074530832349,110.642319999021,4.89045901573306,118.419310820671,126.390339332674,326.155486056495,0.0241564512252808,0.0061500072479248,0.00774192810058594,0.000699043273925781,NA,0.000223517417907715,0.0066760778427124,8.70227813720703e-05,0.0021364688873291,NA,15,1000,NA,2000,NA,NA,NA,"fixed_ifeval_parallel_viroli_gaussian_rep1_H5_G3_3_3_3_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
