"n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
100,500,0.142736058194269,0.0832328576317296,0.477480789433772,0.38692792929514,0.186109268278928,0.145732428219067,0.086190028775698,7.14286
100,1000,0.142770402027804,0.0819471611143557,0.479661254591473,0.402037597327388,0.180738608456763,0.154878868793337,0.0815485753811125,7.88826
100,1500,0.150824477076025,0.0823527282222433,0.484934210504439,0.407782674863097,0.193753514044966,0.165825283722295,0.0872593605005641,8.45015
100,2000,0.157818391057371,0.0828452396853148,0.489094302503784,0.415664750201646,0.189081804368615,0.168620821631427,0.0864698710794953,9.87339
200,500,0.134925492209492,0.0655514554616982,0.342786723899131,0.293715069318343,0.0821685381383272,0.0488665803915181,0.0382031120831761,9.35025
200,1000,0.123251337631791,0.0614449739443256,0.345869144540475,0.314777130321216,0.0819316501966537,0.0583062835564156,0.0359568373360971,12.03322
200,1500,0.122326399596829,0.0605531412027452,0.352601212378158,0.317493841731649,0.0846802032981371,0.063557793356239,0.037135379319836,15.02039
200,2000,0.120519904002348,0.0601887020267435,0.35623349291498,0.31995976282728,0.0807609176894238,0.0637860645720227,0.0363301334802757,18.16564
400,500,0.129847829831129,0.0560112156414657,0.303586901622234,0.253247426293905,0.0541239005120233,0.021548697933828,0.0266604017831632,18.57939
400,1000,0.109449445138432,0.0499065904666154,0.304201221908634,0.249914448458734,0.0547641146391646,0.0275969458488141,0.0260519901847586,31.0004
400,1500,0.110065531060586,0.0485113494827037,0.311990420482227,0.26440009516376,0.0557881986908856,0.0334751085338125,0.025111356954711,39.29747
400,2000,0.10339024685528,0.047772197191584,0.316030064437616,0.262954217061269,0.0532744292996319,0.0331254005990592,0.023963850111009,47.85165
