"scenario","rep","n","p","H_true","G_true","G_config","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","loading_design","block_size_mode","loading_sign_mode","alignment_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","fix_dgp_parameters","dgp_parameter_seed","loading_parameter_seed","mixture_parameter_seed","data_seed","dgp_p_max","product_method","comparator_method","factor_score_rmse_product","factor_score_rmse_comparator","factor_score_rmse_product_minus_comparator","lambda_rmse_product","lambda_rmse_comparator","lambda_rmse_product_minus_comparator","alpha_rmse_product","alpha_rmse_comparator","alpha_rmse_product_minus_comparator","marginal_mu_rmse_product","marginal_mu_rmse_comparator","marginal_mu_rmse_product_minus_comparator","marginal_var_rmse_product","marginal_var_rmse_comparator","marginal_var_rmse_product_minus_comparator","marginal_weight_rmse_product","marginal_weight_rmse_comparator","marginal_weight_rmse_product_minus_comparator","seconds_product","seconds_comparator","seconds_product_minus_comparator"
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,100,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,26762731,21272531,26762731,26771731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.134438696249389,0.153104231154461,-0.018665534905072,0.455144880353321,0.408920777018687,0.046224103334634,0.480343872702994,0.478895208944935,0.00144866375805902,0.10104929069035,0.0978601542610384,0.0031891364293116,0.0524353747886425,0.0632720708589662,-0.0108366960703237,0.0523735205509932,0.0508983525832721,0.0014751679677211,10.448,76.005,-65.557
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",1,200,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,26762731,21272531,26762731,26772731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.132268121739846,0.140024229694068,-0.00775610795422199,0.326651470718893,0.305589520625152,0.021061950093741,0.347046892506686,0.349562297784788,-0.00251540527810196,0.0618970435796825,0.0601304846384238,0.0017665589412587,0.0246009773864259,0.0362242262909654,-0.0116232489045395,0.0318508687164226,0.0314653389193142,0.000385529797108403,15.345,86.685,-71.34
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,100,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,29512731,21272531,29512731,29521731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.147260460308131,0.16560013860058,-0.018339678292449,0.448648957843244,0.341171062146278,0.107477895696966,0.362025997700768,0.362722631458336,-0.00069663375756801,0.358611796806257,0.240097976809313,0.118513819996944,0.282814794868414,0.283739649290533,-0.000924854422119037,0.123205067352874,0.08147247425303,0.041732593099844,16.239,75.955,-59.716
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",1,200,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,29512731,21272531,29512731,29522731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.130192338594891,0.146232386075931,-0.01604004748104,0.321279770319257,0.261037638098883,0.060242132220374,0.22956806233119,0.233561415660849,-0.003993353329659,0.0829670971284265,0.258534226925795,-0.175567129797368,0.0569525935527776,0.267658660822595,-0.210706067269817,0.0390676093218943,0.0869436147669675,-0.0478760054450732,18.75,87.229,-68.479
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H5_G2-2-2-2-2_sep2",1,100,500,5,"2-2-2-2-2","2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,22262731,20772531,22262731,22271731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.133089472581274,0.157021448158247,-0.023931975576973,0.495344801371685,0.438602339380132,0.056742461991553,0.589929685002481,0.580115740006911,0.00981394499556998,0.141225854285376,0.133810187861351,0.00741566642402502,0.0524054229172876,0.051818567507203,0.000586855410084602,0.0726780148342552,0.0701264985976525,0.0025515162366027,10.269,47.579,-37.31
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H5_G2-2-2-2-2_sep2",1,200,500,5,"2-2-2-2-2","2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,22262731,20772531,22262731,22272731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.129088850995227,0.147417517107535,-0.018328666112308,0.350074094133155,0.324060589178657,0.026013504954498,0.281217155390006,0.270271455679087,0.010945699710919,0.0470959599254999,0.0434081004314477,0.0036878594940522,0.0325487923780129,0.0384517901070422,-0.0059029977290293,0.0238502411883077,0.0228338710948205,0.0010163700934872,15.201,56.338,-41.137
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H5_G3-3-3-3-3_sep2",1,100,500,5,"3-3-3-3-3","3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,23012731,20772531,23012731,23021731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.167523885980794,0.17859551307487,-0.011071627094076,0.500801306174912,0.354538245367354,0.146263060807558,0.33113098262912,0.347013547715457,-0.015882565086337,0.319811456653924,0.241826759609481,0.077984697044443,0.284351788915133,0.234200988806896,0.050150800108237,0.185643671095886,0.100773727968318,0.084869943127568,10.95,47.549,-36.599
"rep1_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H5_G3-3-3-3-3_sep2",1,200,500,5,"3-3-3-3-3","3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,23012731,20772531,23012731,23022731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.124606487157796,0.149555129709654,-0.024948642551858,0.338431388451978,0.29816863527462,0.040262753177358,0.319058525718622,0.389139779927692,-0.07008125420907,0.0742934155349533,0.235200446628295,-0.160907031093342,0.0565472618432128,0.224247804564005,-0.167700542720792,0.0457938999317818,0.0829673627655497,-0.0371734628337679,14.987,56.664,-41.677
"rep10_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",10,100,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,26762731,21272531,26762731,26861731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.133447551568482,0.146164744762018,-0.012717193193536,0.450805313546853,0.40005312934523,0.050752184201623,0.505920056968568,0.510537009606826,-0.00461695263825801,0.0983116315539603,0.0963575641635919,0.00195406739036841,0.0442437342907603,0.0569816643092991,-0.0127379300185388,0.0506698766588443,0.0501062907930732,0.000563585865771099,4.722,76.691,-71.969
"rep10_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",10,200,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,26762731,21272531,26762731,26862731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.134329768128976,0.141716728987902,-0.00738696085892598,0.32231644767821,0.301595940061473,0.020720507616737,0.298709232078617,0.285591004703385,0.013118227375232,0.0500903848448663,0.0503513776243461,-0.000260992779479802,0.0315344751439298,0.0420115204730334,-0.0104770453291036,0.0261474407185812,0.0258253517450637,0.000322088973517497,7.857,87.237,-79.38
