"mixture_scenario_label","method","H_true","G","p","completed_reps"
"asymmetric_pi","independent_marginal_mixture",5,2,500,25
"moderate_overlap","independent_marginal_mixture",5,2,500,25
"separated","independent_marginal_mixture",5,2,500,25
"asymmetric_pi","viroli_laplace_gibbs",5,2,500,25
"moderate_overlap","viroli_laplace_gibbs",5,2,500,25
"separated","viroli_laplace_gibbs",5,2,500,25
"asymmetric_pi","independent_marginal_mixture",10,2,500,25
"moderate_overlap","independent_marginal_mixture",10,2,500,25
"separated","independent_marginal_mixture",10,2,500,25
"asymmetric_pi","viroli_laplace_gibbs",10,2,500,25
"moderate_overlap","viroli_laplace_gibbs",10,2,500,25
"separated","viroli_laplace_gibbs",10,2,500,25
"asymmetric_pi","independent_marginal_mixture",5,3,500,25
"moderate_overlap","independent_marginal_mixture",5,3,500,25
"separated","independent_marginal_mixture",5,3,500,25
"asymmetric_pi","viroli_laplace_gibbs",5,3,500,25
"moderate_overlap","viroli_laplace_gibbs",5,3,500,25
"separated","viroli_laplace_gibbs",5,3,500,25
"asymmetric_pi","independent_marginal_mixture",10,3,500,25
"moderate_overlap","independent_marginal_mixture",10,3,500,25
"separated","independent_marginal_mixture",10,3,500,25
"asymmetric_pi","viroli_laplace_gibbs",10,3,500,25
"moderate_overlap","viroli_laplace_gibbs",10,3,500,25
"separated","viroli_laplace_gibbs",10,3,500,25
"asymmetric_pi","independent_marginal_mixture",5,2,1000,25
"moderate_overlap","independent_marginal_mixture",5,2,1000,25
"separated","independent_marginal_mixture",5,2,1000,25
"asymmetric_pi","viroli_laplace_gibbs",5,2,1000,25
"moderate_overlap","viroli_laplace_gibbs",5,2,1000,25
"separated","viroli_laplace_gibbs",5,2,1000,25
"asymmetric_pi","independent_marginal_mixture",10,2,1000,25
"moderate_overlap","independent_marginal_mixture",10,2,1000,25
"separated","independent_marginal_mixture",10,2,1000,25
"asymmetric_pi","viroli_laplace_gibbs",10,2,1000,25
"moderate_overlap","viroli_laplace_gibbs",10,2,1000,25
"separated","viroli_laplace_gibbs",10,2,1000,25
"asymmetric_pi","independent_marginal_mixture",5,3,1000,25
"moderate_overlap","independent_marginal_mixture",5,3,1000,25
"separated","independent_marginal_mixture",5,3,1000,25
"asymmetric_pi","viroli_laplace_gibbs",5,3,1000,25
"moderate_overlap","viroli_laplace_gibbs",5,3,1000,25
"separated","viroli_laplace_gibbs",5,3,1000,25
"asymmetric_pi","independent_marginal_mixture",10,3,1000,25
"moderate_overlap","independent_marginal_mixture",10,3,1000,25
"separated","independent_marginal_mixture",10,3,1000,25
"asymmetric_pi","viroli_laplace_gibbs",10,3,1000,25
"moderate_overlap","viroli_laplace_gibbs",10,3,1000,25
"separated","viroli_laplace_gibbs",10,3,1000,25
