"scenario","method","H","G","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"asymmetric_pi","independent_marginal_mixture",5,2,500,0.117533029242706,0.0840898054146546,0.212695855011617,0.325727522818916,0.124711010761266,0.00982086785571343,0.0513841132999287,7.63716
"moderate_overlap","independent_marginal_mixture",5,2,500,0.136797615159759,0.086540058263756,0.221553713380778,0.35434329160768,0.0895983704594,0.0243479971193333,0.0447888118227587,8.46204
"separated","independent_marginal_mixture",5,2,500,0.109789564029067,0.0829998308291547,0.219332362598784,0.336575669405595,0.0894456012343863,0.0065149959257323,0.0446686550642258,14.4066
"asymmetric_pi","viroli_laplace_gibbs",5,2,500,0.121587709070899,0.0816851848871914,0.207258151547178,0.296616023936013,0.122845637154256,0.0988947321729881,0.0502927970189009,103.37796
"moderate_overlap","viroli_laplace_gibbs",5,2,500,0.128017156021945,0.0816561074206404,0.201119326887567,0.288562175996666,0.0901804561314036,0.07610363723377,0.0437996499546232,103.17396
"separated","viroli_laplace_gibbs",5,2,500,0.118261587414975,0.078907455858042,0.206143121852317,0.288084626689056,0.0940437966633783,0.0886295363487635,0.0437586082962261,107.70928
"asymmetric_pi","independent_marginal_mixture",10,2,500,0.131034779491655,0.11226092626615,0.213029111115207,0.360967058118798,0.113142377278641,0.00720696247496916,0.0472668893867161,9.8756
"moderate_overlap","independent_marginal_mixture",10,2,500,0.168168835589501,0.118728016734162,0.230901458134727,0.405899273323357,0.0963378241013488,0.0333357566220407,0.0472555937528905,10.49352
"separated","independent_marginal_mixture",10,2,500,0.127158065855893,0.113902010768874,0.22691704894209,0.381518911841164,0.0952941416661993,0.0093215736639041,0.0472083222268316,17.41076
"asymmetric_pi","viroli_laplace_gibbs",10,2,500,0.144303367464374,0.108058282995235,0.203383507471615,0.314633106150799,0.116941828362336,0.111519846188617,0.0463298401017853,139.99012
"moderate_overlap","viroli_laplace_gibbs",10,2,500,0.1556888481891,0.109978900326635,0.202827796332744,0.311304405950863,0.0962422070917922,0.0907462538847237,0.0459151530183942,139.60032
"separated","viroli_laplace_gibbs",10,2,500,0.14394714585399,0.106482476364895,0.209460511433411,0.312530509941987,0.100689498985212,0.10201445238015,0.0463755790451025,145.46624
"asymmetric_pi","independent_marginal_mixture",5,3,500,0.155305106181115,0.0924222938840253,0.207073833755934,0.307963161491487,0.114058335931127,0.02095116615086,0.0514628263161093,5.71616
"moderate_overlap","independent_marginal_mixture",5,3,500,0.168001991995331,0.0923329132654288,0.207267342296951,0.315672261730801,0.128542408498061,0.0523317948248293,0.0651055620945143,6.42372
"separated","independent_marginal_mixture",5,3,500,0.140792976077544,0.091218443701631,0.209694317730073,0.316997118212458,0.118503134062846,0.0162942781656319,0.0540990564984554,8.329
"asymmetric_pi","viroli_laplace_gibbs",5,3,500,0.155384712425957,0.0884719615198668,0.211570382405475,0.264171369250543,0.408286550511633,0.392651784554369,0.121232877747687,103.82104
"moderate_overlap","viroli_laplace_gibbs",5,3,500,0.153071283831168,0.0872125583133651,0.223005831939758,0.2744692681075,0.241933679598028,0.293868871759592,0.073388290069656,103.52132
"separated","viroli_laplace_gibbs",5,3,500,0.143088889866776,0.0869642681682835,0.227417941791907,0.277857899782741,0.275521834861896,0.354646170967631,0.0725199261484929,108.36496
