"method","n","p","H_true","G_true","loading_design","parallel_mode","method_label","seconds","mean_factor_abs_cor","lambda_rmse","joint_mu_rmse","joint_var_rmse","joint_weight_rmse","flat_parameter_corr","n_reps","seconds_serial","speedup_vs_serial"
"independent_marginal_mixture",100,500,3,"3-3-1","balanced_moderate_few_positive_cross","serial","Product mixture",9.4665,0.977156028576913,0.266191936776566,0.479066393196326,0.175350033662829,0.0619708005756581,0.904320002329995,3,9.4665,1
"independent_marginal_mixture",100,500,3,"3-3-1","balanced_moderate_few_positive_cross","workers18","Product mixture",2.2755,0.95612722537276,0.254647190530365,0.240871045223696,0.154514943870778,0.054602090840589,0.923554406206451,3,9.4665,4.16018457481872
"independent_marginal_mixture",100,500,3,"3-3-1","balanced_moderate_few_positive_cross","workers4","Product mixture",4.23249999999999,0.97730554986844,0.265749516903095,0.478116353821226,0.179406835393827,0.0652046981391737,0.904225038323355,3,9.4665,2.23662138216185
"independent_marginal_mixture",500,500,3,"3-3-1","balanced_moderate_few_positive_cross","serial","Product mixture",43.5306666666667,0.989396772579249,0.0869927313557178,0.223529807978321,0.153851179758775,0.0408604725367851,0.981770630089545,3,43.5306666666667,1
"independent_marginal_mixture",500,500,3,"3-3-1","balanced_moderate_few_positive_cross","workers18","Product mixture",8.7935,0.987011675154677,0.0871484634093125,0.211039251902794,0.178661488588556,0.0380742246837528,0.987658396576139,3,43.5306666666667,4.95032315536097
"independent_marginal_mixture",500,500,3,"3-3-1","balanced_moderate_few_positive_cross","workers4","Product mixture",19.1923333333333,0.989396771098228,0.086992736189203,0.223529808366693,0.153851180625169,0.0408604727216356,0.981770628499267,3,43.5306666666667,2.26812789829272
"joint_mixture_factor_gibbs",100,500,3,"3-3-1","balanced_moderate_few_positive_cross","serial","Joint Gibbs",28.1056666666667,0.470552019732903,1.08172219160906,1.82407605289735,0.861871728322511,0.309936932669085,0.655648527677866,3,28.1056666666667,1
"joint_mixture_factor_gibbs",100,500,3,"3-3-1","balanced_moderate_few_positive_cross","workers18","Joint Gibbs",104.396333333333,0.515650868295211,0.908950725547857,2.26506124657029,0.818083764913333,0.311765190988804,0.771203542536839,3,28.1056666666667,0.269220821931805
"joint_mixture_factor_gibbs",100,500,3,"3-3-1","balanced_moderate_few_positive_cross","workers4","Joint Gibbs",35.9966666666667,0.545645778003816,0.937128992465971,2.5273225455358,0.91252834762456,0.314431579136011,0.714488119222838,3,28.1056666666667,0.78078525789425
"joint_mixture_factor_gibbs",500,500,3,"3-3-1","balanced_moderate_few_positive_cross","serial","Joint Gibbs",66.8293333333333,0.824781478363845,0.364410234975464,1.7105573619216,0.713290270709013,0.194114852715365,0.764918749653312,3,66.8293333333333,1
"joint_mixture_factor_gibbs",500,500,3,"3-3-1","balanced_moderate_few_positive_cross","workers18","Joint Gibbs",151.713333333333,0.625992647363179,0.604346635525791,4.96924954288718,1.29959749128737,0.222042155715677,0.71661430926964,3,66.8293333333333,0.440497429362394
"joint_mixture_factor_gibbs",500,500,3,"3-3-1","balanced_moderate_few_positive_cross","workers4","Joint Gibbs",77.7196666666667,0.710343264715527,0.49008815173822,3.69404962229426,0.918644621683307,0.209686409441012,0.685271327666441,3,66.8293333333333,0.859876736475967
