"mixture_scenario","signal_source","stage","H","G_config","rotation_method","mean_factor_score_rmse","best_factor_method"
"asymmetric_pi","estimated_Z","pretrain",5,"2-2-2-2-2","fastica_only",1.40380766830843,FALSE
"asymmetric_pi","estimated_Z","pretrain",5,"2-2-2-2-2","mixture_fastica_start",1.41268545090442,FALSE
"asymmetric_pi","estimated_Z","pretrain",5,"2-2-2-2-2","mixture_identity_start",1.32382753400016,TRUE
"moderate_overlap","estimated_Z","pretrain",5,"2-2-2-2-2","fastica_only",1.39803364706388,FALSE
"moderate_overlap","estimated_Z","pretrain",5,"2-2-2-2-2","mixture_fastica_start",1.40037605838451,FALSE
"moderate_overlap","estimated_Z","pretrain",5,"2-2-2-2-2","mixture_identity_start",1.36801679917599,TRUE
"separated","estimated_Z","pretrain",5,"2-2-2-2-2","fastica_only",1.4008669566533,FALSE
"separated","estimated_Z","pretrain",5,"2-2-2-2-2","mixture_fastica_start",1.40293846003878,FALSE
"separated","estimated_Z","pretrain",5,"2-2-2-2-2","mixture_identity_start",1.36539003847377,TRUE
"asymmetric_pi","oracle_Z","pretrain",5,"2-2-2-2-2","fastica_only",1.40859597158093,FALSE
"asymmetric_pi","oracle_Z","pretrain",5,"2-2-2-2-2","mixture_fastica_start",1.39133774095056,FALSE
"asymmetric_pi","oracle_Z","pretrain",5,"2-2-2-2-2","mixture_identity_start",1.32267301094673,TRUE
"moderate_overlap","oracle_Z","pretrain",5,"2-2-2-2-2","fastica_only",1.40524680547347,FALSE
"moderate_overlap","oracle_Z","pretrain",5,"2-2-2-2-2","mixture_fastica_start",1.41023444157666,FALSE
"moderate_overlap","oracle_Z","pretrain",5,"2-2-2-2-2","mixture_identity_start",1.37810349410442,TRUE
"separated","oracle_Z","pretrain",5,"2-2-2-2-2","fastica_only",1.37944796297808,FALSE
"separated","oracle_Z","pretrain",5,"2-2-2-2-2","mixture_fastica_start",1.38985130410075,FALSE
"separated","oracle_Z","pretrain",5,"2-2-2-2-2","mixture_identity_start",1.34592998431971,TRUE
"asymmetric_pi","estimated_Z","refined",5,"2-2-2-2-2","fastica_only",0.125077579902732,FALSE
"asymmetric_pi","estimated_Z","refined",5,"2-2-2-2-2","mixture_fastica_start",0.0973513759684412,FALSE
"asymmetric_pi","estimated_Z","refined",5,"2-2-2-2-2","mixture_identity_start",0.09613141635936,TRUE
"moderate_overlap","estimated_Z","refined",5,"2-2-2-2-2","fastica_only",0.105417775446409,FALSE
"moderate_overlap","estimated_Z","refined",5,"2-2-2-2-2","mixture_fastica_start",0.102791564862115,TRUE
"moderate_overlap","estimated_Z","refined",5,"2-2-2-2-2","mixture_identity_start",0.105188392932445,FALSE
"separated","estimated_Z","refined",5,"2-2-2-2-2","fastica_only",0.0989820242419256,FALSE
"separated","estimated_Z","refined",5,"2-2-2-2-2","mixture_fastica_start",0.0934044965710247,TRUE
"separated","estimated_Z","refined",5,"2-2-2-2-2","mixture_identity_start",0.0946825577994047,FALSE
"asymmetric_pi","oracle_Z","refined",5,"2-2-2-2-2","fastica_only",0.124255703036411,FALSE
"asymmetric_pi","oracle_Z","refined",5,"2-2-2-2-2","mixture_fastica_start",0.0943245839294321,TRUE
"asymmetric_pi","oracle_Z","refined",5,"2-2-2-2-2","mixture_identity_start",0.0994173712751816,FALSE
"moderate_overlap","oracle_Z","refined",5,"2-2-2-2-2","fastica_only",0.101171528309777,FALSE
