"mixture_scenario","n","p","H","G_config","signal_source","rotation_method","stage","factor_score_rmse_mean","factor_score_rmse_median","factor_score_rmse_sd","factor_score_rmse_se","factor_score_rmse_n_replications","mean_factor_abs_cor_mean","mean_factor_abs_cor_median","mean_factor_abs_cor_sd","mean_factor_abs_cor_se","mean_factor_abs_cor_n_replications","lambda_rmse_mean","lambda_rmse_median","lambda_rmse_sd","lambda_rmse_se","lambda_rmse_n_replications","alpha_rmse_mean","alpha_rmse_median","alpha_rmse_sd","alpha_rmse_se","alpha_rmse_n_replications","probability_rmse_mean","probability_rmse_median","probability_rmse_sd","probability_rmse_se","probability_rmse_n_replications","marginal_mu_rmse_mean","marginal_mu_rmse_median","marginal_mu_rmse_sd","marginal_mu_rmse_se","marginal_mu_rmse_n_replications","marginal_var_rmse_mean","marginal_var_rmse_median","marginal_var_rmse_sd","marginal_var_rmse_se","marginal_var_rmse_n_replications","marginal_weight_rmse_mean","marginal_weight_rmse_median","marginal_weight_rmse_sd","marginal_weight_rmse_se","marginal_weight_rmse_n_replications","end_to_end_seconds_mean","end_to_end_seconds_median","end_to_end_seconds_sd","end_to_end_seconds_se","end_to_end_seconds_n_replications","rotation_seconds_mean","rotation_seconds_median","rotation_seconds_sd","rotation_seconds_se","rotation_seconds_n_replications","refinement_seconds_mean","refinement_seconds_median","refinement_seconds_sd","refinement_seconds_se","refinement_seconds_n_replications"
"asymmetric_pi",100,500,5,"2-2-2-2-2","estimated_Z","fastica_only","pretrain",1.39402542808933,1.38347314632351,0.142666817345308,0.0285333634690616,25,0.230753563809208,0.224728379466046,0.163466138087918,0.0326932276175836,25,0.745838097269238,0.745843276530558,1.79389973005799e-05,3.58779946011598e-06,25,0.279664269514094,0.271630442162522,0.047200302258225,0.00944006045164499,25,0.374378709616086,0.375341056700295,0.00710903508692125,0.00142180701738425,25,0.470796711495539,0.448298655172552,0.12847789107589,0.0256955782151779,25,0.185517684864631,0.103955832893937,0.17934868743848,0.0358697374876959,25,0.210042192425698,0.210662200460522,0.04989976624152,0.00997995324830399,25,0.654239999999998,0.655999999999949,0.0641562415773703,0.0128312483154741,25,0.0258800000000008,0.0220000000000056,0.00850156848274132,0.00170031369654826,25,0,0,0,0,25
"asymmetric_pi",100,500,5,"2-2-2-2-2","estimated_Z","fastica_only","refined",0.207566822294829,0.12620849728152,0.151822382274045,0.0303644764548091,25,0.967064636340119,0.991955260209061,0.0458257330837866,0.00916514661675732,25,0.242998493967654,0.201331310154033,0.0768064325787973,0.0153612865157595,25,0.295619619350005,0.275422534765655,0.055096790521351,0.0110193581042702,25,0.0781125053809969,0.0772790087605402,0.00296384811476725,0.000592769622953449,25,0.185780987676231,0.138831677193308,0.146078908428281,0.0292157816856562,25,0.184203778931669,0.0759732118825104,0.2293286523223,0.04586573046446,25,0.0605060187749616,0.0558565364613239,0.0311596944405027,0.00623193888810055,25,3.622,3.55799999999994,0.251667935979144,0.0503335871958287,25,0.0258800000000008,0.0220000000000056,0.00850156848274132,0.00170031369654826,25,2.96776,2.904,0.218077065888796,0.0436154131777591,25
"asymmetric_pi",100,500,5,"2-2-2-2-2","estimated_Z","mixture_fastica_start","pretrain",1.39156651210657,1.40499447237172,0.127780329529886,0.0255560659059771,25,0.239258141513629,0.222911621754014,0.163758377645974,0.0327516755291948,25,0.745843276530558,0.745843276530558,0,0,25,0.279664269514094,0.271630442162522,0.047200302258225,0.00944006045164499,25,0.374383034367994,0.375341056700295,0.00710775361286727,0.00142155072257345,25,0.442879752303974,0.469347521438285,0.112865562638028,0.0225731125276056,25,0.101495788704078,0.101371534562774,0.00935439141029066,0.00187087828205813,25,0.211852465938604,0.220697012914239,0.0530814356247265,0.0106162871249453,25,0.852039999999996,0.855000000000018,0.0898551983285722,0.0179710396657144,25,0.223679999999999,0.202999999999989,0.0625171443152497,0.0125034288630499,25,0,0,0,0,25
"asymmetric_pi",100,500,5,"2-2-2-2-2","estimated_Z","mixture_fastica_start","refined",0.124327421363381,0.123373634034007,0.00493054232215035,0.000986108464430069,25,0.992181492151235,0.992312599204668,0.000623118654389207,0.000124623730877841,25,0.203336006431121,0.200279923001404,0.00959321290417109,0.00191864258083422,25,0.292878548658742,0.27321788832812,0.0529989257898363,0.0105997851579673,25,0.0768768672728624,0.0770835124135626,0.00154860860253318,0.000309721720506637,25,0.11477180981657,0.114255095717131,0.0493195178095037,0.00986390356190074,25,0.0750853799929104,0.0750929629241454,0.00479906125293138,0.000959812250586276,25,0.0464030930581591,0.0481657045370857,0.0185838438936572,0.00371676877873143,25,3.81328,3.77100000000002,0.18782317038462,0.0375646340769239,25,0.223679999999999,0.202999999999989,0.0625171443152497,0.0125034288630499,25,2.96124,2.94200000000001,0.161945278823839,0.0323890557647678,25
"asymmetric_pi",100,500,5,"2-2-2-2-2","estimated_Z","mixture_identity_start","pretrain",1.30149243146276,1.40220874579695,0.338983189226502,0.0677966378453005,25,0.635374287229406,0.603448207348098,0.241550580102725,0.0483101160205449,25,0.745843276530558,0.745843276530558,0,0,25,0.279664269514094,0.271630442162522,0.047200302258225,0.00944006045164499,25,0.374383034367994,0.375341056700295,0.00710775361286727,0.00142155072257345,25,0.417216202602692,0.417870348995247,0.126044928306804,0.0252089856613608,25,0.101531813237516,0.101387677826333,0.00935317043859802,0.0018706340877196,25,0.199285306463753,0.203359029562527,0.0584373893576629,0.0116874778715326,25,0.850279999999992,0.856999999999971,0.0700717013731954,0.0140143402746391,25,0.221919999999995,0.216999999999985,0.0224702024912975,0.0044940404982595,25,0,0,0,0,25
"asymmetric_pi",100,500,5,"2-2-2-2-2","estimated_Z","mixture_identity_start","refined",0.124344851177085,0.123369077595972,0.0049387383277682,0.000987747665553639,25,0.992179263886328,0.992313167016727,0.000624268771414709,0.000124853754282942,25,0.203334884833156,0.200281351580209,0.00959413851439544,0.00191882770287909,25,0.292876547010998,0.273218511119868,0.0530013067785228,0.0106002613557046,25,0.0768782367779174,0.0770832811171588,0.00154853607777775,0.000309707215555549,25,0.114773386228098,0.114256355044891,0.0493187723351963,0.00986375446703927,25,0.0750911216018261,0.0751000352118146,0.00480112327394441,0.000960224654788881,25,0.0464030964878709,0.0481657054973966,0.0185838368826481,0.00371676737652963,25,3.81431999999998,3.77599999999995,0.177111480900215,0.0354222961800431,25,0.221919999999995,0.216999999999985,0.0224702024912975,0.0044940404982595,25,2.96403999999999,2.93699999999995,0.156660588534578,0.0313321177069155,25
"asymmetric_pi",100,500,5,"2-2-2-2-2","oracle_Z","fastica_only","pretrain",1.44498009874155,1.42224617407084,0.0954806049165872,0.0190961209833174,25,0.161629297452383,0.209719244087034,0.111141685678031,0.0222283371356063,25,0.745843276530558,0.745843276530558,0,0,25,0.186622650909651,0.166701600087814,0.0571952813571445,0.0114390562714289,25,0.376442932582228,0.377029106276789,0.00777555901832272,0.00155511180366454,25,0.425138608472989,0.440309159206191,0.164481456939331,0.0328962913878662,25,0.172771974031755,0.0910867365526065,0.173023056652295,0.0346046113304589,25,0.19337534710241,0.207314874383466,0.0727651900441224,0.0145530380088245,25,0.0302400000000009,0.0269999999999868,0.00778502836646322,0.00155700567329264,25,0.0239200000000031,0.0200000000000102,0.00759341820262901,0.0015186836405258,25,0,0,0,0,25
"asymmetric_pi",100,500,5,"2-2-2-2-2","oracle_Z","fastica_only","refined",0.218101925860499,0.124995198337439,0.163540037787088,0.0327080075574176,25,0.96300809077521,0.992109192117467,0.0524625996738907,0.0104925199347781,25,0.24855463764112,0.201217030116512,0.0858313116497104,0.0171662623299421,25,0.295963980896109,0.274414598457223,0.0555483535105659,0.0111096707021132,25,0.0782286714266678,0.0780710167037889,0.00358276719508881,0.000716553439017761,25,0.188346432468467,0.138779127557905,0.149601055375184,0.0299202110750368,25,0.184371008138275,0.0765980217282983,0.223603381957362,0.0447206763914724,25,0.0617290646482778,0.0558564454673182,0.0337889890353882,0.00675779780707764,25,3.22428,2.98199999999997,0.723692816969553,0.144738563393911,25,0.0239200000000031,0.0200000000000102,0.00759341820262901,0.0015186836405258,25,3.19404,2.95400000000001,0.718780186612472,0.143756037322494,25
"asymmetric_pi",100,500,5,"2-2-2-2-2","oracle_Z","mixture_fastica_start","pretrain",1.29874768679338,1.27674495022053,0.198012629066843,0.0396025258133685,25,0.298849151550314,0.225367704753522,0.204630801429355,0.0409261602858711,25,0.745843276530558,0.745843276530558,0,0,25,0.186622650909651,0.166701600087814,0.0571952813571445,0.0114390562714289,25,0.376442932582228,0.377029106276789,0.00777555901832272,0.00155511180366454,25,0.421569236157017,0.452212207333084,0.12336966955612,0.0246739339112239,25,0.0897493872296514,0.089399454782279,0.00884761767867798,0.0017695235357356,25,0.19989429149374,0.216509965432381,0.0601374568745637,0.0120274913749127,25,0.22592,0.213000000000022,0.0415871775110212,0.00831743550220424,25,0.219600000000002,0.206000000000017,0.0416423262238524,0.00832846524477048,25,0,0,0,0,25
"asymmetric_pi",100,500,5,"2-2-2-2-2","oracle_Z","mixture_fastica_start","refined",0.123756630410014,0.12309499759669,0.00516518192922312,0.00103303638584462,25,0.992251860853218,0.992347283619531,0.000649961381830991,0.000129992276366198,25,0.203252813806767,0.200143230261232,0.0096291415748769,0.00192582831497538,25,0.2927928361029,0.272995879167416,0.0529981952904421,0.0105996390580884,25,0.0768105565131597,0.0770081721712873,0.001563978819411,0.0003127957638822,25,0.114759696350152,0.114331170180226,0.0493192874757529,0.00986385749515057,25,0.0748579887979588,0.0750015411655838,0.00489962725533032,0.000979925451066065,25,0.0464030648773373,0.0481656903454836,0.0185837238042485,0.00371674476084971,25,3.22412,3.17500000000001,0.177912974981215,0.035582594996243,25,0.219600000000002,0.206000000000017,0.0416423262238524,0.00832846524477048,25,2.9982,2.949,0.173715764013133,0.0347431528026265,25
