"mixture_scenario","n","p","H","G_config","estimated_vs_oracle_signal_rmse_mean","estimated_vs_oracle_signal_rmse_median","estimated_vs_oracle_signal_rmse_sd","estimated_vs_oracle_signal_rmse_se","estimated_vs_oracle_signal_rmse_n_replications","estimated_vs_oracle_alpha_rmse_mean","estimated_vs_oracle_alpha_rmse_median","estimated_vs_oracle_alpha_rmse_sd","estimated_vs_oracle_alpha_rmse_se","estimated_vs_oracle_alpha_rmse_n_replications","estimated_vs_oracle_linear_predictor_rmse_mean","estimated_vs_oracle_linear_predictor_rmse_median","estimated_vs_oracle_linear_predictor_rmse_sd","estimated_vs_oracle_linear_predictor_rmse_se","estimated_vs_oracle_linear_predictor_rmse_n_replications","estimated_vs_oracle_probability_rmse_mean","estimated_vs_oracle_probability_rmse_median","estimated_vs_oracle_probability_rmse_sd","estimated_vs_oracle_probability_rmse_se","estimated_vs_oracle_probability_rmse_n_replications","estimated_vs_oracle_subspace_distance_mean","estimated_vs_oracle_subspace_distance_median","estimated_vs_oracle_subspace_distance_sd","estimated_vs_oracle_subspace_distance_se","estimated_vs_oracle_subspace_distance_n_replications","estimated_vs_full_oracle_z_rmse_mean","estimated_vs_full_oracle_z_rmse_median","estimated_vs_full_oracle_z_rmse_sd","estimated_vs_full_oracle_z_rmse_se","estimated_vs_full_oracle_z_rmse_n_replications","oracle_lowrank_vs_full_oracle_z_rmse_mean","oracle_lowrank_vs_full_oracle_z_rmse_median","oracle_lowrank_vs_full_oracle_z_rmse_sd","oracle_lowrank_vs_full_oracle_z_rmse_se","oracle_lowrank_vs_full_oracle_z_rmse_n_replications"
"asymmetric_pi",100,500,5,"2-2-2-2-2",0.495702991416488,0.495209468893965,0.0151752447238431,0.00303504894476861,25,0.207125478864037,0.206655591263634,0.0102475881561973,0.00204951763123945,25,0.53731025831237,0.53518039667102,0.0158769709090021,0.00317539418180041,25,0.0795301520147517,0.0794240863266863,0.00128382253212516,0.000256764506425032,25,0.133115590792111,0.131669609403275,0.00597006658397694,0.00119401331679539,25,1.1029067075602,1.1017987885178,0.00765448608855122,0.00153089721771024,25,0.965020327312643,0.965297846651056,0.0029840512817815,0.000596810256356299,25
"asymmetric_pi",100,500,5,"3-3-3-3-3",0.548720366308802,0.545280536325081,0.0159567275008504,0.00319134550017008,25,0.200343332070618,0.201729559345612,0.00721170872221851,0.0014423417444437,25,0.584189723642426,0.582709203425275,0.0160798384770863,0.00321596769541726,25,0.0874107538706294,0.0874850435632684,0.00130800527109305,0.00026160105421861,25,0.142696969507666,0.142784942070988,0.00665157011394825,0.00133031402278965,25,1.12572085753137,1.12498084406168,0.0084465167648369,0.00168930335296738,25,0.96447514303628,0.965473763620456,0.00376060661309121,0.000752121322618243,25
"asymmetric_pi",100,500,10,"2-2-2-2-2-2-2-2-2-2",0.826445998759809,0.829034310753819,0.0303308366396535,0.0060661673279307,25,0.242370090844605,0.24432458396959,0.0124884011511527,0.00249768023023054,25,0.861288967596766,0.863512281267597,0.0317943771268428,0.00635887542536856,25,0.118184666938286,0.118473449429707,0.00125860818750989,0.000251721637501977,25,0.179512425829394,0.177526488318524,0.00708160131854485,0.00141632026370897,25,1.26522891218357,1.26944766273685,0.0216369131380677,0.00432738262761354,25,0.934084257082276,0.933751789189018,0.00279673662240344,0.000559347324480688,25
"asymmetric_pi",100,500,10,"3-3-3-3-3-3-3-3-3-3",0.872807183776602,0.869512069254311,0.0122580589400123,0.00245161178800245,25,0.251949368893429,0.250522414813618,0.0092084507006245,0.0018416901401249,25,0.908483610251335,0.909642971244183,0.0126675353139499,0.00253350706278998,25,0.124543650090022,0.124701992348367,0.000975016357186455,0.000195003271437291,25,0.183389880040657,0.183090785592609,0.00771702907484028,0.00154340581496806,25,1.29692256799786,1.29703077350279,0.00975110614859848,0.0019502212297197,25,0.933804011250893,0.933563689734113,0.0027287023765335,0.0005457404753067,25
"asymmetric_pi",100,1000,5,"2-2-2-2-2",0.460400244298196,0.458052829954951,0.0100375141260055,0.00200750282520109,25,0.210431145297081,0.209013095154886,0.0102380380220135,0.0020476076044027,25,0.506273232942697,0.501898392923379,0.0118326796109477,0.00236653592218955,25,0.0760164815580854,0.0757128984315994,0.00103120160891891,0.000206240321783782,25,0.101742450299413,0.101549268785781,0.0056553061080713,0.00113106122161426,25,1.09021160249677,1.0905135183903,0.00631610562531677,0.00126322112506335,25,0.966876670162941,0.96715810393873,0.00262273215696894,0.000524546431393788,25
"asymmetric_pi",100,1000,5,"3-3-3-3-3",0.4926441411123,0.493521014764611,0.0182414676421916,0.00364829352843832,25,0.191397844304266,0.191231743649556,0.00932092107978952,0.0018641842159579,25,0.528545803765562,0.528942454166196,0.0197263408254546,0.00394526816509092,25,0.083760641364169,0.0836747978619678,0.000992084323147546,0.000198416864629509,25,0.111702310493349,0.113269530356179,0.00649223540486804,0.00129844708097361,25,1.10048556440347,1.10092246408735,0.00991989027642629,0.00198397805528526,25,0.96675803763654,0.966397242014245,0.00205064915221562,0.000410129830443123,25
"asymmetric_pi",100,1000,10,"2-2-2-2-2-2-2-2-2-2",0.706786463906576,0.698156066696333,0.0267519510487588,0.00535039020975176,25,0.221568698041698,0.220369809123347,0.0084011279673434,0.00168022559346868,25,0.740721577927171,0.731527676373428,0.02750252846585,0.00550050569317001,25,0.111126495292446,0.110936957298058,0.0013627978237707,0.000272559564754139,25,0.137561588158752,0.137342769692898,0.00548569284594698,0.0010971385691894,25,1.19181203480549,1.18730220244246,0.0175957698972733,0.00351915397945467,25,0.938319581939339,0.938249520214605,0.00245072886878343,0.000490145773756687,25
"asymmetric_pi",100,1000,10,"3-3-3-3-3-3-3-3-3-3",0.780762138697338,0.78199204262316,0.0268376809675444,0.00536753619350888,25,0.240973346819714,0.241126827126966,0.0141030823105792,0.00282061646211584,25,0.817139427696907,0.818568297679695,0.0292834305443309,0.00585668610886619,25,0.117919710978672,0.118170615819202,0.000952751589448073,0.000190550317889615,25,0.144001043989406,0.144204703317444,0.00639345750817458,0.00127869150163492,25,1.24100674116261,1.24076302690834,0.018162308183916,0.00363246163678319,25,0.938840688370483,0.938759062289148,0.00234478463324845,0.00046895692664969,25
"asymmetric_pi",100,1500,5,"2-2-2-2-2",0.446737625156551,0.448344869337992,0.0119925876587272,0.00239851753174545,25,0.208767132732985,0.211201677530987,0.011238931507426,0.00224778630148519,25,0.49315713347032,0.496201725600572,0.0149162054623029,0.00298324109246057,25,0.0747272914301649,0.074533079777729,0.000875037506134791,0.000175007501226958,25,0.0889439992376298,0.0897233845743237,0.00443908595157654,0.000887817190315308,25,1.08539448529631,1.08749017780577,0.00649896455853611,0.00129979291170722,25,0.968019978672067,0.968545724950885,0.00232934438530835,0.000465868877061669,25
"asymmetric_pi",100,1500,5,"3-3-3-3-3",0.472721370792852,0.47224490821853,0.0152110823139496,0.00304221646278993,25,0.188447900699497,0.188510068489848,0.00745902933668732,0.00149180586733746,25,0.508922709857366,0.507225262287374,0.0161798051791858,0.00323596103583717,25,0.0817868881626037,0.0817930520897878,0.00080929890192607,0.000161859780385214,25,0.0960358873876233,0.095849124997704,0.00495853768819258,0.000991707537638517,25,1.09238159368209,1.09201380984561,0.00684187830731011,0.00136837566146202,25,0.967794753997068,0.968542196335143,0.00203858561785731,0.000407717123571462,25
