"mixture_scenario","signal_source","stage","comparison_method","H","G_config","factor_score_rmse_difference_vs_fastica_mean","factor_score_rmse_difference_vs_fastica_median","factor_score_rmse_difference_vs_fastica_sd","factor_score_rmse_difference_vs_fastica_se","factor_score_rmse_difference_vs_fastica_n_replications","lambda_rmse_difference_vs_fastica_mean","lambda_rmse_difference_vs_fastica_median","lambda_rmse_difference_vs_fastica_sd","lambda_rmse_difference_vs_fastica_se","lambda_rmse_difference_vs_fastica_n_replications","alpha_rmse_difference_vs_fastica_mean","alpha_rmse_difference_vs_fastica_median","alpha_rmse_difference_vs_fastica_sd","alpha_rmse_difference_vs_fastica_se","alpha_rmse_difference_vs_fastica_n_replications","probability_rmse_difference_vs_fastica_mean","probability_rmse_difference_vs_fastica_median","probability_rmse_difference_vs_fastica_sd","probability_rmse_difference_vs_fastica_se","probability_rmse_difference_vs_fastica_n_replications","marginal_mu_rmse_difference_vs_fastica_mean","marginal_mu_rmse_difference_vs_fastica_median","marginal_mu_rmse_difference_vs_fastica_sd","marginal_mu_rmse_difference_vs_fastica_se","marginal_mu_rmse_difference_vs_fastica_n_replications","marginal_var_rmse_difference_vs_fastica_mean","marginal_var_rmse_difference_vs_fastica_median","marginal_var_rmse_difference_vs_fastica_sd","marginal_var_rmse_difference_vs_fastica_se","marginal_var_rmse_difference_vs_fastica_n_replications","marginal_weight_rmse_difference_vs_fastica_mean","marginal_weight_rmse_difference_vs_fastica_median","marginal_weight_rmse_difference_vs_fastica_sd","marginal_weight_rmse_difference_vs_fastica_se","marginal_weight_rmse_difference_vs_fastica_n_replications","end_to_end_seconds_difference_vs_fastica_mean","end_to_end_seconds_difference_vs_fastica_median","end_to_end_seconds_difference_vs_fastica_sd","end_to_end_seconds_difference_vs_fastica_se","end_to_end_seconds_difference_vs_fastica_n_replications"
"asymmetric_pi","estimated_Z","pretrain","mixture_fastica_start",10,"2-2-2-2-2-2-2-2-2-2",-0.000401091656014674,-0.00168024375925002,0.0974298665339148,0.0056251159670465,300,8.58545135736429e-07,0,1.3133679978281e-05,7.58273367091096e-07,300,0,0,0,0,300,7.37458731496777e-07,0,1.27895375984297e-05,7.38404297526425e-07,300,-0.0189392351422259,-0.02520128842161,0.115739232305892,0.00668220769276071,300,-0.0664211693228999,0.000327726755346001,0.125384666609075,0.00723908710190011,300,0.000776549351856693,2.59650891785007e-05,0.0546766147513329,0.00315675582450595,300,0.625370000000015,0.553500000001805,0.22138073810536,0.0127814228738528,300
"asymmetric_pi","estimated_Z","refined","mixture_fastica_start",10,"2-2-2-2-2-2-2-2-2-2",-0.0469553690609966,-0.000130672565500804,0.100923341428747,0.00582681183414034,300,-0.0143983938286574,-0.000387942282729495,0.0327796334014446,0.00189253301682613,300,-0.00126657873898492,-0.00027331347686152,0.0027564723156442,0.000159145003345093,300,-0.000706634828380884,-7.09819381973023e-05,0.00162220387162386,9.3657984196249e-05,300,-0.035589353466614,1.73287534598957e-05,0.0852235509860409,0.00492038401030865,300,-0.0437481947723316,0.000206583062141098,0.112904015292194,0.00651851636215376,300,-0.00936190880830957,-2.54499546437081e-13,0.0217249448048634,0.00125429027312177,300,-1.37547666666663,0.55649999999878,5.13635473945159,0.296547579147578,300
"asymmetric_pi","oracle_Z","pretrain","mixture_fastica_start",10,"2-2-2-2-2-2-2-2-2-2",0.000605860303747292,0.000147884482250005,0.0933497237169019,0.00538954881167305,300,1.6647509510174e-08,0,2.88343322911075e-07,1.6647509510174e-08,300,0,0,0,0,300,5.07300515669349e-09,0,8.78670267845197e-08,5.07300515669345e-09,300,-0.00189975218015067,-0.00324076818300101,0.113499776989635,0.00655291267979282,300,-0.0464772291233346,0.000622063352952949,0.103980303839414,0.00600330564121047,300,0.00512860771136026,0.00862981246510651,0.0554821579942432,0.00320326388531977,300,0.676199999999833,0.57100000000355,0.289036642317336,0.016687538324758,300
"asymmetric_pi","oracle_Z","refined","mixture_fastica_start",10,"2-2-2-2-2-2-2-2-2-2",-0.0422340293006928,-0.000219282988894502,0.0978266729790461,0.00564802559783778,300,-0.0134309132440203,-0.000378136209396508,0.0315979184264494,0.00182430667093424,300,-0.00148010725119606,-0.000247192462319995,0.00324645543219489,0.000187434191768984,300,-0.000665531382033449,-8.27043083873012e-05,0.00143119774965936,8.2630240602942e-05,300,-0.0279866065527565,1.65790276710036e-05,0.082391816328238,0.00475689373361304,300,-0.0307682929423433,0.000151696549160651,0.103037817046602,0.00594889114085668,300,-0.00942850982509399,-1.86149706760119e-13,0.0246810159484935,0.00142495912017362,300,-0.490010000000353,0.58699999999226,3.41041552846893,0.196900432341002,300
"asymmetric_pi","estimated_Z","pretrain","mixture_fastica_start",10,"3-3-3-3-3-3-3-3-3-3",-0.0327286061037616,-0.011831300117685,0.128994974944162,0.00744752835081211,300,-2.23870831571663e-05,0,5.87562349866639e-05,3.39229280861193e-06,300,0,0,0,0,300,-2.07277419309032e-05,0,5.36764872707617e-05,3.09901343749278e-06,300,-0.179693060919501,-0.194309219760718,0.110425147726872,0.0063753988765414,300,-0.179040323864928,-0.170572137021928,0.0795200408065377,0.00459109169656246,300,-0.0887764990403176,-0.0930726660421294,0.057638607375955,0.00332776654842228,300,0.919229999999953,0.947499999998386,0.272558809768666,0.0157361902189943,300
"asymmetric_pi","estimated_Z","refined","mixture_fastica_start",10,"3-3-3-3-3-3-3-3-3-3",-0.167518525049032,-0.156582130306158,0.148226810969388,0.00855787892142959,300,-0.0598157251019624,-0.0494444088435674,0.058845479348493,0.0033974453342445,300,-0.000640047952531473,-0.000354241952514003,0.00374613320895486,0.000216283101661028,300,-0.0032502502886116,-0.002121823886592,0.0033168748553866,0.000191499859062575,300,-0.21250953794719,-0.093643911744143,0.328332416621995,0.0189562809120389,300,-0.0845403149810306,-0.083260022262983,0.0754301038298691,0.00435495907511764,300,-0.0367595542551,-0.0254383483892545,0.0451028770254461,0.00260401581918679,300,-19.8177600000002,-19.0744999999915,12.0450192288407,0.695419509416538,300
"asymmetric_pi","oracle_Z","pretrain","mixture_fastica_start",10,"3-3-3-3-3-3-3-3-3-3",-0.00331672751650042,-0.00539923310373003,0.0951331049251008,0.00549251237373519,300,6.56200158326941e-07,0,6.29227937284227e-06,3.63284918972682e-07,300,0,0,0,0,300,5.68991195103453e-07,0,5.09801928076273e-06,2.94334280408226e-07,300,-0.164490948453023,-0.181792752236978,0.112591926787492,0.0065004979239337,300,-0.171303220384503,-0.167967500322825,0.0766869049336746,0.00442752052067763,300,-0.0894213633193784,-0.0922317811519179,0.0669925653093535,0.00386781756150588,300,1.01132000000024,0.998000000006866,0.424040625932776,0.0244819969529626,300
"asymmetric_pi","oracle_Z","refined","mixture_fastica_start",10,"3-3-3-3-3-3-3-3-3-3",-0.152009877393169,-0.116715898626574,0.160991954088054,0.0092948748030102,300,-0.0524028957071524,-0.0325426744245225,0.0631060722050544,0.00364343077750881,300,-0.00069696015725972,-0.000228125759180006,0.00302613262470281,0.000174713848547568,300,-0.00328514243032622,-0.0020146822936911,0.00357172510517008,0.000206213645094129,300,-0.190162892016686,-0.0665270416950705,0.303518528771036,0.0175236504289997,300,-0.0798456254029076,-0.0707022970302937,0.0886619650862793,0.00511890094094445,300,-0.0339533363498655,-0.0156872752717237,0.0447512682153162,0.002583715675069,300,-17.8656999999999,-15.6679999999942,12.3941303543563,0.715575449645894,300
"asymmetric_pi","estimated_Z","pretrain","mixture_fastica_start",5,"2-2-2-2-2",0.00887778259599681,0.002132279182125,0.204205339316268,0.0117898007624206,300,4.3160511000025e-07,0,5.2807838629129e-06,3.04886198478499e-07,300,0,0,0,0,300,3.60395992279883e-07,0,4.40993660416872e-06,2.546078085526e-07,300,-0.00814602570400808,3.86848442590071e-05,0.162757732895323,0.00939682208998082,300,-0.0189510688937303,0.000424401896541297,0.0763312753584141,0.00440698823757678,300,-0.00218219153247152,-2.36792199737046e-09,0.0790316254694793,0.00456289302392975,300,0.330606666666692,0.293499999999995,0.130192674129085,0.00751667754549447,300
"asymmetric_pi","estimated_Z","refined","mixture_fastica_start",5,"2-2-2-2-2",-0.0277262039342904,8.81842538132532e-05,0.102925731078814,0.00594241985448925,300,-0.014792715108231,-0.00018277101844201,0.0527751981869675,0.00304697748797816,300,-0.000630639040156993,-9.88158502440162e-05,0.0034357940396674,0.000198365661368208,300,-0.000311987000998931,-3.20794035587463e-05,0.0011050755572779,6.38015670469271e-05,300,-0.020120401363989,1.37542048196e-05,0.0759973391964927,0.00438770842427904,300,-0.0236252734128657,0.000156034750882349,0.0998109709124186,0.00576258909243628,300,-0.00655794418560915,-1.10101164296772e-13,0.0254233846206714,0.0014678197954456,300,0.212363333333376,0.32499999999976,0.622777008242556,0.0359560473353949,300
