"mixture_scenario","signal_source","stage","rotation_method","factor_score_rmse","lambda_rmse","probability_rmse","end_to_end_seconds"
"asymmetric_pi","estimated_Z","pretrain","fastica_only",1.40240229369165,0.662569899955768,0.373120869770096,9.24901583333333
"asymmetric_pi","estimated_Z","pretrain","mixture_fastica_start",1.39216577742203,0.662563719463647,0.373115348657959,9.85816166666657
"asymmetric_pi","estimated_Z","pretrain","mixture_identity_start",1.35501398918777,0.662563571343829,0.373115242641106,10.0103383333335
"asymmetric_pi","estimated_Z","refined","fastica_only",0.19730273993557,0.177638707833211,0.0703968600953789,21.8051358333334
"asymmetric_pi","estimated_Z","refined","mixture_fastica_start",0.118015398019155,0.146599678987884,0.06887442543451,14.3232433333331
"asymmetric_pi","estimated_Z","refined","mixture_identity_start",0.121143532295848,0.14768948729394,0.0688904272393157,14.6282450000001
"asymmetric_pi","oracle_Z","pretrain","fastica_only",1.40575792159064,0.662570472851076,0.374969480031101,0.948867500000189
"asymmetric_pi","oracle_Z","pretrain","mixture_fastica_start",1.40055100370666,0.662570786285407,0.37496972978356,1.60111166666689
"asymmetric_pi","oracle_Z","pretrain","mixture_identity_start",1.36815086114105,0.662570786285407,0.37496972978356,1.95564416666698
"asymmetric_pi","oracle_Z","refined","fastica_only",0.196834862550303,0.17796084785171,0.0703873546424822,12.9306783333335
"asymmetric_pi","oracle_Z","refined","mixture_fastica_start",0.116500484588369,0.146621361575012,0.0687085684758445,6.75957333333353
"asymmetric_pi","oracle_Z","refined","mixture_identity_start",0.118094161171413,0.147445859868499,0.0687112057826286,7.2100783333335
"moderate_overlap","estimated_Z","pretrain","fastica_only",1.40560162979405,0.662569384537693,0.387655166942639,9.10122083333331
"moderate_overlap","estimated_Z","pretrain","mixture_fastica_start",1.38785669599434,0.662561968911949,0.387647791272723,9.91379999999988
"moderate_overlap","estimated_Z","pretrain","mixture_identity_start",1.37219405847436,0.662562038550696,0.387647847856668,10.1104191666665
"moderate_overlap","estimated_Z","refined","fastica_only",0.150815146512957,0.147327936917581,0.0692571999128691,20.7454691666666
"moderate_overlap","estimated_Z","refined","mixture_fastica_start",0.123782533009092,0.137527687079274,0.0686615545989307,15.3923174999999
"moderate_overlap","estimated_Z","refined","mixture_identity_start",0.128036383787196,0.139135116600011,0.068680925024511,16.9216416666663
"moderate_overlap","oracle_Z","pretrain","fastica_only",1.41060405507004,0.662570642605543,0.386557682531827,0.202548333333194
"moderate_overlap","oracle_Z","pretrain","mixture_fastica_start",1.40553467180516,0.662570786285407,0.386557816043111,1.06271583333326
"moderate_overlap","oracle_Z","pretrain","mixture_identity_start",1.39262590463073,0.662570786285407,0.386557816043111,1.47843583333344
"moderate_overlap","oracle_Z","refined","fastica_only",0.142651230191078,0.144528972299097,0.0690580912789006,9.17379583333315
"moderate_overlap","oracle_Z","refined","mixture_fastica_start",0.118347443416457,0.136223636551326,0.0684232333818909,6.81806666666657
"moderate_overlap","oracle_Z","refined","mixture_identity_start",0.123899504497664,0.138358717141131,0.0684549458038299,8.5471966666667
"separated","estimated_Z","pretrain","fastica_only",1.39969809081723,0.662569938677819,0.38999319347406,7.53271916666686
"separated","estimated_Z","pretrain","mixture_fastica_start",1.39595115759137,0.662565751920828,0.389989315626088,8.23067166666658
"separated","estimated_Z","pretrain","mixture_identity_start",1.38158942859025,0.662565753798508,0.389989315740229,8.41670833333332
"separated","estimated_Z","refined","fastica_only",0.131890311552943,0.145108665936528,0.0672822389482597,15.4907858333338
"separated","estimated_Z","refined","mixture_fastica_start",0.113346415351279,0.137887894753478,0.0669056652341633,13.8305124999999
"separated","estimated_Z","refined","mixture_identity_start",0.117674764584069,0.139635010650285,0.0669284975808601,14.0008675000001
"separated","oracle_Z","pretrain","fastica_only",1.40111498368959,0.662570778957357,0.390118476766784,0.188144166667284
"separated","oracle_Z","pretrain","mixture_fastica_start",1.40497668845484,0.662570786285407,0.390118482686722,0.885560000000106
"separated","oracle_Z","pretrain","mixture_identity_start",1.37697044086067,0.662570786285407,0.390118482686722,1.28865083333324
"separated","oracle_Z","refined","fastica_only",0.123678897725897,0.142402924515449,0.0671235407022928,49.6449441666669
"separated","oracle_Z","refined","mixture_fastica_start",0.109054919343368,0.136960278870132,0.0667459310454829,6.18842500000012
"separated","oracle_Z","refined","mixture_identity_start",0.118286325309651,0.140481357572833,0.0668107433418519,7.66508749999997
