"mixture_scenario","n","p","H","G_config","estimated_z_largest_eigengap_selects_true_H_mean","estimated_z_largest_eigengap_selects_true_H_median","estimated_z_largest_eigengap_selects_true_H_sd","estimated_z_largest_eigengap_selects_true_H_se","estimated_z_largest_eigengap_selects_true_H_n_replications","estimated_z_largest_relative_eigengap_selects_true_H_mean","estimated_z_largest_relative_eigengap_selects_true_H_median","estimated_z_largest_relative_eigengap_selects_true_H_sd","estimated_z_largest_relative_eigengap_selects_true_H_se","estimated_z_largest_relative_eigengap_selects_true_H_n_replications","estimated_z_largest_sv_ratio_selects_true_H_mean","estimated_z_largest_sv_ratio_selects_true_H_median","estimated_z_largest_sv_ratio_selects_true_H_sd","estimated_z_largest_sv_ratio_selects_true_H_se","estimated_z_largest_sv_ratio_selects_true_H_n_replications","estimated_z_eigengap_at_true_H_mean","estimated_z_eigengap_at_true_H_median","estimated_z_eigengap_at_true_H_sd","estimated_z_eigengap_at_true_H_se","estimated_z_eigengap_at_true_H_n_replications","estimated_z_relative_eigengap_at_true_H_mean","estimated_z_relative_eigengap_at_true_H_median","estimated_z_relative_eigengap_at_true_H_sd","estimated_z_relative_eigengap_at_true_H_se","estimated_z_relative_eigengap_at_true_H_n_replications","estimated_z_sv_ratio_at_true_H_mean","estimated_z_sv_ratio_at_true_H_median","estimated_z_sv_ratio_at_true_H_sd","estimated_z_sv_ratio_at_true_H_se","estimated_z_sv_ratio_at_true_H_n_replications","eigengap_diagnostic_seconds_mean","eigengap_diagnostic_seconds_median","eigengap_diagnostic_seconds_sd","eigengap_diagnostic_seconds_se","eigengap_diagnostic_seconds_n_replications"
"asymmetric_pi",100,500,5,"2-2-2-2-2",0.88,1,0.33166247903554,0.066332495807108,25,1,1,0,0,25,1,1,0,0,25,0.515466962800745,0.511455562222997,0.0510509168069449,0.010210183361389,25,0.744674286028973,0.750220068426167,0.0230128257884865,0.00460256515769729,25,1.98442377934355,2.00088085529266,0.0839916342885123,0.0167983268577025,25,0.986280000000002,0.987,0.0069911849257955,0.0013982369851591,25
"asymmetric_pi",100,500,5,"3-3-3-3-3",0.04,0,0.2,0.04,25,1,1,0,0,25,1,1,0,0,25,0.476486003245731,0.479486846462589,0.0541481031820324,0.0108296206364065,25,0.703854319712786,0.710242859840746,0.0308068293148823,0.00616136586297647,25,1.84469675943549,1.85773142117422,0.0953836363903474,0.0190767272780695,25,0.976960000000108,0.97400000000016,0.0084925457511588,0.00169850915023176,25
"asymmetric_pi",100,500,10,"2-2-2-2-2-2-2-2-2-2",0.52,1,0.509901951359279,0.101980390271856,25,1,1,0,0,25,1,1,0,0,25,0.225659080688584,0.224361392332954,0.0253739932532055,0.0050747986506411,25,0.601963201657041,0.605068056345348,0.025877271167521,0.0051754542335042,25,1.5874969856296,1.59125165624678,0.0526228223270108,0.0105245644654022,25,0.998960000000662,1.00200000000041,0.026244809011493,0.0052489618022986,25
"asymmetric_pi",100,500,10,"3-3-3-3-3-3-3-3-3-3",0.12,0,0.33166247903554,0.066332495807108,25,1,1,0,0,25,1,1,0,0,25,0.196868922082865,0.194837695224168,0.0314206646473829,0.00628413292947657,25,0.554900384524758,0.559166571908602,0.0490952649705924,0.00981905299411848,25,1.50537948510077,1.50613097514339,0.0819727689636943,0.0163945537927389,25,0.971199999999662,0.968000000000757,0.00855862138379549,0.0017117242767591,25
"asymmetric_pi",100,1000,5,"2-2-2-2-2",0.24,0,0.435889894354067,0.0871779788708135,25,1,1,0,0,25,1,1,0,0,25,0.452160547367361,0.467103810808004,0.0562155425554647,0.0112431085110929,25,0.754220175180679,0.760213881168619,0.031163148605576,0.00623262972111519,25,2.02713839899864,2.04215160883381,0.112781285271863,0.0225562570543725,25,1.77232000000001,1.77100000000007,0.00726131301257734,0.00145226260251547,25
"asymmetric_pi",100,1000,5,"3-3-3-3-3",0.04,0,0.2,0.04,25,1,1,0,0,25,1,1,0,0,25,0.364588489982936,0.371722072111141,0.0685586092583538,0.0137117218516708,25,0.661329572204283,0.664508988051304,0.055832340244319,0.0111664680488638,25,1.73345136798129,1.72647206308402,0.130941432770377,0.0261882865540754,25,1.78128000000011,1.77700000000004,0.0142522512841532,0.00285045025683064,25
"asymmetric_pi",100,1000,10,"2-2-2-2-2-2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.186863106100015,0.185260590583294,0.0263382756767462,0.00526765513534923,25,0.602177277615212,0.605058172609767,0.0391168885141183,0.00782337770282367,25,1.59086583079068,1.59123174494856,0.0768751699853568,0.0153750339970714,25,1.80491999999998,1.80200000000332,0.0110034842966602,0.00220069685933205,25
"asymmetric_pi",100,1000,10,"3-3-3-3-3-3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.180651927199185,0.181235871288238,0.019037131422858,0.00380742628457161,25,0.572264671739564,0.579920250520799,0.0394799117384485,0.0078959823476897,25,1.53352873868969,1.54288702510144,0.0682853869810522,0.0136570773962104,25,1.75907999999967,1.75200000000041,0.0249781904861006,0.00499563809722012,25
"asymmetric_pi",100,1500,5,"2-2-2-2-2",0.24,0,0.435889894354067,0.0871779788708135,25,1,1,0,0,25,1,1,0,0,25,0.418828845410246,0.428658036412695,0.0349076879900795,0.00698153759801591,25,0.756478384867526,0.762136161006678,0.023434719225069,0.0046869438450138,25,2.03297623422317,2.050386756468,0.0949919376484374,0.0189983875296875,25,2.55779999999995,2.55700000000002,0.013322912594494,0.0026645825188988,25
"asymmetric_pi",100,1500,5,"3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.341180605502712,0.339553282061581,0.041325832431918,0.00826516648638359,25,0.655195463972842,0.65897647099725,0.035726474872685,0.007145294974537,25,1.70937738655991,1.71241028598415,0.0860828123877227,0.0172165624775445,25,2.55528000000042,2.54899999999907,0.029296643721744,0.0058593287443488,25
"asymmetric_pi",100,1500,10,"2-2-2-2-2-2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.183426578089515,0.18534097262817,0.01885508013245,0.00377101602648999,25,0.615760378250682,0.613119278931555,0.0309253924528766,0.00618507849057532,25,1.61680505001661,1.6077238547312,0.0621033035425025,0.0124206607085005,25,2.56444000000018,2.55500000000029,0.0257667097897161,0.00515334195794321,25
"asymmetric_pi",100,1500,10,"3-3-3-3-3-3-3-3-3-3",0,0,0,0,25,0.96,1,0.2,0.04,25,0.96,1,0.2,0.04,25,0.154494306249,0.152658431871788,0.0229568799520724,0.00459137599041448,25,0.536033576544096,0.528595851501999,0.0465752219509448,0.00931504439018897,25,1.4735926263868,1.45647589025002,0.0759572224105445,0.0151914444821089,25,2.54647999999986,2.54699999999866,0.0138868042882311,0.00277736085764622,25
"asymmetric_pi",100,2000,5,"2-2-2-2-2",0.2,0,0.408248290463863,0.0816496580927726,25,1,1,0,0,25,1,1,0,0,25,0.410528811086668,0.413405440708958,0.0428089531015476,0.00856179062030953,25,0.752785647725008,0.754214739853372,0.0248462328550051,0.00496924657100102,25,2.01834962004189,2.01707516748818,0.0988927241316066,0.0197785448263213,25,3.33943999999998,3.34100000000035,0.0128811231394638,0.00257622462789275,25
"asymmetric_pi",100,2000,5,"3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.318013505225038,0.324287263736425,0.0409856998418496,0.00819713996836991,25,0.635808340601458,0.641107141426773,0.0354084128578679,0.00708168257157358,25,1.6626742278558,1.66923542050966,0.0805522610436449,0.016110452208729,25,3.43599999999977,3.44400000000314,0.0420376815090534,0.00840753630181068,25
"asymmetric_pi",100,2000,10,"2-2-2-2-2-2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.178159341683233,0.180376760070856,0.0175769686000831,0.00351539372001661,25,0.620328014895398,0.621658387309445,0.0268283379353511,0.00536566758707023,25,1.62584620551617,1.62576565497192,0.057694179697519,0.0115388359395038,25,3.3318000000008,3.32900000000518,0.0129775447082883,0.00259550894165766,25
"asymmetric_pi",100,2000,10,"3-3-3-3-3-3-3-3-3-3",0,0,0,0,25,0.96,1,0.2,0.04,25,0.96,1,0.2,0.04,25,0.153033873979635,0.163211501745723,0.0279196735838305,0.0055839347167661,25,0.535005171726388,0.551270485319925,0.0625806317401198,0.012516126348024,25,1.4757616219217,1.49282081555257,0.0964329100488016,0.0192865820097603,25,3.3271599999984,3.3289999999979,0.0150240917644157,0.00300481835288314,25
"asymmetric_pi",200,500,5,"2-2-2-2-2",0.8,1,0.408248290463863,0.0816496580927726,25,1,1,0,0,25,1,1,0,0,25,0.49271791997798,0.493680533416845,0.0359644469548305,0.00719288939096609,25,0.863913254149514,0.86513773015977,0.00854550950811782,0.00170910190162356,25,2.71453431289396,2.7230446811863,0.0836536719557048,0.016730734391141,25,3.72979999999998,3.72800000000007,0.00672681202351241,0.00134536240470248,25
"asymmetric_pi",200,500,5,"3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.427511238491198,0.427591981263493,0.0276227974319638,0.00552455948639277,25,0.830637140516485,0.827513379156041,0.0129039639487789,0.00258079278975577,25,2.43518209025973,2.40781043880595,0.0958243780836774,0.0191648756167355,25,3.82452000000048,3.82600000000093,0.0152619352199535,0.0030523870439907,25
"asymmetric_pi",200,500,10,"2-2-2-2-2-2-2-2-2-2",0.84,1,0.374165738677394,0.0748331477354788,25,1,1,0,0,25,1,1,0,0,25,0.236358430933336,0.235459152054391,0.0188161228186413,0.00376322456372827,25,0.767451185904832,0.765777207305489,0.0161296856470821,0.00322593712941641,25,2.07730680524843,2.06626216069304,0.0725131401618548,0.014502628032371,25,3.71668000000063,3.71399999999994,0.0137862250085576,0.00275724500171151,25
"asymmetric_pi",200,500,10,"3-3-3-3-3-3-3-3-3-3",0.32,0,0.476095228569523,0.0952190457139046,25,1,1,0,0,25,1,1,0,0,25,0.224228143837055,0.22215495942179,0.012643023702558,0.00252860474051159,25,0.764340235814734,0.765778857206468,0.0121475996280228,0.00242951992560455,25,2.06189904566766,2.06626943826397,0.0525318837709545,0.0105063767541909,25,3.71387999999861,3.71199999999953,0.0132863338304543,0.00265726676609086,25
"asymmetric_pi",200,1000,5,"2-2-2-2-2",0.08,0,0.276887462097269,0.0553774924194538,25,1,1,0,0,25,1,1,0,0,25,0.408411720445622,0.414801118395157,0.028667285838002,0.00573345716760041,25,0.874734719226002,0.875287324931792,0.00931554535051851,0.0018631090701037,25,2.83072163346376,2.83168345008626,0.0996310199516207,0.0199262039903241,25,6.254,6.25300000000016,0.0212759645296891,0.00425519290593783,25
"asymmetric_pi",200,1000,5,"3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.332931997814286,0.334786964524994,0.0259672403177288,0.00519344806354577,25,0.795571310326645,0.797726374944247,0.0187571758227709,0.00375143516455418,25,2.21848267813524,2.22346537678908,0.102684702206651,0.0205369404413302,25,8.88748000000036,9.37100000000282,2.71731016080212,0.543462032160424,25
"asymmetric_pi",200,1000,10,"2-2-2-2-2-2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.197833360683836,0.196510689449371,0.0143605444112026,0.00287210888224052,25,0.794539682982821,0.793486045126021,0.0124006215956413,0.00248012431912826,25,2.20908862652661,2.20051988847746,0.067520178304235,0.013504035660847,25,6.22472000000009,6.22700000000623,0.0139628077398288,0.00279256154796577,25
"asymmetric_pi",200,1000,10,"3-3-3-3-3-3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.182870136951713,0.183876023729385,0.0151706663165451,0.00303413326330903,25,0.762072170747594,0.76285438530685,0.0286963628917126,0.00573927257834253,25,2.06021384235498,2.05348933178861,0.117927679198288,0.0235855358396575,25,6.1848800000007,6.18599999998696,0.00957131129967778,0.00191426225993556,25
"asymmetric_pi",200,1500,5,"2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.383118094294274,0.383919832245067,0.0215341569424845,0.0043068313884969,25,0.875846882300767,0.874931242441477,0.0104706921462079,0.00209413842924158,25,2.84539422746142,2.82764954254518,0.120901559391531,0.0241803118783062,25,8.73456000000002,8.73400000000038,0.0223459168528854,0.00446918337057709,25
"asymmetric_pi",200,1500,5,"3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.303552003508333,0.304898696800777,0.0283580801475766,0.00567161602951531,25,0.77369989649884,0.778565322765719,0.0273209723058236,0.00546419446116471,25,2.11264393195961,2.12508929346774,0.122172939993397,0.0244345879986795,25,13.1439999999999,13.137999999999,0.0716391420015837,0.0143278284003167,25
"asymmetric_pi",200,1500,10,"2-2-2-2-2-2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.190209852582801,0.191648230214436,0.0127457576738143,0.00254915153476286,25,0.80878710912425,0.809285956695378,0.0134043609374802,0.00268087218749605,25,2.29085144469856,2.28985858900423,0.0791693759401812,0.0158338751880362,25,8.72644000000029,8.71600000000035,0.0275606603691514,0.00551213207383028,25
"asymmetric_pi",200,1500,10,"3-3-3-3-3-3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.175580588427172,0.177346874444719,0.0142127223787619,0.00284254447575238,25,0.766211339945597,0.774704461806122,0.0304451364626729,0.00608902729253458,25,2.0802850719909,2.10680191542985,0.130319544433181,0.0260639088866361,25,8.66888000000152,8.66900000000896,0.0157515078641589,0.00315030157283178,25
"asymmetric_pi",200,2000,5,"2-2-2-2-2",0.08,0,0.276887462097269,0.0553774924194538,25,1,1,0,0,25,1,1,0,0,25,0.369486252442043,0.358969767590668,0.0226550164314269,0.00453100328628539,25,0.874623754975099,0.874645343127831,0.013334011257462,0.0026668022514924,25,2.83567519936761,2.8244231584706,0.150739668842324,0.0301479337684648,25,11.2587600000001,11.259,0.0247172004886104,0.00494344009772209,25
"asymmetric_pi",200,2000,5,"3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.290848856076395,0.291346401640802,0.0254580393485666,0.00509160786971332,25,0.769355931396162,0.76974170812008,0.0202743211921986,0.00405486423843971,25,2.08797010098989,2.08397430882009,0.0909364264687587,0.0181872852937517,25,16.91856,16.9099999999999,0.093490676897036,0.0186981353794072,25
"asymmetric_pi",200,2000,10,"2-2-2-2-2-2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.187334411519827,0.18685367980773,0.00962676613610618,0.00192535322722123,25,0.817895721965803,0.820839080254854,0.0125641154400448,0.00251282308800896,25,2.34704883661293,2.36253558333623,0.0749666954524244,0.0149933390904849,25,11.2363199999995,11.2209999999977,0.0468523567527389,0.00937047135054778,25
"asymmetric_pi",200,2000,10,"3-3-3-3-3-3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.166080408833417,0.164479024915634,0.0140749250176884,0.00281498500353769,25,0.7433749328023,0.740731947743959,0.0364200991669539,0.00728401983339077,25,1.98810109138521,1.96392770827271,0.138950803049953,0.0277901606099906,25,11.13092,11.1280000000115,0.0367399872980586,0.00734799745961172,25
"asymmetric_pi",400,500,5,"2-2-2-2-2",0.52,1,0.509901951359279,0.101980390271856,25,1,1,0,0,25,1,1,0,0,25,0.452390299810778,0.454000309452068,0.0213996385055385,0.00427992770110769,25,0.91315451163851,0.913891480606105,0.00499313493119488,0.000998626986238976,25,3.3972901406977,3.40782228909747,0.0958935358660634,0.0191787071732127,25,13.38596,13.393,0.0311066445207536,0.00622132890415072,25
