"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
1,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",20,500,2.8087368758861,0,0,0,0,2.64646908256691,0,0,0,0,0,0,0,0,0,0,2.81053356605116,0,2.55900183401536,0
2,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",20,500,2.59740754775703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",20,500,2.84924032527488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",20,500,2.5054778594058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86270920268726,0,0
5,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",20,500,2.66182338655926,0,2.88540805678349,0,0,-2.54026395035908,0,0,0,0,0,0,0,0,0,0,0,2.95249740104191,0,0
6,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",20,500,2.86266589316074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70440253231209,0
7,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",20,500,2.53484750678763,0,0,0,2.52713347831741,0,0,0,0,0,0,-2.55222250940278,0,0,0,0,2.53471465408802,2.66346091963351,0,0
8,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",20,500,2.65340754913632,0,0,0,0,0,0,0,2.87067618255969,0,0,0,0,0,0,0,0,0,0,0
9,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",20,500,2.9689753332641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",20,500,2.73917458136566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",20,500,2.75991979637183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61432983784471,0,0,0
12,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",20,500,2.77860148088075,0,0,0,0,0,2.65431782254018,0,0,0,0,0,0,0,0,0,2.89672765380237,0,0,0
13,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",20,500,2.9688871371327,0,0,-2.73724195163231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
