"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5"
1,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.61133360594977,0,0,0,0
2,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.95780961413402,0,0,-2.59552244923543,0
3,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.9909864946967,0,0,0,0
4,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.83077617152594,0,0,0,0
5,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.83065035345498,0,0,0,0
6,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.58149232738651,0,0,0,0
7,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.94734504749067,0,0,0,0
8,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.86306952836458,2.83933253074065,2.93559541495051,0,0
9,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.75698061613366,0,0,0,0
10,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.99291293660644,0,2.53333982324693,0,-2.92937530530617
11,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.59804145433009,0,0,0,0
12,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.81831980019342,0,0,0,-2.9089935409138
13,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.87459083530121,2.6318127354607,0,0,0
14,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.94674693886191,0,0,0,0
15,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.83266778872348,0,0,0,0
16,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.65897881099954,0,0,0,0
17,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.55434332182631,0,0,0,0
18,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.52373921545222,0,0,0,0
19,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",5,500,2.68286405270919,0,0,0,0
