"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
1,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.98557843687013,2.74646020587534,0,0,0,2.76213957217988,0,-2.92587757995352,0,2.82017086225096
2,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.78846047515981,0,0,0,0,0,0,2.98297793301754,0,2.67772764351685
3,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.74405057937838,0,0,0,0,0,0,0,0,2.68377441423945
4,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.8560547294328,0,2.55553389247507,0,0,0,0,0,0,2.85131482942961
5,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.78584671404678,0,-2.88339936255943,0,0,0,0,0,0,0
6,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.93260714481585,0,0,0,0,0,0,0,0,0
7,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.5153736800421,0,2.74847536557354,-2.69092974346131,0,-2.84505449817516,0,0,2.88064264541026,0
8,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.75911666068714,0,0,2.67610197467729,0,0,0,2.70487354346551,0,0
9,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.55672203516588,0,2.73765190958511,0,-2.51820461859461,0,0,0,2.84289962903131,0
10,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.68496263027191,0,0,2.76194117427804,0,0,2.88581352564506,0,0,0
11,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.96391793957446,0,0,0,2.55216604296584,0,0,0,0,0
12,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.99422259139828,0,-2.73754968459252,0,0,0,0,2.87979104463011,0,0
13,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.92859507794492,0,0,0,0,0,0,0,0,0
14,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.7693793423241,0,0,0,0,0,0,0,0,0
15,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.82375146669801,-2.85091027140152,0,0,0,2.55210075899959,0,0,0,0
16,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.62699015252292,0,0,0,0,0,0,0,0,0
17,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.57491407415364,-2.77798252319917,0,0,0,0,0,0,0,2.59144924511202
18,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.88421285711229,0,0,0,0,0,0,0,0,0
19,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.77263797726482,0,0,0,0,0,0,2.57347176107578,0,0
20,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.93986878462601,0,0,0,0,0,0,0,0,0
21,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.92450341302902,0,0,0,0,-2.7078619467793,0,2.64229886652902,0,2.81503795669414
22,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.80874162190594,0,0,0,0,0,0,0,0,0
23,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.59063418791629,0,0,0,0,0,0,0,0,0
24,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.54155691631604,0,-2.96499372750986,0,2.86264261347242,0,0,0,0,0
25,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.65967563085724,0,0,0,0,0,-2.63572388561442,0,0,0
26,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.82808939262759,0,0,0,0,0,0,0,-2.76403089077212,0
27,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.50903603609186,0,0,0,0,0,0,0,0,2.81522978900466
28,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.85006988537498,0,-2.66890047583729,-2.56506099703256,0,0,0,0,0,0
29,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.59383392706513,-2.61336593097076,0,0,0,-2.83689109841362,0,2.61462729098275,0,0
30,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.50137909303885,0,2.81290062773041,-2.99947604641784,-2.95378660270944,0,-2.51496810244862,0,0,0
31,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.72088550182525,0,2.95373096095864,0,0,0,0,0,0,-2.73644862067886
32,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.69865763548296,0,0,-2.80429445777554,0,0,0,0,0,-2.62863688508514
33,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.64196464733686,0,0,0,2.84835509955883,0,0,0,0,0
34,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.79729949496686,0,0,0,0,-2.59207930113189,0,0,0,0
35,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.53725886391476,0,0,0,0,2.9654835218098,0,0,0,0
36,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.96487579296809,0,0,0,2.80894807272125,2.51603765913751,0,0,0,0
37,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.58090965368319,-2.8820107554784,0,0,0,0,0,0,0,0
38,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.95954676123802,-2.72687339782715,2.68628055497538,0,0,0,0,0,0,0
39,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.74540025263559,0,2.86072931194212,0,0,0,0,0,0,0
40,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",10,500,2.67640769702848,0,0,0,-2.96719037147705,0,0,0,2.86270815168973,0
