"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
1,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.91569647949655,0,-2.94926615897566,0,0,0,0,2.72189482219983,0,0,0,0,0,0,0
2,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.58711049635895,0,-2.56961308862083,0,0,0,0,0,2.50058327743318,2.94490359595511,0,0,0,0,0
3,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.52714104310144,2.77499304676894,0,0,0,0,0,2.95569229032844,0,0,0,2.94449477270246,0,0,2.72524856613018
4,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.78869255143218,0,0,0,0,0,-2.71347298868932,0,0,0,0,0,0,0,2.7357884090161
5,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.73986856429838,-2.73666303022765,-2.57728329685051,0,0,0,0,0,0,0,0,0,0,0,0
6,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.95829073910136,0,0,0,-2.95602359157056,0,2.56821695272811,-2.86964840663131,0,0,-2.992161248927,0,0,0,0
7,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.63962650101166,2.6005211105803,-2.52918474911712,0,0,0,0,0,-2.69310396874789,0,0,-2.70280978514347,0,2.59513271169271,0
8,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.62764507846441,0,0,0,0,0,2.96764562895987,0,0,-2.9953533494845,-2.81087410077453,0,-2.95234773668926,0,0
9,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.61383741721511,2.85068014636636,0,0,0,2.79514578788076,0,-2.58589665777981,0,0,0,0,0,0,0
10,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.51615266874433,0,-2.92876000271644,2.55672433762811,0,0,0,-2.5280784672359,0,0,0,0,0,0,2.69709936750587
11,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.69203161553014,0,0,0,0,0,-2.54294850386214,0,0,-2.70236353902146,0,0,2.58507685991935,0,0
12,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.75490784225985,0,0,0,0,0,0,0,0,0,0,0,2.88005996868014,0,0
13,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.8813587455079,0,0,0,0,0,0,0,0,0,2.82867248274852,-2.50132881721947,0,0,0
14,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.76825120986905,0,0,-2.95273988891859,0,0,-2.66719288076274,0,2.63536483072676,-2.90446551633067,0,0,0,2.50474919890985,0
15,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.91451392287854,0,2.96843596117105,0,0,0,0,0,0,0,0,0,0,0,0
16,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",15,500,2.88004624762107,-2.78927729988936,0,0,-2.77192955301143,0,2.8638826146489,0,2.50350199267268,0,0,2.7551832695026,0,2.7032140775118,0
