"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
1,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.41388106043451,0,0,1.38160389068071,0,0,0,0,0,0
2,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.55063148506451,0,0,0,0,0,1.31827780697495,0,0,0
3,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.40138883504551,0,0,0,0,0,0,0,0,0
4,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.68104224919807,0,0,0,0,0,0,0,0,0
5,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.45227678015362,0,0,0,0,0,0,0,0,0
6,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.5482318502618,0,0,0,0,0,0,0,0,0
7,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.70429680473171,0,0,0,0,0,0,0,0,0
8,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.54472509177867,0,0,0,0,0,0,0,0,-1.56767530879006
9,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.40553846291732,0,0,-1.59709987149108,0,0,0,0,0,0
10,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.27092477772385,1.47697776870336,0,0,0,0,0,0,0,0
11,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.34461394755635,0,0,0,0,0,-1.30413653841242,0,0,1.30067166453227
12,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.59214845206589,0,0,0,0,0,0,0,0,0
13,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.66558668576181,0,0,1.47620945179369,0,0,0,0,0,0
14,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.57826579629909,0,0,0,0,0,0,0,0,0
15,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.39655072812457,0,0,-1.68597389676142,0,0,0,0,1.31787372147664,1.31470085924957
16,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.33748004504014,0,0,0,0,0,0,1.68186887225602,0,0
17,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.68302365625277,0,0,0,0,0,0,0,0,1.34802074090112
18,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.54772254719865,0,0,0,1.52197103435174,0,0,0,0,0
19,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.46667286008596,0,0,0,0,0,0,0,0,0
20,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.32465302897617,1.32609536824748,0,0,0,1.51894809363876,0,0,0,0
21,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.68357600620948,-1.37258378020488,0,0,0,0,0,0,1.61300667678006,0
22,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.47020725510083,0,0,0,0,0,0,0,0,0
23,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.59332801913843,0,0,0,0,0,0,0,0,0
24,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.25221619161312,0,0,0,0,1.40509306755848,0,0,0,0
25,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.40870801243,0,0,1.30297122278716,0,0,0,0,-1.36008329142351,-1.53776844171807
26,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.62533358496148,0,0,0,0,1.34559293580242,0,0,0,0
27,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.34360856120475,0,0,1.40551397576928,0,0,0,0,0,0
28,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.28031595505308,0,0,1.61190016986802,0,0,0,0,0,0
29,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.28563850407954,0,0,0,0,0,0,0,0,0
30,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.61975331860594,0,0,0,0,0,1.56474937533494,0,0,-1.72505889518652
31,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.45302853675094,0,0,0,0,0,0,0,0,0
32,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.32952163543086,0,0,0,1.73074559506495,0,0,0,0,0
33,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.74806767853443,0,1.64179552497808,0,0,0,0,0,0,0
34,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.61993505165447,0,0,0,0,0,0,0,0,0
35,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.43099603487644,0,0,0,0,0,0,0,0,0
36,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.30892358440906,0,0,0,0,0,1.32073995971587,0,-1.57292012101971,0
37,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.64102667663246,0,0,0,0,0,-1.30882304976694,0,0,0
38,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.37959330959711,0,-1.33295904635452,-1.34348019980825,0,0,0,0,0,0
39,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.44366662937682,0,0,0,0,0,-1.39593250059988,0,0,0
40,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.6421032861108,0,0,0,0,0,0,0,0,0
41,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.53868212213274,0,0,0,0,0,0,0,1.62691859982442,0
42,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.39470439427532,0,0,0,0,0,0,0,0,0
43,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.68172612332273,0,0,0,0,0,0,1.61592805827968,0,0
44,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.67660597921349,0,0,0,0,0,0,0,0,0
45,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.2502351203002,0,0,0,0,0,0,0,0,0
46,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.73619631386828,0,0,0,0,0,0,0,0,0
47,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.27827606187202,-1.54471370857209,0,-1.51931396278087,0,0,0,0,0,0
48,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.68245880154427,1.35886470752303,0,0,0,0,0,0,0,0
49,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.26438623550348,0,0,0,-1.64284968574066,0,0,1.39311701874249,0,0
50,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,1.51623870537151,0,0,0,0,0,0,0,0,0
51,2,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,0,1.67943034204654,0,0,0,0,0,0,0,0
52,2,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,0,1.31315904180519,0,0,0,0,0,0,0,0
53,2,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,0,1.67009723442607,0,0,0,0,0,0,0,0
54,2,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,0,1.5078287817305,0,0,1.31738245347515,0,0,0,0,0
55,2,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,0,1.72633723868057,0,0,0,0,0,0,0,0
56,2,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,-1.32882795482874,1.53488246165216,0,0,0,0,0,0,0,0
57,2,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,0,1.4438484061975,0,0,0,0,0,0,0,0
58,2,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,0,1.42360113421455,0,0,0,0,0,0,0,0
59,2,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,0,1.33563959330786,0,0,0,0,0,0,0,0
60,2,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,0,1.43940186826512,0,0,0,0,0,0,0,0
61,2,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,0,1.61901335953735,0,0,0,0,0,0,0,0
62,2,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,0,1.6849673098186,0,0,0,0,0,0,1.74517207266763,0
63,2,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,0,1.40334167866968,0,0,0,0,0,0,0,0
64,2,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,0,1.69541997043416,0,0,0,0,0,0,0,-1.60336545610335
65,2,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",10,500,-1.6889130868949,1.3410192898009,0,0,0,0,1.33217166003305,0,0,0
