"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
1,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.737050620839,-1.66348501644097,0,0,0,0,0,0,1.62196271354333,0,0,0,0,0,1.58064230519813
2,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.53195909503847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.66961043456104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.44053545547649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.38484019297175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.62199880590197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.58706752478611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.45024484512396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.69093596795574,0,0,0,1.5193317293888,-1.53919292741921,-1.25007687683683,0,0,0,0,0,0,0,0
10,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.2906525406288,0,0,0,0,0,0,0,0,0,0,1.63510172709357,0,0,0
11,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.52216337539721,0,0,0,0,0,0,0,0,0,-1.35423734702636,1.35386621893849,0,0,0
12,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.52055249817204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.28611537162215,-1.4830400365172,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.44575196190272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.35313462966587,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.36825364315882,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.3305675892625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.3879414544208,0,0,0,0,1.26383071078453,0,0,0,0,0,-1.32987504801713,0,0,0
19,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.53833113703877,0,0,0,1.48189202207141,0,0,0,0,0,0,0,0,0,0
20,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.30904360488057,0,0,0,0,0,0,-1.44652914511971,1.48021374922246,0,0,0,0,0,0
21,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.38878049538471,1.44579869240988,-1.58849775244016,0,0,0,0,0,0,0,0,0,-1.32948274887167,0,0
22,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.70613330602646,0,0,0,0,0,0,0,0,0,0,0,1.54402514768299,0,0
23,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.74609368760139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",15,500,1.64304463926237,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64390877273399
