"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
1,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.44464464392513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.46126350353006,0,0,-1.74197045434266,0,0,0,0,0,-1.51849433546886,0,0,0,0,0,0,0,0,0,0
3,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.70979070221074,0,0,1.73148320673499,0,0,0,0,1.60353294969536,0,0,0,0,0,0,0,0,0,0,0
4,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.60857193544507,0,0,0,0,0,0,0,0,0,0,0,-1.33391117898282,0,0,0,0,0,0,0
5,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.35368468100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2652252643602,0,0,0,0
6,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.5187612962909,0,0,0,0,0,0,0,0,0,0,0,0,1.64036786556244,0,0,0,0,0,0
7,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.29518969764467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.25948497187346,-1.35452968766913,0,0,0,0,1.6853519937722,0,0,-1.34125614061486,0,0,0,0,0,0,0,0,0,0
9,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.55133984063286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.35638111573644,0,0,0,0,0,0,0,0,0,1.38649751397315,0,0,0,0,0,0,0,0,0
11,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.64926117507275,0,0,0,1.73673816036899,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.48456211935263,0
12,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.30621173267718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.55970179615542,0,0,0,0
13,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.41176058084238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.4096028986387,0,0,0,-1.42592579126358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.69298519613221,0,0,0,0,0,0,0,0,1.42285978025757,0,0,0,-1.47073955542874,0,0,0,0,0,1.371569508221
16,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.61185120115988,0,0,0,0,0,0,0,0,-1.48936495510861,0,0,0,0,0,0,0,0,1.38583708787337,0
17,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.52070293715224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",20,500,1.57973247219343,1.32608251681086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.54862818133552,0
