"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5"
1,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.47414190077689,0,0,0,0
2,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.29612729267683,0,0,0,0
3,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.25097778497729,0,0,0,-1.56897246534936
4,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.33281305537093,0,0,0,0
5,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.37641273008194,0,0,0,0
6,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.66374494088814,0,0,0,0
7,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.63415033870842,0,0,0,0
8,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.29376591497567,0,0,0,0
9,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.74759627133608,0,0,0,0
10,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.26020228734706,0,0,0,0
11,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.27494514803402,0,0,0,0
12,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.42346042022109,0,0,0,0
13,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.47148724109866,0,0,0,0
14,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.49325528682675,0,0,0,0
15,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.67836955294479,0,0,0,0
16,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.41434034088161,0,0,0,0
17,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.48197786265519,0,0,0,0
18,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.50751691218466,0,0,1.36487066617701,0
19,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.27528505714145,0,0,-1.37002773943823,0
20,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.62398993654642,1.30138831806835,0,0,0
21,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.55977842083666,0,0,0,0
22,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.68159110529814,-1.51020297768991,0,0,0
23,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.31947884499095,-1.61273874377366,0,0,0
24,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.73531256464776,0,0,0,0
25,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.38562892121263,0,0,0,0
26,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.32715405756608,0,-1.62204044277314,0,0
27,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.514598172158,0,0,0,0
28,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.74622579966672,0,0,0,0
29,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.68152929004282,0,0,1.72009787277784,0
30,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.32859055988956,0,0,0,0
31,1,"balanced","weak",1.25,1.75,1.25,1.75,0.075,"random",5,500,1.2957318907138,0,1.5904286330333,0,0
