"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
1,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.87149732292164,0,0,0,0,0,0,0,0,0
2,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.52020040259231,0,0,0,0,0,0,2.96815444622189,0,-2.55986320413649
3,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.85231954371557,0,0,0,0,0,0,0,0,0
4,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.9838558502961,0,0,0,0,-2.68463189923204,0,0,0,0
5,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.52483709855005,0,0,0,0,0,0,0,0,0
6,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.77822439186275,0,0,0,0,0,0,0,0,0
7,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.90446548303589,0,0,0,0,0,0,0,0,0
8,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.8403014971409,0,0,0,0,2.87087693670765,0,0,0,0
9,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.97351855435409,0,0,0,0,0,0,2.71612792217638,0,0
10,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.52474798588082,0,0,0,0,0,0,0,0,0
11,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.61237703997176,0,0,-2.78565923101269,2.83040884556249,0,0,0,0,0
12,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.68599468073808,0,0,0,0,0,0,0,0,0
13,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.89447502430994,0,0,0,0,0,0,0,0,0
14,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.72364107775502,0,0,0,0,0,0,0,0,0
15,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.59885057946667,2.55338738125283,0,0,0,0,0,0,0,0
16,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.74055770551786,0,0,0,-2.86663207469974,0,0,0,0,-2.60628973913845
17,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.64329511800315,0,0,0,0,0,0,0,0,0
18,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.78473748767283,0,0,0,0,0,0,2.93698178022169,0,0
19,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.72339651675429,-2.94671124476008,0,0,0,0,0,0,0,0
20,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.66139105078764,0,0,-2.53249529667664,0,0,0,0,0,0
21,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.71372332493775,0,0,0,0,0,0,0,0,0
22,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.55428953445517,0,0,0,0,0,0,0,0,0
23,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.69127313164063,0,0,0,0,-2.7949035387719,0,0,0,0
24,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.93199723644648,0,0,2.8538851410849,0,0,0,0,0,0
25,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.65749865258113,0,2.53526907460764,0,2.68008058646228,-2.90121994121,0,0,0,0
26,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.75331506738439,0,0,0,0,0,0,-2.60312881146092,0,0
27,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.69588442076929,0,0,2.83570575492922,0,0,0,0,0,0
28,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.65421901410446,0,0,0,0,0,0,0,0,0
29,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.96293855004478,0,0,0,0,0,0,0,0,0
30,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.5656080278568,0,0,0,2.5758530034218,0,0,0,0,-2.53523167362437
31,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.5289808291709,0,0,2.88693833665457,2.70516733673867,0,0,0,0,0
32,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.55195859237574,0,0,0,0,0,0,0,0,0
33,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.77070250967517,0,0,0,0,0,0,0,0,0
34,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.62259661906864,0,0,0,0,0,0,0,0,0
35,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.96847257681657,0,0,2.72315773763694,0,0,0,0,0,0
36,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",10,500,2.53196989605203,0,0,0,0,0,2.77182226115838,0,0,0
