"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
1,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.58514261606615,0,0,0,0,0,0,0,-2.91148178081494,0,0,0,0,0,0
2,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.94249696924817,0,-2.5976799398195,2.64471844932996,0,0,0,0,0,2.97981230344158,0,0,2.78400697594043,0,0
3,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.51684607961215,0,0,0,0,0,0,0,0,2.62733503105119,0,0,2.94709332846105,0,0
4,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.61735302396119,-2.89431542891543,0,0,0,0,0,0,0,-2.9473980354378,0,0,0,0,0
5,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.61748272669502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.97571360110305,0,0,0,-2.95413167576771,0,-2.51547210721765,-2.8565211762907,2.56586144759785,0,0,0,0,0,0
7,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.5835746753728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.56949913315475,0,-2.98448158917017,0,0,0,0,0,0,0,0,0,0,0,0
9,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.5093454021262,-2.91946907620877,0,0,2.51538792753126,0,0,0,0,0,0,0,0,0,0
10,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.81188268121332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.75508638552856,0,0,2.63853683590423,0,0,0,0,0,0,-2.62318747933023,0,0,0,0
12,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.77748634037562,0,0,0,0,0,0,0,0,-2.8518443221692,0,0,0,0,0
13,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.59686186292674,2.92027258989401,0,0,0,2.98625886556692,0,-2.83886072330642,0,0,0,0,0,0,0
14,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.73689473676495,0,0,0,0,-2.66911297687329,0,0,0,0,0,0,0,0,0
15,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.59500466065947,0,0,0,2.5810718111461,0,0,0,0,0,0,-2.97569921275135,0,0,0
16,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.71050441323314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.70236363564618,0,0,2.68346423003823,0,0,0,0,0,0,0,0,0,0,0
18,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.69593316060491,0,0,0,0,0,2.75147420237772,0,0,0,-2.95956696476787,0,0,0,0
19,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.92170481511857,0,0,0,0,2.65790782670956,0,0,0,0,0,0,0,0,0
20,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.69642252172343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.93736103712581,0,0,0,0,0,0,2.96614339959342,-2.85558892565314,0,0,0,0,0,0
22,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.9829719386762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.80044980265666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.95186393847689,0,0,0,0,0,0,0,0,0,0,0,-2.67706659808755,0,0
25,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.7706357811112,0,0,0,0,0,0,0,0,-2.85863219306339,0,0,0,0,0
26,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.61718644748908,0,0,0,0,-2.87217706663068,-2.62752054561861,0,0,0,0,0,0,0,0
27,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.99635086394846,-2.74263626162428,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.54018038290087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.78570611029863,0,0,0,0,0,0,0,2.92475047206972,0,0,0,0,0,0
30,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.94920857308898,0,2.92673851945437,0,-2.89150717132725,0,0,0,0,0,0,0,2.8082115764264,0,0
31,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.90329962142278,0,0,0,0,0,0,0,2.87160260428209,0,0,0,0,0,0
32,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.71310221974272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.81810212729033,0,0,0,0,0,2.75670366885606,0,0,0,0,0,0,0,0
34,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.87172472383827,0,0,0,2.66735823394265,0,0,0,0,0,0,0,0,0,-2.94915778050199
35,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.82898395741358,0,0,0,0,0,0,0,0,-2.88898535643239,0,0,0,0,0
36,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",15,500,2.51390658644959,0,0,0,0,0,0,0,2.68327795004006,0,-2.59985660284292,0,0,0,0
