"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
1,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",20,500,2.69194489961956,0,0,0,0,0,0,0,0,0,2.63002038560808,0,0,0,0,0,0,0,0,0
2,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",20,500,2.53062722238246,0,2.94491485890467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",20,500,2.71486749837641,0,0,2.89379667222966,0,0,0,0,0,0,0,0,0,-2.61581304937135,0,0,-2.99235727929045,2.74525200785138,0,0
4,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",20,500,2.58339218958281,-2.72368950978853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.86675391800236,0
5,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",20,500,2.96284595981706,0,0,-2.89502538309898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",20,500,2.8618555777939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.91687056340743
7,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",20,500,2.82550846145023,0,0,2.83424967108294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",20,500,2.70242462458555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",20,500,2.62815751589369,0,0,0,0,0,0,0,0,0,0,0,0,-2.66139977588318,0,0,0,0,0,0
10,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",20,500,2.69080940878484,0,0,2.52927408076357,0,2.62998129578773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",20,500,2.9207751970971,0,0,0,0,-2.97265894513112,0,0,0,0,0,0,2.96703514456749,0,0,0,0,0,2.51344443601556,0
12,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",20,500,2.72027302708011,0,-2.6952907720115,0,-2.77172710804734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",20,500,2.72138214739971,0,0,0,0,0,0,0,0,2.69825788529124,0,0,0,0,0,0,0,0,0,0
