"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5"
1,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.51723181875423,0,0,0,0
2,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.95140087255277,0,0,0,0
3,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.64250470511615,0,0,0,0
4,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.84719438583124,0,0,2.81320478150155,0
5,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.88253107154742,0,0,0,0
6,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.98196142015513,0,-2.68258358340245,0,0
7,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.69418883987237,0,0,0,0
8,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.59098010871094,0,0,0,0
9,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.94049844215624,0,0,0,0
10,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.99266902997624,0,0,0,0
11,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.96168258599937,0,0,0,0
12,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.82815944054164,0,0,0,0
13,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.5329837956233,2.67854117730167,0,0,0
14,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.77254106232431,0,0,2.54604230250698,0
15,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.63013958535157,0,0,0,0
16,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.79564172762912,0,0,0,0
17,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.76768384862226,0,0,0,0
18,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.91150841326453,0,0,0,0
19,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.5179793133866,0,0,0,0
20,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.54338257492054,0,0,0,0
21,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.96914473443758,0,0,0,0
22,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.81937149912119,0,0,0,0
23,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.74579184921458,0,0,0,0
24,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.86107719165739,0,0,0,0
25,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.67510440596379,0,0,0,2.98402508813888
26,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.52764674369246,0,0,0,-2.52402829332277
27,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.87483650213107,0,0,0,0
28,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.5096338033909,0,0,0,0
29,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.81105438934173,2.9505866561085,0,0,0
30,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.56505372258835,0,0,-2.86577006988227,0
31,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.55799720867071,0,0,0,0
32,1,"ifeval_like","strong",2.5,3,2.5,3,0.075,"random",5,500,2.90897290711291,0,0,0,0
